,date,open,high,low,close,volume,average,barCount
0,2015-11-30 09:30:00-05:00,26.18,26.61,26.18,26.37,424110.0,26.391,2658
1,2015-11-30 11:00:00-05:00,26.36,26.53,26.31,26.32,302510.0,26.447,2356
2,2015-11-30 13:00:00-05:00,26.32,26.67,26.32,26.39,377806.0,26.523,2641
3,2015-11-30 15:00:00-05:00,26.41,26.52,26.35,26.46,411915.0,26.436,2856
4,2015-12-01 09:30:00-05:00,26.65,26.92,26.33,26.65,461105.0,26.669,2955
5,2015-12-01 11:00:00-05:00,26.65,26.99,26.59,26.89,289486.0,26.859,2133
6,2015-12-01 13:00:00-05:00,26.88,27.46,26.85,27.43,464982.0,27.186,3215
7,2015-12-01 15:00:00-05:00,27.44,27.49,27.22,27.35,432668.0,27.334,2826
8,2015-12-02 09:30:00-05:00,26.76,27.13,26.61,26.98,476795.0,26.91,2926
9,2015-12-02 11:00:00-05:00,26.98,26.98,26.43,26.73,463994.0,26.655,2970
10,2015-12-02 13:00:00-05:00,26.75,27.1,26.64,26.71,387829.0,26.899,2865
11,2015-12-02 15:00:00-05:00,26.7,27.0,26.68,26.82,321806.0,26.863,2340
12,2015-12-03 09:30:00-05:00,26.98,27.47,26.82,27.15,643946.0,27.103,4558
13,2015-12-03 11:00:00-05:00,27.15,27.37,26.84,27.21,487049.0,27.117,3729
14,2015-12-03 13:00:00-05:00,27.22,27.39,26.98,27.25,383237.0,27.199,2790
15,2015-12-03 15:00:00-05:00,27.27,27.28,26.93,26.97,409467.0,27.018,2872
16,2015-12-04 09:30:00-05:00,27.3,28.68,27.17,28.65,1150250.0,28.218,7237
17,2015-12-04 11:00:00-05:00,28.65,28.86,28.46,28.67,661198.0,28.669,4641
18,2015-12-04 13:00:00-05:00,28.69,28.91,28.58,28.9,511990.0,28.771,3314
19,2015-12-04 15:00:00-05:00,28.9,29.15,28.83,29.13,722068.0,29.023,4842
20,2015-12-07 09:30:00-05:00,28.5,28.92,28.4,28.83,924742.0,28.718,5716
21,2015-12-07 11:00:00-05:00,28.83,28.92,28.47,28.55,679144.0,28.658,4493
22,2015-12-07 13:00:00-05:00,28.55,28.58,27.86,27.86,437621.0,28.164,2764
23,2015-12-07 15:00:00-05:00,27.86,27.97,27.74,27.85,619409.0,27.856,3432
24,2015-12-08 09:30:00-05:00,27.81,27.92,27.32,27.81,671505.0,27.615,4678
25,2015-12-08 11:00:00-05:00,27.82,28.02,27.65,27.98,370395.0,27.809,2720
26,2015-12-08 13:00:00-05:00,27.98,28.14,27.8,27.92,350471.0,27.938,2666
27,2015-12-08 15:00:00-05:00,27.92,28.08,27.88,28.06,360263.0,28.022,2501
28,2015-12-09 09:30:00-05:00,28.62,28.73,27.6,27.66,571503.0,28.227,3800
29,2015-12-09 11:00:00-05:00,27.64,27.96,27.49,27.55,444607.0,27.713,3307
30,2015-12-09 13:00:00-05:00,27.55,27.95,27.52,27.79,328992.0,27.735,2646
31,2015-12-09 15:00:00-05:00,27.79,27.95,27.78,27.93,364027.0,27.9,2397
32,2015-12-10 09:30:00-05:00,27.7,28.13,27.55,28.03,334560.0,27.918,1903
33,2015-12-10 11:00:00-05:00,28.04,28.08,27.67,27.77,326318.0,27.893,2422
34,2015-12-10 13:00:00-05:00,27.77,27.97,27.63,27.86,246616.0,27.809,1772
35,2015-12-10 15:00:00-05:00,27.85,27.93,27.47,27.48,446051.0,27.61,3027
36,2015-12-11 09:30:00-05:00,27.14,28.18,27.06,28.0,470934.0,27.804,3175
37,2015-12-11 11:00:00-05:00,27.99,28.24,27.56,27.66,429231.0,27.942,2997
38,2015-12-11 13:00:00-05:00,27.67,28.13,27.61,27.95,352734.0,27.874,2624
39,2015-12-11 15:00:00-05:00,27.95,27.98,27.79,27.87,441848.0,27.834,2858
40,2015-12-14 09:30:00-05:00,27.68,27.72,27.05,27.3,709418.0,27.293,5097
41,2015-12-14 11:00:00-05:00,27.29,27.34,26.63,26.71,812923.0,26.915,6003
42,2015-12-14 13:00:00-05:00,26.7,26.94,26.49,26.86,463352.0,26.731,3218
43,2015-12-14 15:00:00-05:00,26.85,26.87,26.58,26.58,636714.0,26.673,4281
44,2015-12-15 09:30:00-05:00,26.7,26.8,26.06,26.07,568392.0,26.398,3978
45,2015-12-15 11:00:00-05:00,26.07,26.44,25.97,26.24,536027.0,26.175,4218
46,2015-12-15 13:00:00-05:00,26.23,26.37,26.16,26.37,423950.0,26.26,3331
47,2015-12-15 15:00:00-05:00,26.37,26.5,26.35,26.44,525539.0,26.428,3283
48,2015-12-16 09:30:00-05:00,27.05,27.62,26.76,26.96,545931.0,27.114,3855
49,2015-12-16 11:00:00-05:00,26.96,27.4,26.84,27.29,541703.0,27.083,4403
50,2015-12-16 13:00:00-05:00,27.28,27.56,26.38,27.39,793831.0,27.12,6054
51,2015-12-16 15:00:00-05:00,27.39,27.44,26.89,27.28,512379.0,27.208,3942
52,2015-12-17 09:30:00-05:00,26.04,26.17,25.53,25.61,854990.0,25.779,5144
53,2015-12-17 11:00:00-05:00,25.6,25.6,24.93,25.02,822447.0,25.225,5527
54,2015-12-17 13:00:00-05:00,25.02,25.28,24.93,25.16,509374.0,25.131,3676
55,2015-12-17 15:00:00-05:00,25.15,25.21,25.05,25.06,541841.0,25.121,3776
56,2015-12-18 09:30:00-05:00,25.49,26.19,25.32,25.73,865436.0,25.802,5716
57,2015-12-18 11:00:00-05:00,25.74,26.34,25.7,26.12,560469.0,26.08,3920
58,2015-12-18 13:00:00-05:00,26.12,26.32,25.92,26.21,558418.0,26.174,3866
59,2015-12-18 15:00:00-05:00,26.21,26.33,25.97,26.04,1386911.0,26.102,7591
60,2015-12-21 09:30:00-05:00,26.65,26.89,26.29,26.71,471949.0,26.636,3031
61,2015-12-21 11:00:00-05:00,26.71,26.95,26.61,26.93,432535.0,26.742,3254
62,2015-12-21 13:00:00-05:00,26.93,26.99,26.68,26.77,368901.0,26.853,2758
63,2015-12-21 15:00:00-05:00,26.78,26.78,26.58,26.73,354266.0,26.688,2427
64,2015-12-22 09:30:00-05:00,26.38,27.11,26.38,26.83,329634.0,26.811,2114
65,2015-12-22 11:00:00-05:00,26.84,26.85,26.33,26.37,279508.0,26.638,2128
66,2015-12-22 13:00:00-05:00,26.38,26.55,26.34,26.49,215642.0,26.451,1702
67,2015-12-22 15:00:00-05:00,26.48,26.53,26.41,26.49,217678.0,26.475,1658
68,2015-12-23 09:30:00-05:00,26.6,26.83,26.35,26.58,388219.0,26.517,2197
69,2015-12-23 11:00:00-05:00,26.59,26.63,26.22,26.38,294073.0,26.451,2117
70,2015-12-23 13:00:00-05:00,26.39,26.62,26.38,26.59,230157.0,26.511,1699
71,2015-12-23 15:00:00-05:00,26.61,26.7,26.59,26.69,310932.0,26.65,2204
72,2015-12-24 09:30:00-05:00,26.9,27.2,26.88,27.07,229144.0,27.041,1461
73,2015-12-24 11:00:00-05:00,27.08,27.42,27.03,27.23,380138.0,27.26,2772
74,2015-12-28 09:30:00-05:00,26.78,26.96,26.51,26.82,386798.0,26.69,2476
75,2015-12-28 11:00:00-05:00,26.8,26.81,26.55,26.64,204627.0,26.644,1420
76,2015-12-28 13:00:00-05:00,26.63,26.8,26.5,26.62,206404.0,26.617,1336
77,2015-12-28 15:00:00-05:00,26.62,26.82,26.61,26.82,234242.0,26.735,1419
78,2015-12-29 09:30:00-05:00,27.08,27.17,26.63,26.78,331168.0,26.838,2312
79,2015-12-29 11:00:00-05:00,26.79,26.96,26.69,26.8,231786.0,26.845,1628
80,2015-12-29 13:00:00-05:00,26.8,27.05,26.8,26.95,303402.0,26.94,1961
81,2015-12-29 15:00:00-05:00,26.96,26.98,26.79,26.93,328509.0,26.879,2039
82,2015-12-30 09:30:00-05:00,26.38,26.38,25.94,26.17,365450.0,26.084,2019
83,2015-12-30 11:00:00-05:00,26.16,26.36,26.07,26.22,234175.0,26.189,1393
84,2015-12-30 13:00:00-05:00,26.23,26.27,26.09,26.16,220452.0,26.194,1481
85,2015-12-30 15:00:00-05:00,26.16,26.24,26.12,26.21,200285.0,26.19,1255
86,2015-12-31 09:30:00-05:00,26.28,26.36,26.03,26.19,224629.0,26.158,1470
87,2015-12-31 11:00:00-05:00,26.18,26.42,26.01,26.03,391860.0,26.239,2798
88,2015-12-31 13:00:00-05:00,26.03,26.16,25.91,25.97,306747.0,26.017,2028
89,2015-12-31 15:00:00-05:00,25.98,26.31,25.97,26.27,391624.0,26.179,2514
90,2016-01-04 09:30:00-05:00,27.0,27.48,26.87,26.9,661652.0,27.19,4587
91,2016-01-04 11:00:00-05:00,26.9,26.96,26.53,26.81,463996.0,26.769,3368
92,2016-01-04 13:00:00-05:00,26.81,26.98,26.73,26.92,257815.0,26.842,1980
93,2016-01-04 15:00:00-05:00,26.91,27.07,26.82,26.95,467826.0,26.942,2886
94,2016-01-05 09:30:00-05:00,26.98,27.14,26.84,26.95,559103.0,27.022,4151
95,2016-01-05 11:00:00-05:00,26.96,27.44,26.9,27.41,538399.0,27.221,4179
96,2016-01-05 13:00:00-05:00,27.41,27.68,27.29,27.49,614643.0,27.483,4254
97,2016-01-05 15:00:00-05:00,27.49,27.67,27.46,27.62,493392.0,27.592,3524
98,2016-01-06 09:30:00-05:00,27.96,28.84,27.91,28.55,1180183.0,28.53,7473
99,2016-01-06 11:00:00-05:00,28.56,28.75,28.33,28.63,592563.0,28.559,3844
100,2016-01-06 13:00:00-05:00,28.63,28.68,28.39,28.42,462962.0,28.541,3445
101,2016-01-06 15:00:00-05:00,28.42,28.64,28.4,28.44,404455.0,28.508,2922
102,2016-01-07 09:30:00-05:00,28.96,29.48,28.77,28.78,1004754.0,29.127,6345
103,2016-01-07 11:00:00-05:00,28.8,29.88,28.72,29.84,716735.0,29.25,4824
104,2016-01-07 13:00:00-05:00,29.85,30.29,29.78,30.15,1008579.0,30.088,6480
105,2016-01-07 15:00:00-05:00,30.15,30.18,29.89,29.99,627456.0,29.988,4511
106,2016-01-08 09:30:00-05:00,29.17,29.98,28.98,29.77,807596.0,29.737,4962
107,2016-01-08 11:00:00-05:00,29.75,30.07,29.4,29.51,703214.0,29.761,4537
108,2016-01-08 13:00:00-05:00,29.5,29.65,29.17,29.55,438309.0,29.373,2881
109,2016-01-08 15:00:00-05:00,29.54,29.78,29.44,29.55,825086.0,29.561,5167
110,2016-01-11 09:30:00-05:00,29.62,30.0,28.75,28.9,653866.0,29.234,4051
111,2016-01-11 11:00:00-05:00,28.9,29.12,28.45,28.48,513055.0,28.72,3729
112,2016-01-11 13:00:00-05:00,28.48,28.65,28.19,28.52,532282.0,28.387,3692
113,2016-01-11 15:00:00-05:00,28.51,28.67,28.36,28.6,456993.0,28.573,3306
114,2016-01-12 09:30:00-05:00,28.06,28.3,27.7,28.26,1052884.0,28.029,6442
115,2016-01-12 11:00:00-05:00,28.26,28.54,28.16,28.35,737828.0,28.33,5155
116,2016-01-12 13:00:00-05:00,28.35,28.39,27.88,28.13,707437.0,28.07,4215
117,2016-01-12 15:00:00-05:00,28.12,28.64,28.11,28.55,700207.0,28.459,4480
118,2016-01-13 09:30:00-05:00,28.29,28.76,27.9,28.23,827151.0,28.387,5057
119,2016-01-13 11:00:00-05:00,28.25,28.68,28.07,28.45,692604.0,28.396,4884
120,2016-01-13 13:00:00-05:00,28.46,28.89,28.18,28.79,729497.0,28.547,5052
121,2016-01-13 15:00:00-05:00,28.79,29.01,28.56,29.0,853446.0,28.874,5683
122,2016-01-14 09:30:00-05:00,28.91,29.31,27.97,28.31,1518099.0,28.656,9824
123,2016-01-14 11:00:00-05:00,28.32,28.51,27.79,27.9,627725.0,28.124,4797
124,2016-01-14 13:00:00-05:00,27.9,27.99,27.26,27.92,1054040.0,27.607,7672
125,2016-01-14 15:00:00-05:00,27.92,27.98,27.75,27.85,817744.0,27.879,5879
126,2016-01-15 09:30:00-05:00,28.93,29.05,28.15,28.6,1256156.0,28.596,8077
127,2016-01-15 11:00:00-05:00,28.58,28.63,28.01,28.08,832166.0,28.298,5833
128,2016-01-15 13:00:00-05:00,28.09,28.43,27.76,27.79,662030.0,28.108,4355
129,2016-01-15 15:00:00-05:00,27.79,28.13,27.77,28.0,674740.0,27.991,4612
130,2016-01-19 09:30:00-05:00,28.09,28.16,26.57,26.57,1295460.0,27.037,8302
131,2016-01-19 11:00:00-05:00,26.59,26.83,26.23,26.81,877706.0,26.484,6243
132,2016-01-19 13:00:00-05:00,26.81,26.95,26.3,26.34,681120.0,26.693,4544
133,2016-01-19 15:00:00-05:00,26.34,26.85,26.28,26.78,842462.0,26.657,6173
134,2016-01-20 09:30:00-05:00,27.23,27.33,26.39,26.52,945165.0,26.875,6059
135,2016-01-20 11:00:00-05:00,26.51,26.89,26.48,26.65,753785.0,26.702,4972
136,2016-01-20 13:00:00-05:00,26.65,27.29,26.57,27.15,741405.0,26.998,4356
137,2016-01-20 15:00:00-05:00,27.15,27.18,26.85,26.88,530895.0,27.008,3847
138,2016-01-21 09:30:00-05:00,26.6,26.77,26.09,26.31,672533.0,26.318,4826
139,2016-01-21 11:00:00-05:00,26.31,26.93,26.26,26.82,464374.0,26.571,3028
140,2016-01-21 13:00:00-05:00,26.81,27.41,26.66,27.18,586207.0,27.07,3372
141,2016-01-21 15:00:00-05:00,27.17,27.33,27.06,27.23,688850.0,27.18,4083
142,2016-01-22 09:30:00-05:00,26.87,27.54,26.21,27.19,873929.0,26.852,5659
143,2016-01-22 11:00:00-05:00,27.18,27.46,26.9,27.36,580682.0,27.226,4113
144,2016-01-22 13:00:00-05:00,27.37,27.47,26.96,27.2,422489.0,27.172,3051
145,2016-01-22 15:00:00-05:00,27.19,27.36,27.18,27.29,446125.0,27.262,3273
146,2016-01-25 09:30:00-05:00,27.81,28.18,27.55,27.68,666932.0,27.866,4632
147,2016-01-25 11:00:00-05:00,27.7,27.98,27.45,27.93,561859.0,27.715,4024
148,2016-01-25 13:00:00-05:00,27.94,28.01,27.7,27.8,507655.0,27.85,3014
149,2016-01-25 15:00:00-05:00,27.8,27.91,27.67,27.89,510439.0,27.796,3501
150,2016-01-26 09:30:00-05:00,28.57,29.18,28.28,29.14,992281.0,28.782,5742
151,2016-01-26 11:00:00-05:00,29.14,29.17,28.69,28.84,745671.0,28.957,5271
152,2016-01-26 13:00:00-05:00,28.84,28.96,28.48,28.63,566152.0,28.666,4024
153,2016-01-26 15:00:00-05:00,28.62,28.76,28.5,28.75,449621.0,28.666,3284
154,2016-01-27 09:30:00-05:00,28.51,28.93,28.2,28.43,619311.0,28.521,3730
155,2016-01-27 11:00:00-05:00,28.44,28.86,28.41,28.75,354162.0,28.638,2737
156,2016-01-27 13:00:00-05:00,28.77,29.03,28.49,29.03,540250.0,28.753,3762
157,2016-01-27 15:00:00-05:00,29.02,29.2,28.85,28.94,1035975.0,28.99,6263
158,2016-01-28 09:30:00-05:00,28.59,28.77,28.0,28.72,911474.0,28.416,4973
159,2016-01-28 11:00:00-05:00,28.72,29.23,28.69,29.22,576566.0,28.986,3294
160,2016-01-28 13:00:00-05:00,29.22,29.42,28.83,29.02,519505.0,29.147,3716
161,2016-01-28 15:00:00-05:00,29.02,29.15,28.89,28.96,527950.0,29.005,3466
162,2016-01-29 09:30:00-05:00,28.89,29.54,28.58,29.48,900578.0,28.909,6117
163,2016-01-29 11:00:00-05:00,29.49,29.68,29.29,29.61,750432.0,29.494,4286
164,2016-01-29 13:00:00-05:00,29.61,29.77,29.34,29.38,506816.0,29.587,3612
165,2016-01-29 15:00:00-05:00,29.39,29.56,29.37,29.44,410328.0,29.474,2773
166,2016-02-01 09:30:00-05:00,29.89,30.46,29.71,30.06,730486.0,30.154,4445
167,2016-02-01 11:00:00-05:00,30.05,30.09,29.57,29.62,430568.0,29.797,3188
168,2016-02-01 13:00:00-05:00,29.62,30.05,29.62,30.04,426936.0,29.81,3259
169,2016-02-01 15:00:00-05:00,30.05,30.19,29.9,30.06,720235.0,30.048,4940
170,2016-02-02 09:30:00-05:00,29.57,29.93,29.22,29.29,584268.0,29.494,3790
171,2016-02-02 11:00:00-05:00,29.3,29.34,28.95,29.21,471270.0,29.157,2982
172,2016-02-02 13:00:00-05:00,29.2,29.67,29.16,29.66,513860.0,29.471,3151
173,2016-02-02 15:00:00-05:00,29.66,29.82,29.58,29.75,624172.0,29.708,3989
174,2016-02-03 09:30:00-05:00,29.9,30.98,29.8,30.89,1013356.0,30.662,6006
175,2016-02-03 11:00:00-05:00,30.9,31.26,30.85,31.16,1073092.0,31.077,6953
176,2016-02-03 13:00:00-05:00,31.17,31.6,31.14,31.35,1011352.0,31.338,7081
177,2016-02-03 15:00:00-05:00,31.35,31.42,31.2,31.4,927302.0,31.303,6208
178,2016-02-04 09:30:00-05:00,32.28,33.24,32.26,33.13,1839454.0,32.825,11224
