,date,open,high,low,close,volume,average,barCount
0,2024-03-20 12:00:00-04:00,52.56,60.0,50.61,57.69,9954797.0,54.724,33983
1,2024-03-20 14:00:00-04:00,57.67,63.5,57.3,62.21,3363718.0,60.875,16203
2,2024-03-21 09:30:00-04:00,65.7,75.0,65.7,72.86,2221427.0,70.642,10526
3,2024-03-21 10:00:00-04:00,72.99,75.0,69.0,72.26,2710644.0,72.121,12480
4,2024-03-21 12:00:00-04:00,72.28,80.0,70.32,76.27,1859787.0,75.043,6986
5,2024-03-21 14:00:00-04:00,76.11,76.31,63.45,64.2,2147697.0,69.391,8960
6,2024-03-22 09:30:00-04:00,65.5,72.0,65.5,69.35,1074447.0,68.773,3899
7,2024-03-22 10:00:00-04:00,69.2,70.71,66.7,67.02,1097313.0,68.776,4384
8,2024-03-22 12:00:00-04:00,67.2,68.5,65.21,68.38,625524.0,66.851,2357
9,2024-03-22 14:00:00-04:00,68.4,70.99,67.73,69.99,736374.0,69.782,3587
10,2024-03-25 09:30:00-04:00,73.39,73.57,70.0,72.07,630282.0,71.688,2400
11,2024-03-25 10:00:00-04:00,72.43,81.69,72.08,80.71,2489073.0,77.588,9691
12,2024-03-25 12:00:00-04:00,80.8,83.2,76.8,82.0,1156556.0,79.666,4366
13,2024-03-25 14:00:00-04:00,82.0,86.95,80.17,84.85,1673078.0,83.719,6390
14,2024-03-26 09:30:00-04:00,88.9,95.21,86.72,88.8,1776658.0,90.506,6567
15,2024-03-26 10:00:00-04:00,88.66,92.0,77.5,79.06,3051413.0,84.209,12631
16,2024-03-26 12:00:00-04:00,79.2,82.59,77.85,81.75,1045708.0,80.212,4211
17,2024-03-26 14:00:00-04:00,81.87,84.36,80.6,83.31,1206406.0,83.296,5108
18,2024-03-27 09:30:00-04:00,81.21,82.0,75.0,75.04,742723.0,77.951,2706
19,2024-03-27 10:00:00-04:00,75.0,80.5,75.0,79.01,1317990.0,77.019,4393
20,2024-03-27 12:00:00-04:00,79.13,80.5,78.5,79.68,337485.0,79.557,1476
21,2024-03-27 14:00:00-04:00,79.68,80.31,77.02,79.92,467178.0,79.205,2443
22,2024-03-28 09:30:00-04:00,79.57,80.37,77.88,78.35,214848.0,78.866,818
23,2024-03-28 10:00:00-04:00,78.41,81.58,75.3,75.96,671304.0,78.708,3075
24,2024-03-28 12:00:00-04:00,75.97,77.59,75.31,75.41,262837.0,76.156,1251
25,2024-03-28 14:00:00-04:00,75.38,75.88,73.35,74.19,685889.0,74.558,3353
26,2024-04-01 09:30:00-04:00,72.62,73.4,68.66,70.47,707129.0,70.601,3167
27,2024-04-01 10:00:00-04:00,70.35,71.56,66.76,70.61,1223104.0,69.2,5861
28,2024-04-01 12:00:00-04:00,70.61,72.47,70.6,71.94,368515.0,71.696,2414
29,2024-04-01 14:00:00-04:00,71.94,71.94,68.77,71.01,566098.0,70.16,3352
30,2024-04-02 09:30:00-04:00,69.7,69.8,68.0,69.3,251508.0,69.003,990
31,2024-04-02 10:00:00-04:00,69.44,72.35,69.34,71.29,478529.0,71.435,1991
32,2024-04-02 12:00:00-04:00,71.28,74.63,71.07,72.98,445514.0,73.133,1685
33,2024-04-02 14:00:00-04:00,72.97,73.05,70.79,72.21,408652.0,71.891,2129
34,2024-04-03 09:30:00-04:00,72.06,73.84,69.26,69.61,167760.0,71.456,570
35,2024-04-03 10:00:00-04:00,69.79,74.72,69.5,73.43,397452.0,72.462,1578
36,2024-04-03 12:00:00-04:00,73.44,73.5,70.81,71.31,217276.0,72.332,1091
37,2024-04-03 14:00:00-04:00,71.31,72.1,69.01,69.28,376902.0,70.223,1966
38,2024-04-04 09:30:00-04:00,69.71,73.2,69.71,70.71,156055.0,71.325,639
39,2024-04-04 10:00:00-04:00,70.88,72.3,70.0,71.31,252269.0,71.24,1500
40,2024-04-04 12:00:00-04:00,71.23,71.4,69.15,69.92,215849.0,70.206,1284
41,2024-04-04 14:00:00-04:00,69.82,70.51,67.75,69.76,687690.0,69.221,3368
42,2024-04-05 09:30:00-04:00,69.04,70.33,67.62,68.21,116572.0,68.455,409
43,2024-04-05 10:00:00-04:00,68.21,72.83,67.73,72.37,342322.0,70.141,1682
44,2024-04-05 12:00:00-04:00,72.32,75.0,72.28,72.39,452486.0,73.554,1903
45,2024-04-05 14:00:00-04:00,72.3,72.68,71.09,71.34,256919.0,71.823,1752
46,2024-04-08 09:30:00-04:00,73.0,74.5,72.3,73.1,214361.0,73.479,709
47,2024-04-08 10:00:00-04:00,73.15,73.8,69.8,70.38,396880.0,71.746,1775
48,2024-04-08 12:00:00-04:00,70.3,70.65,69.16,70.64,179561.0,69.92,992
49,2024-04-08 14:00:00-04:00,70.4,70.92,69.4,70.0,212045.0,69.993,1353
50,2024-04-09 09:30:00-04:00,69.92,70.99,69.26,70.01,94044.0,69.913,420
51,2024-04-09 10:00:00-04:00,70.34,70.96,66.0,69.0,466137.0,68.189,2322
52,2024-04-09 12:00:00-04:00,69.1,69.87,68.82,69.11,76008.0,69.445,404
53,2024-04-09 14:00:00-04:00,69.0,69.08,67.41,68.37,292837.0,68.061,1715
54,2024-04-10 09:30:00-04:00,66.32,69.48,65.89,68.98,136077.0,67.697,607
55,2024-04-10 10:00:00-04:00,68.91,70.49,67.84,69.37,408632.0,69.43,2206
56,2024-04-10 12:00:00-04:00,69.45,70.18,67.89,69.63,250345.0,68.859,1691
57,2024-04-10 14:00:00-04:00,69.73,71.67,69.13,71.31,410225.0,70.475,2557
58,2024-04-11 09:30:00-04:00,71.46,75.88,70.76,75.45,492938.0,73.51,2028
59,2024-04-11 10:00:00-04:00,75.33,75.5,71.31,73.05,553789.0,73.096,2842
60,2024-04-11 12:00:00-04:00,73.03,75.8,72.84,75.53,422831.0,74.433,1995
61,2024-04-11 14:00:00-04:00,75.59,77.5,75.15,75.51,526405.0,76.226,2495
62,2024-04-12 09:30:00-04:00,74.65,75.36,73.28,73.71,136302.0,74.273,500
63,2024-04-12 10:00:00-04:00,73.71,74.5,70.53,72.03,369627.0,72.241,1505
