,date,open,high,low,close,volume,average,barCount
0,2015-11-30 09:30:00-05:00,53.29,53.69,53.1,53.54,88859.0,53.443,690
1,2015-11-30 11:00:00-05:00,53.55,53.68,53.28,53.48,118159.0,53.529,968
2,2015-11-30 13:00:00-05:00,53.47,53.54,53.3,53.41,135517.0,53.424,985
3,2015-11-30 15:00:00-05:00,53.41,53.69,53.37,53.53,194627.0,53.534,1428
4,2015-12-01 09:30:00-05:00,53.68,53.8,53.32,53.57,243650.0,53.579,1963
5,2015-12-01 11:00:00-05:00,53.56,53.57,52.91,53.12,284576.0,53.205,2241
6,2015-12-01 13:00:00-05:00,53.12,53.12,53.01,53.02,224934.0,53.038,1537
7,2015-12-01 15:00:00-05:00,53.01,53.05,52.83,52.97,288882.0,52.933,2207
8,2015-12-02 09:30:00-05:00,52.75,53.07,52.6,52.76,128448.0,52.76,854
9,2015-12-02 11:00:00-05:00,52.77,52.79,52.2,52.2,151539.0,52.593,1220
10,2015-12-02 13:00:00-05:00,52.19,52.52,51.8,51.8,179546.0,52.151,1549
11,2015-12-02 15:00:00-05:00,51.81,52.5,51.81,52.29,287110.0,52.254,2133
12,2015-12-03 09:30:00-05:00,52.27,52.68,51.8,52.45,175722.0,52.257,1272
13,2015-12-03 11:00:00-05:00,52.47,52.85,52.44,52.73,120496.0,52.669,1092
14,2015-12-03 13:00:00-05:00,52.72,52.9,52.27,52.7,400987.0,52.553,2794
15,2015-12-03 15:00:00-05:00,52.71,52.96,52.48,52.82,507341.0,52.737,3285
16,2015-12-04 09:30:00-05:00,52.51,53.08,51.94,52.64,263334.0,52.439,1687
17,2015-12-04 11:00:00-05:00,52.61,52.89,52.49,52.63,243309.0,52.629,2021
18,2015-12-04 13:00:00-05:00,52.62,53.52,52.6,53.28,215293.0,53.195,1738
19,2015-12-04 15:00:00-05:00,53.26,53.36,52.96,53.0,250216.0,53.059,1996
20,2015-12-07 09:30:00-05:00,52.53,52.66,51.6,51.83,178979.0,51.855,1348
21,2015-12-07 11:00:00-05:00,51.82,52.1,51.57,51.57,320330.0,51.948,2059
22,2015-12-07 13:00:00-05:00,51.59,51.61,51.06,51.08,139821.0,51.281,1251
23,2015-12-07 15:00:00-05:00,51.08,51.15,50.88,51.1,172391.0,51.029,1473
24,2015-12-08 09:30:00-05:00,50.55,50.64,49.7,50.42,136372.0,50.248,942
25,2015-12-08 11:00:00-05:00,50.45,50.71,49.97,50.14,106416.0,50.329,909
26,2015-12-08 13:00:00-05:00,50.15,50.31,49.84,49.94,173668.0,50.054,1335
27,2015-12-08 15:00:00-05:00,49.92,49.92,49.67,49.78,154857.0,49.782,1202
28,2015-12-09 09:30:00-05:00,50.77,51.42,50.39,50.87,404294.0,50.915,2655
29,2015-12-09 11:00:00-05:00,50.88,50.9,49.62,49.89,315212.0,50.309,2267
30,2015-12-09 13:00:00-05:00,49.9,50.41,49.73,49.75,217876.0,50.002,1670
31,2015-12-09 15:00:00-05:00,49.8,50.16,49.77,50.0,373487.0,49.932,1841
32,2015-12-10 09:30:00-05:00,49.93,49.96,49.14,49.56,209546.0,49.594,1169
33,2015-12-10 11:00:00-05:00,49.56,49.56,49.03,49.29,126596.0,49.229,1135
34,2015-12-10 13:00:00-05:00,49.28,49.74,49.14,49.59,165409.0,49.468,1360
35,2015-12-10 15:00:00-05:00,49.59,49.62,49.13,49.23,193668.0,49.294,1614
36,2015-12-11 09:30:00-05:00,47.97,48.4,47.31,47.84,230596.0,47.77,1570
37,2015-12-11 11:00:00-05:00,47.82,48.16,47.55,47.61,124781.0,47.82,976
38,2015-12-11 13:00:00-05:00,47.61,48.3,47.61,48.29,208707.0,48.004,1619
39,2015-12-11 15:00:00-05:00,48.27,48.29,47.89,47.97,362984.0,48.025,2457
40,2015-12-14 09:30:00-05:00,47.83,47.97,46.34,46.79,178096.0,47.026,1335
41,2015-12-14 11:00:00-05:00,46.78,47.33,46.38,47.32,281314.0,46.783,2155
42,2015-12-14 13:00:00-05:00,47.29,47.94,47.29,47.86,251839.0,47.54,1949
43,2015-12-14 15:00:00-05:00,47.85,47.88,47.59,47.76,402709.0,47.716,2729
44,2015-12-15 09:30:00-05:00,48.1,48.99,48.0,48.84,228573.0,48.624,1866
45,2015-12-15 11:00:00-05:00,48.8,49.34,48.58,48.93,208815.0,48.869,1797
46,2015-12-15 13:00:00-05:00,48.94,48.94,48.51,48.7,159371.0,48.668,1339
47,2015-12-15 15:00:00-05:00,48.69,48.74,48.5,48.69,213638.0,48.658,1831
48,2015-12-16 09:30:00-05:00,49.15,51.02,48.75,50.53,386291.0,50.481,2822
49,2015-12-16 11:00:00-05:00,50.5,50.99,50.05,50.7,421160.0,50.564,2876
50,2015-12-16 13:00:00-05:00,50.7,51.68,50.45,51.66,376571.0,50.987,3057
51,2015-12-16 15:00:00-05:00,51.65,52.06,51.46,51.83,669620.0,51.822,4755
52,2015-12-17 09:30:00-05:00,51.99,53.1,51.33,51.52,299573.0,51.908,1973
53,2015-12-17 11:00:00-05:00,51.47,52.18,51.33,52.01,279417.0,51.85,1972
54,2015-12-17 13:00:00-05:00,52.01,52.89,51.89,52.83,345509.0,52.528,2714
55,2015-12-17 15:00:00-05:00,52.83,52.88,52.4,52.41,474724.0,52.648,3405
56,2015-12-18 09:30:00-05:00,52.01,53.31,51.82,52.25,379226.0,52.319,1875
57,2015-12-18 11:00:00-05:00,52.21,52.28,51.43,51.54,196908.0,51.904,1494
58,2015-12-18 13:00:00-05:00,51.58,51.82,51.29,51.65,178174.0,51.545,1482
59,2015-12-18 15:00:00-05:00,51.63,51.67,50.97,51.19,712208.0,51.275,4497
60,2015-12-21 09:30:00-05:00,51.6,51.87,51.04,51.61,199887.0,51.496,1479
61,2015-12-21 11:00:00-05:00,51.61,51.61,50.82,51.05,153396.0,51.059,1240
62,2015-12-21 13:00:00-05:00,51.06,51.37,50.79,51.14,160724.0,51.063,1362
63,2015-12-21 15:00:00-05:00,51.16,51.46,50.94,51.41,150235.0,51.236,1258
64,2015-12-22 09:30:00-05:00,51.6,53.06,51.43,52.66,210949.0,52.408,1112
65,2015-12-22 11:00:00-05:00,52.64,53.91,52.64,53.9,215723.0,53.221,1466
66,2015-12-22 13:00:00-05:00,53.89,54.59,53.85,54.59,219950.0,54.193,1638
67,2015-12-22 15:00:00-05:00,54.54,54.77,54.03,54.32,321904.0,54.412,2462
68,2015-12-23 09:30:00-05:00,54.56,56.3,54.49,56.2,343375.0,55.689,2199
69,2015-12-23 11:00:00-05:00,56.21,56.45,56.11,56.16,245275.0,56.288,1705
70,2015-12-23 13:00:00-05:00,56.13,56.37,55.98,56.2,171769.0,56.188,1348
71,2015-12-23 15:00:00-05:00,56.19,56.35,56.18,56.3,165023.0,56.275,1161
72,2015-12-24 09:30:00-05:00,56.25,56.5,55.8,56.09,117783.0,56.099,854
73,2015-12-24 11:00:00-05:00,56.14,56.41,55.93,55.93,177195.0,56.114,1399
74,2015-12-28 09:30:00-05:00,55.72,56.31,55.13,55.4,180768.0,55.654,1455
75,2015-12-28 11:00:00-05:00,55.41,56.37,55.41,55.97,142763.0,55.927,1177
76,2015-12-28 13:00:00-05:00,56.0,56.65,55.97,56.47,158245.0,56.336,1179
77,2015-12-28 15:00:00-05:00,56.48,56.79,56.47,56.78,210180.0,56.639,1643
78,2015-12-29 09:30:00-05:00,57.41,57.99,56.78,57.0,188619.0,57.359,1056
79,2015-12-29 11:00:00-05:00,56.99,57.01,56.24,56.9,131191.0,56.694,956
80,2015-12-29 13:00:00-05:00,56.89,57.17,56.76,56.83,113786.0,56.928,902
81,2015-12-29 15:00:00-05:00,56.82,56.92,56.58,56.76,177828.0,56.761,1510
