,date,open,high,low,close,volume,average,barCount
0,2015-11-23 09:30:00-05:00,17.82,18.48,17.82,18.33,2979802.0,18.362,12558
1,2015-11-23 11:00:00-05:00,18.34,18.34,18.18,18.26,1549045.0,18.241,8254
2,2015-11-23 13:00:00-05:00,18.27,18.27,18.08,18.09,1495679.0,18.169,8303
3,2015-11-23 15:00:00-05:00,18.1,18.16,18.09,18.12,1437194.0,18.124,7030
4,2015-11-24 09:30:00-05:00,17.96,18.23,17.95,18.06,1734350.0,18.112,7414
5,2015-11-24 11:00:00-05:00,18.06,18.36,18.04,18.36,2080139.0,18.232,8707
6,2015-11-24 13:00:00-05:00,18.36,18.54,18.35,18.45,3298915.0,18.442,12829
7,2015-11-24 15:00:00-05:00,18.45,18.45,18.34,18.38,2779696.0,18.39,9771
8,2015-11-25 09:30:00-05:00,18.45,18.63,18.3,18.53,2846081.0,18.498,9587
9,2015-11-25 11:00:00-05:00,18.53,18.67,18.52,18.62,1732589.0,18.609,7114
10,2015-11-25 13:00:00-05:00,18.62,18.64,18.47,18.52,2037097.0,18.552,7632
11,2015-11-25 15:00:00-05:00,18.53,18.53,18.44,18.46,1279322.0,18.475,5627
12,2015-11-27 09:30:00-05:00,18.41,18.7,18.39,18.6,2518337.0,18.6,7854
13,2015-11-27 11:00:00-05:00,18.6,18.74,18.59,18.62,1869712.0,18.668,7670
14,2015-11-30 09:30:00-05:00,18.72,18.92,18.69,18.71,3419158.0,18.794,12500
15,2015-11-30 11:00:00-05:00,18.71,18.82,18.69,18.78,1722920.0,18.744,8440
16,2015-11-30 13:00:00-05:00,18.78,18.89,18.75,18.79,1418290.0,18.814,7467
17,2015-11-30 15:00:00-05:00,18.79,18.8,18.74,18.79,2710671.0,18.772,10853
18,2015-12-01 09:30:00-05:00,18.74,19.23,18.72,19.14,5306112.0,19.05,16659
19,2015-12-01 11:00:00-05:00,19.14,19.22,19.03,19.11,3485983.0,19.142,13840
20,2015-12-01 13:00:00-05:00,19.11,19.2,19.07,19.17,3399668.0,19.142,11501
21,2015-12-01 15:00:00-05:00,19.17,19.2,19.11,19.17,3111960.0,19.162,10986
22,2015-12-02 09:30:00-05:00,19.09,19.34,19.09,19.23,2825036.0,19.207,10190
23,2015-12-02 11:00:00-05:00,19.23,19.3,19.19,19.28,1376066.0,19.246,6486
24,2015-12-02 13:00:00-05:00,19.28,19.28,19.08,19.1,2509663.0,19.136,8987
25,2015-12-02 15:00:00-05:00,19.1,19.2,19.09,19.14,2884774.0,19.141,9588
26,2015-12-03 09:30:00-05:00,19.23,19.31,18.87,18.91,3224991.0,19.0,13458
27,2015-12-03 11:00:00-05:00,18.92,19.01,18.75,18.79,2561127.0,18.903,9901
28,2015-12-03 13:00:00-05:00,18.79,18.88,18.68,18.76,4133726.0,18.809,15063
29,2015-12-03 15:00:00-05:00,18.75,18.78,18.7,18.76,3234700.0,18.746,10213
30,2015-12-04 09:30:00-05:00,18.77,18.98,18.74,18.96,3834000.0,18.865,12963
31,2015-12-04 11:00:00-05:00,18.96,19.04,18.84,19.03,2138869.0,18.922,9783
32,2015-12-04 13:00:00-05:00,19.03,19.09,19.01,19.09,2252826.0,19.049,8027
33,2015-12-04 15:00:00-05:00,19.09,19.09,19.0,19.02,2214725.0,19.035,8259
34,2015-12-07 09:30:00-05:00,19.1,19.15,18.92,18.95,4081014.0,19.006,13551
35,2015-12-07 11:00:00-05:00,18.95,19.09,18.93,19.0,3268503.0,19.006,13140
36,2015-12-07 13:00:00-05:00,19.0,19.06,18.94,18.96,3240252.0,18.99,11074
37,2015-12-07 15:00:00-05:00,18.96,18.99,18.88,18.92,2067155.0,18.93,9082
38,2015-12-08 09:30:00-05:00,18.63,18.9,18.61,18.8,2756140.0,18.79,11979
39,2015-12-08 11:00:00-05:00,18.8,18.86,18.75,18.85,1766326.0,18.803,8756
40,2015-12-08 13:00:00-05:00,18.86,19.02,18.82,18.96,2593856.0,18.919,9485
41,2015-12-08 15:00:00-05:00,18.97,18.99,18.89,18.95,2768077.0,18.944,9356
42,2015-12-09 09:30:00-05:00,18.72,19.29,18.71,19.21,3776884.0,19.086,17331
43,2015-12-09 11:00:00-05:00,19.21,19.23,18.79,18.9,2707207.0,19.012,12545
44,2015-12-09 13:00:00-05:00,18.89,19.05,18.87,19.01,3244786.0,18.968,14528
45,2015-12-09 15:00:00-05:00,19.01,19.09,18.99,19.03,2708508.0,19.025,10415
46,2015-12-10 09:30:00-05:00,18.88,18.98,18.76,18.89,3786595.0,18.861,15612
47,2015-12-10 11:00:00-05:00,18.89,18.91,18.72,18.86,3088374.0,18.818,14782
48,2015-12-10 13:00:00-05:00,18.86,18.88,18.79,18.8,2948765.0,18.829,13308
49,2015-12-10 15:00:00-05:00,18.79,18.82,18.71,18.75,2679440.0,18.759,11232
50,2015-12-11 09:30:00-05:00,18.6,18.62,18.34,18.51,2701891.0,18.546,11641
51,2015-12-11 11:00:00-05:00,18.52,18.61,18.37,18.43,3892273.0,18.485,13347
52,2015-12-11 13:00:00-05:00,18.43,18.49,18.33,18.35,2514557.0,18.419,11405
53,2015-12-11 15:00:00-05:00,18.35,18.37,18.26,18.32,3398229.0,18.327,13709
54,2015-12-14 09:30:00-05:00,18.4,18.43,17.86,17.93,5101785.0,17.994,24079
55,2015-12-14 11:00:00-05:00,17.93,18.04,17.82,18.04,3354244.0,17.936,17870
56,2015-12-14 13:00:00-05:00,18.04,18.08,17.94,18.05,2709339.0,18.006,15164
57,2015-12-14 15:00:00-05:00,18.05,18.06,17.94,18.05,3945052.0,18.003,16036
58,2015-12-15 09:30:00-05:00,18.2,18.47,18.16,18.41,5145808.0,18.329,20469
59,2015-12-15 11:00:00-05:00,18.41,18.55,18.39,18.55,3597859.0,18.477,14570
60,2015-12-15 13:00:00-05:00,18.55,18.57,18.49,18.54,1968782.0,18.537,9944
61,2015-12-15 15:00:00-05:00,18.54,18.54,18.42,18.46,4313300.0,18.465,13567
62,2015-12-16 09:30:00-05:00,18.51,18.6,18.18,18.19,3101409.0,18.358,13230
63,2015-12-16 11:00:00-05:00,18.19,18.47,18.15,18.4,2520418.0,18.336,12683
64,2015-12-16 13:00:00-05:00,18.41,18.51,18.32,18.48,4240962.0,18.462,18228
65,2015-12-16 15:00:00-05:00,18.48,18.58,18.47,18.51,3103909.0,18.53,12627
66,2015-12-17 09:30:00-05:00,18.71,18.71,18.12,18.16,4300344.0,18.396,19123
67,2015-12-17 11:00:00-05:00,18.16,18.34,18.14,18.29,1977088.0,18.235,10992
68,2015-12-17 13:00:00-05:00,18.29,18.31,18.17,18.18,2051638.0,18.243,10686
69,2015-12-17 15:00:00-05:00,18.18,18.21,18.04,18.06,4122183.0,18.117,15263
70,2015-12-18 09:30:00-05:00,17.93,18.2,17.85,18.1,5216301.0,18.032,16426
71,2015-12-18 11:00:00-05:00,18.1,18.16,18.0,18.04,2408462.0,18.071,12151
72,2015-12-18 13:00:00-05:00,18.03,18.15,17.99,18.09,2202009.0,18.062,11432
73,2015-12-18 15:00:00-05:00,18.09,18.13,17.99,18.04,3555826.0,18.072,13509
74,2015-12-21 09:30:00-05:00,18.3,18.46,18.15,18.46,2781835.0,18.354,11379
75,2015-12-21 11:00:00-05:00,18.46,18.55,18.4,18.53,1909731.0,18.473,9515
76,2015-12-21 13:00:00-05:00,18.53,18.55,18.42,18.48,1786327.0,18.482,8500
77,2015-12-21 15:00:00-05:00,18.48,18.53,18.43,18.52,2037141.0,18.479,8733
78,2015-12-22 09:30:00-05:00,18.59,18.72,18.42,18.55,1969828.0,18.548,9576
79,2015-12-22 11:00:00-05:00,18.56,18.76,18.55,18.76,1628915.0,18.671,7802
80,2015-12-22 13:00:00-05:00,18.76,18.84,18.7,18.78,2370262.0,18.764,9787
81,2015-12-22 15:00:00-05:00,18.77,18.81,18.65,18.76,2843223.0,18.733,10034
82,2015-12-23 09:30:00-05:00,18.8,19.05,18.77,19.03,4014730.0,18.946,13308
83,2015-12-23 11:00:00-05:00,19.03,19.19,18.99,19.13,3414910.0,19.086,12467
84,2015-12-23 13:00:00-05:00,19.12,19.26,19.11,19.13,2935508.0,19.185,11390
