,date,open,high,low,close,volume,average,barCount
0,2021-04-15 12:00:00-04:00,70.0,71.51,65.1,65.61,6620673.0,69.166,25445
1,2021-04-15 14:00:00-04:00,65.51,67.64,63.0,65.2,3538103.0,65.019,19629
2,2021-04-16 09:30:00-04:00,65.0,65.2,63.25,63.98,324810.0,63.959,1820
3,2021-04-16 10:00:00-04:00,63.8,64.0,61.18,61.93,1145708.0,62.797,6857
4,2021-04-16 12:00:00-04:00,61.92,63.79,60.01,61.0,694105.0,62.273,4165
5,2021-04-16 14:00:00-04:00,61.0,61.35,58.65,61.01,1287687.0,60.21,6790
6,2021-04-19 09:30:00-04:00,60.0,61.0,59.0,59.09,946719.0,59.913,3980
7,2021-04-19 10:00:00-04:00,59.03,59.16,56.24,56.24,891149.0,57.969,5477
8,2021-04-19 12:00:00-04:00,56.2,58.5,55.7,57.59,933440.0,57.404,4908
9,2021-04-19 14:00:00-04:00,57.62,60.25,57.5,58.6,996544.0,59.051,5283
10,2021-04-20 09:30:00-04:00,60.04,61.86,60.03,61.79,467470.0,61.086,2084
11,2021-04-20 10:00:00-04:00,61.71,61.9,58.99,60.03,847095.0,60.356,4327
12,2021-04-20 12:00:00-04:00,60.05,60.34,59.26,60.04,560170.0,59.968,2895
13,2021-04-20 14:00:00-04:00,60.04,60.82,59.93,59.95,655625.0,60.324,3909
14,2021-04-21 09:30:00-04:00,60.49,60.51,56.52,58.29,193674.0,58.257,1251
15,2021-04-21 10:00:00-04:00,58.15,62.21,58.15,61.79,755029.0,60.337,4810
16,2021-04-21 12:00:00-04:00,61.79,62.2,60.43,61.71,453003.0,61.582,3512
17,2021-04-21 14:00:00-04:00,61.71,62.1,60.72,61.75,550922.0,61.616,3865
18,2021-04-22 09:30:00-04:00,61.95,62.95,60.67,61.46,63186.0,61.789,321
19,2021-04-22 10:00:00-04:00,61.65,62.11,60.61,60.63,94386.0,61.625,545
20,2021-04-22 12:00:00-04:00,60.68,62.12,60.51,61.1,312423.0,61.39,707
21,2021-04-22 14:00:00-04:00,61.12,62.1,60.68,62.1,254629.0,61.575,1121
22,2021-04-23 09:30:00-04:00,62.1,62.94,61.24,61.24,38412.0,61.888,145
23,2021-04-23 10:00:00-04:00,61.47,61.47,60.0,60.73,204575.0,60.595,1178
24,2021-04-23 12:00:00-04:00,60.75,60.83,59.92,60.09,182896.0,60.229,1100
25,2021-04-23 14:00:00-04:00,60.1,60.15,58.45,58.5,565743.0,59.126,3237
26,2021-04-26 09:30:00-04:00,58.77,59.0,57.75,58.1,62163.0,58.124,217
27,2021-04-26 10:00:00-04:00,57.95,58.74,57.65,58.65,193236.0,58.025,1236
28,2021-04-26 12:00:00-04:00,58.65,59.5,58.29,58.97,142501.0,58.929,1048
29,2021-04-26 14:00:00-04:00,59.0,59.81,58.84,59.79,243366.0,59.332,1521
30,2021-04-27 09:30:00-04:00,60.0,60.2,59.01,59.12,34163.0,59.697,258
31,2021-04-27 10:00:00-04:00,59.12,60.75,59.12,60.73,80682.0,59.817,502
32,2021-04-27 12:00:00-04:00,60.62,61.11,59.8,59.8,83747.0,60.434,624
33,2021-04-27 14:00:00-04:00,59.83,60.07,58.71,58.84,308453.0,59.407,1670
34,2021-04-28 09:30:00-04:00,58.42,59.17,58.42,59.17,12070.0,58.854,20
35,2021-04-28 10:00:00-04:00,59.19,59.82,58.74,59.79,67160.0,59.489,261
36,2021-04-28 12:00:00-04:00,59.76,60.05,59.5,59.61,62247.0,59.885,235
37,2021-04-28 14:00:00-04:00,59.61,59.95,58.07,58.78,96289.0,58.809,749
38,2021-04-29 09:30:00-04:00,59.0,59.83,59.0,59.49,8873.0,59.299,43
39,2021-04-29 10:00:00-04:00,59.49,59.68,58.91,59.36,71990.0,59.267,252
40,2021-04-29 12:00:00-04:00,59.35,59.5,58.82,58.83,74511.0,59.088,320
41,2021-04-29 14:00:00-04:00,59.0,59.17,58.92,59.08,89263.0,59.04,379
42,2021-04-30 09:30:00-04:00,59.41,59.41,58.14,58.59,23140.0,58.698,101
43,2021-04-30 10:00:00-04:00,58.42,59.06,58.3,58.63,37437.0,58.618,223
44,2021-04-30 12:00:00-04:00,58.79,59.56,58.25,58.31,38662.0,59.042,243
45,2021-04-30 14:00:00-04:00,58.31,58.33,57.8,58.23,116010.0,58.099,639
46,2021-05-03 09:30:00-04:00,58.53,59.4,58.53,59.25,18788.0,58.867,108
47,2021-05-03 10:00:00-04:00,59.28,60.4,59.23,60.08,76753.0,59.909,540
48,2021-05-03 12:00:00-04:00,60.13,60.41,59.2,59.54,115021.0,59.783,917
49,2021-05-03 14:00:00-04:00,59.5,60.06,59.5,60.04,184808.0,59.785,986
50,2021-05-04 09:30:00-04:00,59.78,60.0,58.36,59.18,28197.0,59.097,189
