,date,open,high,low,close,volume,average,barCount
0,2015-11-30 09:30:00-05:00,31.73,32.22,31.5,32.07,1786536.0,31.867,8923
1,2015-11-30 11:00:00-05:00,32.07,32.32,31.78,31.83,1132775.0,32.06,6830
2,2015-11-30 13:00:00-05:00,31.83,31.96,31.69,31.95,923707.0,31.825,6095
3,2015-11-30 15:00:00-05:00,31.95,31.95,31.69,31.79,1253006.0,31.804,7668
4,2015-12-01 09:30:00-05:00,31.83,31.89,31.14,31.22,1524000.0,31.448,8254
5,2015-12-01 11:00:00-05:00,31.22,31.34,31.02,31.13,1208914.0,31.172,6617
6,2015-12-01 13:00:00-05:00,31.13,31.42,30.94,31.37,1057001.0,31.145,6351
7,2015-12-01 15:00:00-05:00,31.38,31.55,31.33,31.38,916982.0,31.429,5402
8,2015-12-02 09:30:00-05:00,31.45,31.63,31.19,31.22,803212.0,31.351,4724
9,2015-12-02 11:00:00-05:00,31.21,31.21,30.9,30.91,924750.0,31.015,5594
10,2015-12-02 13:00:00-05:00,30.91,31.0,30.72,30.78,840024.0,30.839,5585
11,2015-12-02 15:00:00-05:00,30.78,30.97,30.74,30.91,933153.0,30.87,6169
12,2015-12-03 09:30:00-05:00,30.9,30.98,30.19,30.37,1741647.0,30.448,8380
13,2015-12-03 11:00:00-05:00,30.38,31.42,30.31,31.37,1801478.0,30.98,9576
14,2015-12-03 13:00:00-05:00,31.37,31.49,30.82,31.11,1825609.0,31.128,10144
15,2015-12-03 15:00:00-05:00,31.11,31.4,31.08,31.3,3007406.0,31.232,14326
16,2015-12-04 09:30:00-05:00,31.47,31.49,31.1,31.38,1179280.0,31.281,7039
17,2015-12-04 11:00:00-05:00,31.39,31.51,31.02,31.3,1233471.0,31.277,7385
18,2015-12-04 13:00:00-05:00,31.29,31.44,30.89,31.09,1277164.0,31.101,8350
19,2015-12-04 15:00:00-05:00,31.09,31.09,30.89,31.01,1560947.0,30.993,9328
20,2015-12-07 09:30:00-05:00,31.0,31.07,30.36,30.93,1423406.0,30.771,7632
21,2015-12-07 11:00:00-05:00,30.94,31.15,30.86,31.01,706000.0,31.009,4539
22,2015-12-07 13:00:00-05:00,31.01,31.05,30.85,30.99,769128.0,30.954,5130
23,2015-12-07 15:00:00-05:00,30.98,30.98,30.86,30.91,824523.0,30.923,5071
24,2015-12-08 09:30:00-05:00,30.48,31.16,30.34,31.14,1128384.0,30.816,5778
25,2015-12-08 11:00:00-05:00,31.15,31.36,30.88,30.99,608793.0,31.106,4008
26,2015-12-08 13:00:00-05:00,31.0,31.02,30.77,30.88,608173.0,30.885,4027
27,2015-12-08 15:00:00-05:00,30.89,30.93,30.78,30.86,645638.0,30.856,4548
28,2015-12-09 09:30:00-05:00,30.58,31.46,30.52,31.24,835169.0,31.151,4305
29,2015-12-09 11:00:00-05:00,31.24,31.25,30.29,30.46,1046872.0,30.701,7412
30,2015-12-09 13:00:00-05:00,30.46,30.67,30.43,30.49,611090.0,30.567,4506
31,2015-12-09 15:00:00-05:00,30.48,30.57,30.4,30.5,943402.0,30.504,5992
32,2015-12-10 09:30:00-05:00,30.56,30.85,30.43,30.58,795423.0,30.635,4903
33,2015-12-10 11:00:00-05:00,30.58,30.67,30.48,30.62,710046.0,30.581,4376
34,2015-12-10 13:00:00-05:00,30.63,30.73,30.52,30.53,592943.0,30.623,4175
35,2015-12-10 15:00:00-05:00,30.52,30.53,30.23,30.33,1000437.0,30.35,6268
36,2015-12-11 09:30:00-05:00,29.98,30.3,29.78,29.84,1169985.0,29.917,7286
37,2015-12-11 11:00:00-05:00,29.84,29.96,29.75,29.87,872901.0,29.828,6069
38,2015-12-11 13:00:00-05:00,29.86,30.0,29.85,29.91,799771.0,29.933,5870
39,2015-12-11 15:00:00-05:00,29.91,29.93,29.7,29.8,959986.0,29.792,6358
40,2015-12-14 09:30:00-05:00,29.98,30.44,29.82,29.99,1240599.0,30.084,6097
41,2015-12-14 11:00:00-05:00,29.99,29.99,29.56,29.84,665415.0,29.746,4836
42,2015-12-14 13:00:00-05:00,29.84,29.96,29.54,29.92,727557.0,29.732,4716
43,2015-12-14 15:00:00-05:00,29.91,29.92,29.78,29.9,829344.0,29.842,5459
44,2015-12-15 09:30:00-05:00,30.1,30.42,29.8,29.98,998333.0,30.143,5668
45,2015-12-15 11:00:00-05:00,29.99,30.32,29.85,30.12,760034.0,30.045,5025
46,2015-12-15 13:00:00-05:00,30.13,30.17,29.88,30.1,599075.0,30.022,3972
47,2015-12-15 15:00:00-05:00,30.1,30.11,29.92,30.04,1025295.0,30.019,6382
48,2015-12-16 09:30:00-05:00,30.11,30.57,30.04,30.25,876111.0,30.351,5155
49,2015-12-16 11:00:00-05:00,30.24,30.56,30.23,30.54,883851.0,30.416,5541
50,2015-12-16 13:00:00-05:00,30.54,30.74,30.31,30.65,982785.0,30.547,6800
51,2015-12-16 15:00:00-05:00,30.63,30.79,30.57,30.71,1034043.0,30.698,7071
52,2015-12-17 09:30:00-05:00,30.67,30.78,30.23,30.29,989410.0,30.414,6079
53,2015-12-17 11:00:00-05:00,30.29,30.35,29.81,29.94,1264909.0,30.086,6698
54,2015-12-17 13:00:00-05:00,29.95,30.12,29.87,30.0,960976.0,29.957,5016
55,2015-12-17 15:00:00-05:00,30.01,30.03,29.78,29.8,1209381.0,29.893,7378
56,2015-12-18 09:30:00-05:00,29.67,29.67,29.25,29.27,1371972.0,29.445,7717
57,2015-12-18 11:00:00-05:00,29.27,29.28,28.95,29.05,1154927.0,29.097,7506
58,2015-12-18 13:00:00-05:00,29.05,29.15,28.92,28.98,1210047.0,29.016,8591
59,2015-12-18 15:00:00-05:00,28.99,29.1,28.9,29.04,1951894.0,29.02,10500
60,2015-12-21 09:30:00-05:00,29.09,29.45,29.03,29.27,895253.0,29.236,5778
61,2015-12-21 11:00:00-05:00,29.27,29.31,28.99,29.15,549037.0,29.124,3978
62,2015-12-21 13:00:00-05:00,29.14,29.23,28.88,28.95,665746.0,29.062,4605
63,2015-12-21 15:00:00-05:00,28.95,29.16,28.92,29.16,735004.0,29.045,4174
64,2015-12-22 09:30:00-05:00,29.36,30.2,29.3,30.12,1265059.0,29.932,7655
65,2015-12-22 11:00:00-05:00,30.12,30.24,29.9,30.23,788775.0,30.073,5740
66,2015-12-22 13:00:00-05:00,30.23,30.43,30.18,30.21,864892.0,30.307,6052
67,2015-12-22 15:00:00-05:00,30.21,30.31,30.07,30.16,995067.0,30.179,6381
68,2015-12-23 09:30:00-05:00,30.27,30.62,30.0,30.62,970884.0,30.309,5862
69,2015-12-23 11:00:00-05:00,30.62,30.87,30.52,30.78,880895.0,30.718,5852
70,2015-12-23 13:00:00-05:00,30.78,30.83,30.68,30.69,543871.0,30.752,3851
71,2015-12-23 15:00:00-05:00,30.69,30.72,30.6,30.6,893924.0,30.637,5291
72,2015-12-24 09:30:00-05:00,30.53,30.7,30.46,30.68,537009.0,30.592,3147
73,2015-12-24 11:00:00-05:00,30.67,30.85,30.46,30.5,929439.0,30.633,4642
74,2015-12-28 09:30:00-05:00,30.52,30.6,30.23,30.33,519496.0,30.391,3071
75,2015-12-28 11:00:00-05:00,30.32,30.57,30.25,30.52,417076.0,30.415,2953
76,2015-12-28 13:00:00-05:00,30.53,30.71,30.43,30.54,390891.0,30.573,2799
77,2015-12-28 15:00:00-05:00,30.54,30.58,30.5,30.54,471243.0,30.54,3024
78,2015-12-29 09:30:00-05:00,30.75,31.05,30.7,30.8,511877.0,30.909,3324
79,2015-12-29 11:00:00-05:00,30.8,30.87,30.59,30.64,472572.0,30.712,3267
80,2015-12-29 13:00:00-05:00,30.64,30.83,30.63,30.77,387199.0,30.732,2851
81,2015-12-29 15:00:00-05:00,30.77,30.81,30.69,30.73,479463.0,30.749,3230
82,2015-12-30 09:30:00-05:00,30.82,31.13,30.74,30.78,479092.0,30.93,3098
83,2015-12-30 11:00:00-05:00,30.77,30.85,30.52,30.58,525698.0,30.742,3544
84,2015-12-30 13:00:00-05:00,30.58,30.7,30.47,30.51,490350.0,30.587,3252
85,2015-12-30 15:00:00-05:00,30.51,30.57,30.43,30.46,398583.0,30.513,2700
86,2015-12-31 09:30:00-05:00,30.43,30.54,30.25,30.4,693824.0,30.39,4325
87,2015-12-31 11:00:00-05:00,30.41,30.64,30.4,30.58,508000.0,30.506,3321
88,2015-12-31 13:00:00-05:00,30.57,30.74,30.52,30.59,486081.0,30.622,3099
89,2015-12-31 15:00:00-05:00,30.59,30.64,30.44,30.45,728755.0,30.536,4507
90,2016-01-04 09:30:00-05:00,29.84,31.08,29.76,30.62,1593797.0,30.65,9553
91,2016-01-04 11:00:00-05:00,30.61,30.7,30.39,30.62,1280540.0,30.559,8980
92,2016-01-04 13:00:00-05:00,30.62,30.94,30.44,30.49,1415924.0,30.689,9006
93,2016-01-04 15:00:00-05:00,30.5,30.66,30.45,30.66,1223073.0,30.546,7328
94,2016-01-05 09:30:00-05:00,30.72,31.19,30.49,30.88,1044913.0,30.789,6433
95,2016-01-05 11:00:00-05:00,30.87,31.03,30.52,30.67,987821.0,30.788,7089
96,2016-01-05 13:00:00-05:00,30.67,31.08,30.63,31.03,864850.0,30.879,5514
97,2016-01-05 15:00:00-05:00,31.03,31.2,30.99,31.13,1069932.0,31.104,6181
98,2016-01-06 09:30:00-05:00,30.53,30.73,29.86,30.06,2022931.0,30.259,10353
99,2016-01-06 11:00:00-05:00,30.05,30.44,29.98,30.18,1560214.0,30.165,9293
