,date,open,high,low,close,volume,average,barCount
0,2018-07-25 10:00:00-04:00,18.7,20.87,18.5,20.8,8403288.0,19.257,24880
1,2018-07-25 12:00:00-04:00,20.8,23.38,20.26,22.42,2423636.0,21.593,11110
2,2018-07-25 14:00:00-04:00,22.42,24.5,22.01,24.49,2465372.0,22.952,11784
3,2018-07-26 09:30:00-04:00,24.75,24.85,23.11,23.91,548122.0,24.039,1785
4,2018-07-26 10:00:00-04:00,23.94,24.16,21.0,21.66,1678362.0,22.12,5115
5,2018-07-26 12:00:00-04:00,21.67,21.98,21.0,21.37,526396.0,21.48,2840
6,2018-07-26 14:00:00-04:00,21.27,21.48,20.3,21.0,734240.0,20.96,3206
7,2018-07-27 09:30:00-04:00,21.2,21.43,21.2,21.3,149509.0,21.293,448
8,2018-07-27 10:00:00-04:00,21.29,21.9,21.29,21.63,481968.0,21.693,1996
9,2018-07-27 12:00:00-04:00,21.63,21.85,21.5,21.78,166212.0,21.687,709
10,2018-07-27 14:00:00-04:00,21.76,23.0,21.72,22.49,478288.0,22.401,1897
11,2018-07-30 09:30:00-04:00,22.75,23.98,22.65,23.39,318147.0,23.541,1071
12,2018-07-30 10:00:00-04:00,23.46,24.0,23.33,23.85,368314.0,23.72,1918
13,2018-07-30 12:00:00-04:00,23.85,24.0,23.65,23.97,215218.0,23.885,1031
14,2018-07-30 14:00:00-04:00,24.0,24.0,23.69,23.71,282590.0,23.906,1611
15,2018-07-31 09:30:00-04:00,24.03,24.99,24.03,24.62,151588.0,24.585,528
16,2018-07-31 10:00:00-04:00,24.6,26.43,24.25,25.99,575234.0,25.584,2259
17,2018-07-31 12:00:00-04:00,25.99,26.4,24.25,24.39,397295.0,25.626,1865
18,2018-07-31 14:00:00-04:00,24.54,24.93,22.75,23.09,766557.0,23.453,3299
19,2018-08-01 09:30:00-04:00,23.67,23.67,22.6,23.18,194597.0,23.086,500
20,2018-08-01 10:00:00-04:00,23.13,23.6,22.82,23.44,221884.0,23.254,814
21,2018-08-01 12:00:00-04:00,23.45,24.8,23.3,24.34,280235.0,24.029,1019
22,2018-08-01 14:00:00-04:00,24.26,24.41,23.48,23.5,219052.0,23.856,906
23,2018-08-02 09:30:00-04:00,23.5,24.67,23.5,24.61,81456.0,24.323,363
24,2018-08-02 10:00:00-04:00,24.64,25.12,24.44,24.69,278019.0,24.792,1294
25,2018-08-02 12:00:00-04:00,24.69,24.92,24.41,24.87,101938.0,24.619,590
26,2018-08-02 14:00:00-04:00,24.92,25.11,24.43,24.5,186020.0,24.636,1238
27,2018-08-03 09:30:00-04:00,24.63,25.0,24.5,24.54,70081.0,24.792,231
28,2018-08-03 10:00:00-04:00,24.5,24.96,24.5,24.85,113088.0,24.751,548
29,2018-08-03 12:00:00-04:00,24.85,27.1,24.85,26.51,430029.0,26.235,1510
30,2018-08-03 14:00:00-04:00,26.51,26.95,26.51,26.79,238712.0,26.749,1040
31,2018-08-06 09:30:00-04:00,27.07,28.13,26.9,26.93,254356.0,27.555,739
32,2018-08-06 10:00:00-04:00,26.93,29.5,26.9,29.39,390402.0,28.38,1474
33,2018-08-06 12:00:00-04:00,29.46,29.88,29.3,29.68,254067.0,29.589,978
34,2018-08-06 14:00:00-04:00,29.66,29.81,27.76,27.95,549899.0,28.75,1897
35,2018-08-07 09:30:00-04:00,28.66,28.75,27.52,28.27,147343.0,28.113,404
36,2018-08-07 10:00:00-04:00,28.27,28.28,27.13,27.76,279285.0,27.645,1034
37,2018-08-07 12:00:00-04:00,27.79,27.95,27.5,27.53,152070.0,27.653,503
38,2018-08-07 14:00:00-04:00,27.5,27.65,27.28,27.35,261807.0,27.377,1128
39,2018-08-08 09:30:00-04:00,27.89,28.21,27.01,27.2,213750.0,27.599,794
40,2018-08-08 10:00:00-04:00,27.21,27.68,26.5,27.28,279084.0,27.025,1056
41,2018-08-08 12:00:00-04:00,27.29,28.25,27.07,27.98,226105.0,27.553,1004
42,2018-08-08 14:00:00-04:00,28.12,28.15,27.45,28.15,394465.0,27.812,1452
43,2018-08-09 09:30:00-04:00,28.0,28.03,27.65,27.73,35410.0,27.873,122
44,2018-08-09 10:00:00-04:00,27.73,27.84,26.6,27.05,175954.0,27.126,605
45,2018-08-09 12:00:00-04:00,27.0,27.18,26.91,27.03,62508.0,27.048,272
46,2018-08-09 14:00:00-04:00,27.08,27.12,26.68,26.72,103794.0,26.838,482
47,2018-08-10 09:30:00-04:00,26.84,26.98,26.3,26.3,47735.0,26.703,201
48,2018-08-10 10:00:00-04:00,26.37,26.9,26.33,26.82,73208.0,26.66,405
49,2018-08-10 12:00:00-04:00,26.83,27.74,26.63,27.74,108789.0,27.022,414
50,2018-08-10 14:00:00-04:00,27.61,28.0,27.59,27.61,171340.0,27.776,749
51,2018-08-13 09:30:00-04:00,27.65,27.65,27.19,27.31,35223.0,27.508,77
52,2018-08-13 10:00:00-04:00,27.3,27.45,26.3,26.61,177405.0,26.831,545
53,2018-08-13 12:00:00-04:00,26.65,26.8,26.3,26.31,46035.0,26.504,215
