,date,open,high,low,close,volume,average,barCount
0,2015-11-25 09:30:00-05:00,51.11,51.59,50.84,51.08,876897.0,51.257,6249
1,2015-11-25 11:00:00-05:00,51.08,51.11,50.85,50.88,625931.0,50.98,4640
2,2015-11-25 13:00:00-05:00,50.88,51.06,50.86,51.04,434341.0,50.971,3242
3,2015-11-25 15:00:00-05:00,51.04,51.12,50.99,51.0,464071.0,51.034,3099
4,2015-11-27 09:30:00-05:00,51.11,51.17,50.62,50.65,652068.0,50.76,4374
5,2015-11-27 11:00:00-05:00,50.66,50.97,50.65,50.84,514174.0,50.859,3625
6,2015-11-30 09:30:00-05:00,51.07,51.07,50.52,50.69,708911.0,50.746,4787
7,2015-11-30 11:00:00-05:00,50.69,50.88,50.59,50.73,480659.0,50.731,3874
8,2015-11-30 13:00:00-05:00,50.73,50.76,50.5,50.53,566294.0,50.633,3918
9,2015-11-30 15:00:00-05:00,50.53,50.62,50.39,50.54,717065.0,50.529,5062
10,2015-12-01 09:30:00-05:00,51.13,51.39,50.79,50.92,825257.0,51.077,5458
11,2015-12-01 11:00:00-05:00,50.92,51.12,50.86,51.12,530777.0,50.941,3511
12,2015-12-01 13:00:00-05:00,51.11,51.45,50.98,51.37,646955.0,51.214,3793
13,2015-12-01 15:00:00-05:00,51.37,51.53,51.31,51.45,791556.0,51.436,5101
14,2015-12-02 09:30:00-05:00,51.39,51.57,51.11,51.35,680571.0,51.336,4128
15,2015-12-02 11:00:00-05:00,51.34,51.64,51.24,51.53,586036.0,51.414,4310
16,2015-12-02 13:00:00-05:00,51.52,51.66,51.18,51.24,673504.0,51.452,5048
17,2015-12-02 15:00:00-05:00,51.24,51.29,51.07,51.18,628541.0,51.194,4512
18,2015-12-03 09:30:00-05:00,51.41,51.48,50.74,51.01,853500.0,50.98,5333
19,2015-12-03 11:00:00-05:00,51.01,51.19,50.23,50.24,695045.0,50.648,4963
20,2015-12-03 13:00:00-05:00,50.25,50.33,49.14,49.47,1412414.0,49.604,9339
21,2015-12-03 15:00:00-05:00,49.47,49.47,49.2,49.31,1254685.0,49.301,8138
22,2015-12-04 09:30:00-05:00,49.81,50.66,49.74,50.5,1038841.0,50.184,6557
23,2015-12-04 11:00:00-05:00,50.49,50.51,49.98,50.38,883309.0,50.2,6641
24,2015-12-04 13:00:00-05:00,50.39,50.72,50.33,50.71,601551.0,50.487,4639
25,2015-12-04 15:00:00-05:00,50.71,50.76,50.45,50.69,872808.0,50.646,5513
26,2015-12-07 09:30:00-05:00,51.01,51.26,50.73,51.03,842978.0,51.005,5616
27,2015-12-07 11:00:00-05:00,51.03,51.07,50.28,50.36,797005.0,50.701,4816
28,2015-12-07 13:00:00-05:00,50.35,50.61,50.34,50.46,601127.0,50.477,4442
29,2015-12-07 15:00:00-05:00,50.45,50.77,50.42,50.67,715896.0,50.613,4803
30,2015-12-08 09:30:00-05:00,49.65,50.18,49.54,50.18,1010532.0,49.953,6122
31,2015-12-08 11:00:00-05:00,50.19,50.33,49.95,50.06,537435.0,50.134,4242
32,2015-12-08 13:00:00-05:00,50.06,50.39,49.97,50.28,528258.0,50.217,4151
33,2015-12-08 15:00:00-05:00,50.27,50.28,50.11,50.18,817402.0,50.196,5436
34,2015-12-09 09:30:00-05:00,50.14,50.82,50.03,50.74,1137182.0,50.54,7035
35,2015-12-09 11:00:00-05:00,50.74,50.76,50.12,50.16,1230324.0,50.46,8911
36,2015-12-09 13:00:00-05:00,50.16,50.37,50.07,50.15,836944.0,50.212,6686
37,2015-12-09 15:00:00-05:00,50.14,50.38,50.11,50.31,710316.0,50.252,5046
38,2015-12-10 09:30:00-05:00,50.73,51.1,50.57,50.92,703580.0,50.88,4762
39,2015-12-10 11:00:00-05:00,50.91,51.11,50.82,50.92,972080.0,50.964,5472
40,2015-12-10 13:00:00-05:00,50.93,51.21,50.9,51.11,732927.0,51.009,5027
41,2015-12-10 15:00:00-05:00,51.1,51.12,50.86,50.96,1037444.0,50.94,5830
42,2015-12-11 09:30:00-05:00,50.22,51.24,50.11,50.9,1236521.0,50.776,8539
43,2015-12-11 11:00:00-05:00,50.88,51.02,50.69,51.01,1564428.0,50.85,10284
44,2015-12-11 13:00:00-05:00,51.01,51.1,50.73,50.76,1521010.0,50.871,9344
45,2015-12-11 15:00:00-05:00,50.76,50.81,50.5,50.68,1538163.0,50.634,10031
46,2015-12-14 09:30:00-05:00,50.93,51.4,50.46,50.6,1077564.0,50.837,7402
47,2015-12-14 11:00:00-05:00,50.59,50.92,50.31,50.86,915766.0,50.603,6654
48,2015-12-14 13:00:00-05:00,50.87,50.92,50.46,50.75,627637.0,50.634,5007
49,2015-12-14 15:00:00-05:00,50.74,50.81,50.53,50.8,881249.0,50.669,6293
50,2015-12-15 09:30:00-05:00,51.61,51.9,51.29,51.63,975962.0,51.642,5976
51,2015-12-15 11:00:00-05:00,51.63,52.13,51.42,52.09,848228.0,51.673,5722
52,2015-12-15 13:00:00-05:00,52.09,52.37,51.95,52.3,993342.0,52.132,6119
53,2015-12-15 15:00:00-05:00,52.31,52.32,52.13,52.16,1116604.0,52.215,7170
54,2015-12-16 09:30:00-05:00,52.1,52.3,51.39,51.44,1050647.0,51.804,7127
55,2015-12-16 11:00:00-05:00,51.44,51.8,51.36,51.42,996330.0,51.628,6546
56,2015-12-16 13:00:00-05:00,51.42,51.94,50.88,51.91,2354675.0,51.56,14181
57,2015-12-16 15:00:00-05:00,51.91,52.29,51.65,52.19,2005947.0,52.047,12294
58,2015-12-17 09:30:00-05:00,52.01,52.23,51.16,51.31,996641.0,51.771,7313
59,2015-12-17 11:00:00-05:00,51.3,51.57,50.33,50.41,1655866.0,50.984,11550
60,2015-12-17 13:00:00-05:00,50.41,50.99,50.38,50.9,995527.0,50.769,7526
61,2015-12-17 15:00:00-05:00,50.9,50.94,50.45,50.48,1344544.0,50.676,9182
62,2015-12-18 09:30:00-05:00,51.65,52.43,51.06,52.2,2768817.0,51.71,15718
63,2015-12-18 11:00:00-05:00,52.19,53.0,52.02,52.57,1476063.0,52.604,10597
64,2015-12-18 13:00:00-05:00,52.59,52.95,52.37,52.67,1322130.0,52.68,9983
65,2015-12-18 15:00:00-05:00,52.66,52.83,52.42,52.44,1503857.0,52.621,10940
66,2015-12-21 09:30:00-05:00,53.43,53.93,53.33,53.65,1798176.0,53.654,12231
67,2015-12-21 11:00:00-05:00,53.64,53.82,53.38,53.79,1019129.0,53.622,7796
68,2015-12-21 13:00:00-05:00,53.8,54.16,53.64,53.73,1125469.0,53.954,7739
69,2015-12-21 15:00:00-05:00,53.73,53.96,53.69,53.94,840543.0,53.826,6036
70,2015-12-22 09:30:00-05:00,54.4,54.49,53.42,53.45,988152.0,53.987,6808
71,2015-12-22 11:00:00-05:00,53.45,54.03,53.34,54.02,857328.0,53.681,6170
72,2015-12-22 13:00:00-05:00,54.03,54.26,53.97,54.2,1211385.0,54.103,7581
73,2015-12-22 15:00:00-05:00,54.19,54.36,54.15,54.27,1060771.0,54.251,6969
