,date,open,high,low,close,volume,average,barCount
0,2022-01-19 09:30:00-05:00,38.0,38.15,38.0,38.15,2000.0,38.075,5
1,2022-01-19 11:00:00-05:00,40.49,42.51,40.3,42.01,60400.0,41.923,73
2,2022-01-19 13:00:00-05:00,42.5,43.0,41.25,42.0,39600.0,42.182,73
3,2022-01-19 15:00:00-05:00,42.0,42.25,41.75,41.97,25317.0,42.003,113
4,2022-01-20 09:30:00-05:00,40.95,43.0,40.95,43.0,82210.0,42.963,19
5,2022-01-20 11:00:00-05:00,43.97,48.37,43.97,47.3,20421.0,45.41,70
6,2022-01-20 13:00:00-05:00,45.35,46.0,44.75,44.75,36077.0,45.093,203
7,2022-01-20 15:00:00-05:00,44.75,45.5,44.65,44.75,11056.0,44.893,27
8,2022-01-21 09:30:00-05:00,43.0,49.95,43.0,45.04,2290.0,44.993,11
9,2022-01-21 11:00:00-05:00,45.5,47.0,43.0,45.38,113245.0,45.475,199
10,2022-01-21 13:00:00-05:00,45.0,45.5,42.95,45.5,160156.0,44.192,614
11,2022-01-21 15:00:00-05:00,44.5,45.0,44.36,45.0,30587.0,44.847,119
12,2022-01-24 09:30:00-05:00,44.92,44.92,43.75,43.75,10300.0,43.763,5
13,2022-01-24 11:00:00-05:00,45.0,45.0,43.75,43.9,14642.0,43.852,83
14,2022-01-24 13:00:00-05:00,43.9,44.0,41.88,42.0,39056.0,43.588,119
15,2022-01-24 15:00:00-05:00,42.7,43.35,42.33,42.8,27977.0,42.834,95
16,2022-01-25 11:00:00-05:00,42.5,43.66,41.33,42.26,3800.0,42.448,26
17,2022-01-25 13:00:00-05:00,42.98,44.92,42.25,43.95,9366.0,43.07,44
18,2022-01-25 15:00:00-05:00,43.25,43.86,41.89,41.9,4288.0,42.644,38
19,2022-01-26 09:30:00-05:00,45.01,45.06,42.5,44.0,16193.0,43.059,42
20,2022-01-26 11:00:00-05:00,43.74,43.74,43.25,43.51,2497.0,43.467,22
21,2022-01-26 13:00:00-05:00,43.9,44.34,42.25,42.6,32465.0,43.744,229
22,2022-01-26 15:00:00-05:00,42.6,43.95,42.25,43.95,22331.0,42.632,192
23,2022-01-27 09:30:00-05:00,47.26,49.62,45.13,46.49,9101.0,47.337,78
24,2022-01-27 11:00:00-05:00,46.45,46.5,43.83,45.1,38638.0,44.945,314
25,2022-01-27 13:00:00-05:00,45.9,45.9,43.75,45.38,29606.0,45.141,218
26,2022-01-27 15:00:00-05:00,45.27,46.25,44.95,45.37,24524.0,45.495,216
27,2022-01-28 11:00:00-05:00,44.55,47.6,44.15,46.47,4159.0,46.008,38
28,2022-01-28 13:00:00-05:00,46.5,47.26,45.85,46.7,9942.0,46.135,87
29,2022-01-28 15:00:00-05:00,46.66,47.25,46.5,46.75,21141.0,46.643,77
30,2022-01-31 09:30:00-05:00,46.0,47.95,46.0,47.45,17269.0,46.946,69
31,2022-01-31 11:00:00-05:00,47.4,47.95,47.0,47.5,14547.0,47.247,52
32,2022-01-31 13:00:00-05:00,47.49,48.0,47.4,47.81,10383.0,47.665,74
33,2022-01-31 15:00:00-05:00,48.0,48.0,47.51,48.0,21926.0,47.82,106
