,date,open,high,low,close,volume,average,barCount
0,2015-11-30 09:30:00-05:00,25.38,25.46,25.26,25.3,262591.0,25.35,1444
1,2015-11-30 11:00:00-05:00,25.29,25.36,24.99,24.99,203990.0,25.161,1485
2,2015-11-30 13:00:00-05:00,24.98,25.08,24.92,25.01,195804.0,25.005,1341
3,2015-11-30 15:00:00-05:00,25.0,25.11,24.98,25.03,354010.0,25.051,2472
4,2015-12-01 09:30:00-05:00,25.09,25.31,24.9,24.91,330437.0,25.015,1838
5,2015-12-01 11:00:00-05:00,24.92,25.0,24.74,24.99,266894.0,24.876,1954
6,2015-12-01 13:00:00-05:00,24.98,25.02,24.91,25.0,294986.0,24.991,1909
7,2015-12-01 15:00:00-05:00,25.0,25.11,24.99,25.09,409646.0,25.052,2573
8,2015-12-02 09:30:00-05:00,25.04,25.18,24.95,25.06,373596.0,25.081,2263
9,2015-12-02 11:00:00-05:00,25.05,25.06,24.71,24.74,285741.0,24.874,1991
10,2015-12-02 13:00:00-05:00,24.73,24.82,24.66,24.66,389406.0,24.765,2359
11,2015-12-02 15:00:00-05:00,24.66,24.78,24.66,24.77,450672.0,24.749,3039
12,2015-12-03 09:30:00-05:00,24.9,25.0,24.66,24.91,355992.0,24.828,2321
13,2015-12-03 11:00:00-05:00,24.9,24.98,24.63,24.63,326219.0,24.804,2356
14,2015-12-03 13:00:00-05:00,24.62,24.75,24.36,24.49,391290.0,24.556,2690
15,2015-12-03 15:00:00-05:00,24.49,24.52,24.33,24.48,385691.0,24.434,2813
16,2015-12-04 09:30:00-05:00,24.55,25.05,24.47,24.98,535616.0,24.803,3236
17,2015-12-04 11:00:00-05:00,24.98,24.99,24.7,24.96,553088.0,24.846,3882
18,2015-12-04 13:00:00-05:00,24.97,25.08,24.86,25.06,629720.0,24.937,3601
19,2015-12-04 15:00:00-05:00,25.05,25.22,24.96,25.05,768085.0,25.09,3868
20,2015-12-07 09:30:00-05:00,24.98,25.06,24.76,24.78,334259.0,24.933,1940
21,2015-12-07 11:00:00-05:00,24.78,25.0,24.68,24.68,369687.0,24.808,2460
22,2015-12-07 13:00:00-05:00,24.68,24.69,24.53,24.61,653625.0,24.61,4323
23,2015-12-07 15:00:00-05:00,24.61,24.69,24.55,24.67,551120.0,24.616,3500
24,2015-12-08 09:30:00-05:00,24.31,24.54,24.06,24.23,746055.0,24.219,4299
25,2015-12-08 11:00:00-05:00,24.23,24.45,24.22,24.34,547722.0,24.312,3601
26,2015-12-08 13:00:00-05:00,24.33,24.5,24.24,24.33,625444.0,24.37,3788
27,2015-12-08 15:00:00-05:00,24.33,24.39,24.26,24.35,782234.0,24.332,4228
28,2015-12-09 09:30:00-05:00,24.28,24.37,24.04,24.04,833287.0,24.234,4723
29,2015-12-09 11:00:00-05:00,24.04,24.06,23.64,23.8,1035776.0,23.855,6276
30,2015-12-09 13:00:00-05:00,23.8,24.24,23.76,24.2,836089.0,23.998,5404
31,2015-12-09 15:00:00-05:00,24.2,24.28,24.1,24.11,1002560.0,24.174,5725
32,2015-12-10 09:30:00-05:00,20.31,21.02,19.85,20.06,12265562.0,20.296,50101
33,2015-12-10 11:00:00-05:00,20.05,20.2,19.76,19.96,5069670.0,19.989,24497
34,2015-12-10 13:00:00-05:00,19.96,20.29,19.82,20.19,3151887.0,20.024,14068
35,2015-12-10 15:00:00-05:00,20.19,20.25,20.01,20.04,3355232.0,20.104,13468
36,2015-12-11 09:30:00-05:00,19.93,20.73,19.93,20.14,2809467.0,20.39,12176
37,2015-12-11 11:00:00-05:00,20.14,20.2,19.39,19.4,2188430.0,19.836,12006
38,2015-12-11 13:00:00-05:00,19.4,19.93,19.39,19.8,1980240.0,19.615,11524
39,2015-12-11 15:00:00-05:00,19.8,19.85,19.75,19.82,1544315.0,19.802,8698
40,2015-12-14 09:30:00-05:00,19.78,19.87,19.41,19.61,2038063.0,19.648,8517
41,2015-12-14 11:00:00-05:00,19.6,19.7,19.46,19.66,1177071.0,19.583,6757
42,2015-12-14 13:00:00-05:00,19.65,19.66,19.45,19.46,1066843.0,19.55,6627
43,2015-12-14 15:00:00-05:00,19.47,19.47,19.2,19.29,1923449.0,19.309,9502
44,2015-12-15 09:30:00-05:00,19.42,19.53,19.26,19.26,629256.0,19.385,3518
45,2015-12-15 11:00:00-05:00,19.26,19.4,19.2,19.36,738963.0,19.313,4700
46,2015-12-15 13:00:00-05:00,19.36,19.42,19.31,19.4,611669.0,19.366,3645
47,2015-12-15 15:00:00-05:00,19.4,19.42,19.31,19.35,993960.0,19.349,5146
48,2015-12-16 09:30:00-05:00,19.49,19.61,19.13,19.13,723872.0,19.339,4063
49,2015-12-16 11:00:00-05:00,19.14,19.15,18.98,19.06,1388506.0,19.061,6215
50,2015-12-16 13:00:00-05:00,19.06,19.25,19.01,19.13,799251.0,19.118,5165
51,2015-12-16 15:00:00-05:00,19.13,19.37,19.11,19.31,886124.0,19.291,5127
52,2015-12-17 09:30:00-05:00,19.46,19.8,19.39,19.63,854087.0,19.666,5052
53,2015-12-17 11:00:00-05:00,19.62,19.78,19.47,19.72,775573.0,19.671,5176
54,2015-12-17 13:00:00-05:00,19.72,19.89,19.68,19.83,802453.0,19.786,5447
55,2015-12-17 15:00:00-05:00,19.83,19.84,19.72,19.73,1249322.0,19.764,6766
56,2015-12-18 09:30:00-05:00,19.66,19.85,19.5,19.6,868222.0,19.643,3356
57,2015-12-18 11:00:00-05:00,19.59,19.69,19.5,19.51,615375.0,19.605,3854
58,2015-12-18 13:00:00-05:00,19.51,19.72,19.5,19.72,778174.0,19.63,3870
59,2015-12-18 15:00:00-05:00,19.71,19.83,19.68,19.79,1306266.0,19.778,6680
60,2015-12-21 09:30:00-05:00,19.96,20.17,19.85,20.08,1504075.0,19.977,6464
61,2015-12-21 11:00:00-05:00,20.08,20.25,20.03,20.2,1018665.0,20.125,5794
62,2015-12-21 13:00:00-05:00,20.2,20.29,20.16,20.25,927312.0,20.244,5213
63,2015-12-21 15:00:00-05:00,20.26,20.33,20.23,20.33,1097125.0,20.269,5520
64,2015-12-22 09:30:00-05:00,20.32,20.41,20.08,20.19,422829.0,20.259,2486
65,2015-12-22 11:00:00-05:00,20.19,20.3,20.14,20.23,458611.0,20.219,2857
66,2015-12-22 13:00:00-05:00,20.23,20.38,20.21,20.33,517897.0,20.317,2925
67,2015-12-22 15:00:00-05:00,20.32,20.4,20.31,20.4,483006.0,20.361,2829
68,2015-12-23 09:30:00-05:00,20.47,20.75,20.44,20.71,500347.0,20.657,2527
69,2015-12-23 11:00:00-05:00,20.7,20.71,20.5,20.53,377095.0,20.617,2136
70,2015-12-23 13:00:00-05:00,20.53,20.66,20.52,20.65,404111.0,20.593,2529
71,2015-12-23 15:00:00-05:00,20.65,20.69,20.59,20.68,457783.0,20.657,2876
72,2015-12-24 09:30:00-05:00,20.62,20.83,20.57,20.8,488164.0,20.705,3097
73,2015-12-24 11:00:00-05:00,20.8,20.82,20.7,20.7,577673.0,20.761,3366
74,2015-12-28 09:30:00-05:00,20.67,20.7,20.52,20.58,426294.0,20.582,2604
75,2015-12-28 11:00:00-05:00,20.57,20.78,20.54,20.75,298006.0,20.666,2052
76,2015-12-28 13:00:00-05:00,20.75,20.89,20.7,20.73,479302.0,20.801,2730
77,2015-12-28 15:00:00-05:00,20.74,20.93,20.73,20.92,554120.0,20.863,3131
78,2015-12-29 09:30:00-05:00,20.99,21.38,20.95,21.3,601015.0,21.225,3406
79,2015-12-29 11:00:00-05:00,21.29,21.31,21.11,21.23,612011.0,21.237,4168
80,2015-12-29 13:00:00-05:00,21.23,21.28,21.11,21.22,389001.0,21.188,2336
81,2015-12-29 15:00:00-05:00,21.21,21.24,21.14,21.2,450401.0,21.187,2694
82,2015-12-30 09:30:00-05:00,21.15,21.34,20.95,21.2,411207.0,21.129,1901
83,2015-12-30 11:00:00-05:00,21.19,21.22,21.04,21.05,225894.0,21.147,1492
84,2015-12-30 13:00:00-05:00,21.06,21.09,20.96,21.01,221056.0,21.032,1475
85,2015-12-30 15:00:00-05:00,21.01,21.04,20.88,20.93,472128.0,20.953,2558
86,2015-12-31 09:30:00-05:00,20.86,20.91,20.68,20.87,236695.0,20.78,1504
87,2015-12-31 11:00:00-05:00,20.87,21.09,20.77,20.95,320579.0,20.92,2018
88,2015-12-31 13:00:00-05:00,20.94,20.99,20.84,20.86,222060.0,20.905,1575
89,2015-12-31 15:00:00-05:00,20.86,20.87,20.68,20.69,462453.0,20.758,2844
90,2016-01-04 09:30:00-05:00,20.19,20.19,19.75,19.99,1069923.0,20.023,6444
91,2016-01-04 11:00:00-05:00,19.97,20.22,19.78,20.16,704034.0,19.962,5155
92,2016-01-04 13:00:00-05:00,20.16,20.36,20.15,20.23,686206.0,20.265,4526
93,2016-01-04 15:00:00-05:00,20.23,20.25,20.11,20.24,910326.0,20.179,6098
94,2016-01-05 09:30:00-05:00,20.35,20.37,19.99,20.19,766066.0,20.196,3225
95,2016-01-05 11:00:00-05:00,20.19,20.34,19.94,20.1,711039.0,20.116,4490
96,2016-01-05 13:00:00-05:00,20.1,20.15,19.91,20.06,700828.0,20.047,4358
97,2016-01-05 15:00:00-05:00,20.06,20.09,19.96,20.05,640076.0,20.042,3733
98,2016-01-06 09:30:00-05:00,19.74,19.89,19.58,19.78,571335.0,19.79,3481
99,2016-01-06 11:00:00-05:00,19.78,19.83,19.55,19.6,509489.0,19.684,3362
100,2016-01-06 13:00:00-05:00,19.6,19.63,19.27,19.33,630854.0,19.439,3391
101,2016-01-06 15:00:00-05:00,19.33,19.57,19.3,19.51,1064926.0,19.475,5705
102,2016-01-07 09:30:00-05:00,19.13,19.18,18.88,19.02,970532.0,19.033,4385
103,2016-01-07 11:00:00-05:00,19.03,19.09,18.66,18.69,893811.0,18.904,5551
104,2016-01-07 13:00:00-05:00,18.68,18.83,18.43,18.78,1015911.0,18.608,6644
105,2016-01-07 15:00:00-05:00,18.78,18.78,18.62,18.62,896382.0,18.671,5813
106,2016-01-08 09:30:00-05:00,18.8,18.82,18.31,18.4,748468.0,18.477,3948
107,2016-01-08 11:00:00-05:00,18.4,18.43,18.1,18.42,733848.0,18.305,4557
108,2016-01-08 13:00:00-05:00,18.41,18.48,18.32,18.32,602234.0,18.402,3849
109,2016-01-08 15:00:00-05:00,18.32,18.37,18.15,18.17,739057.0,18.232,4319
110,2016-01-11 09:30:00-05:00,18.33,18.64,18.23,18.44,419576.0,18.419,2376
111,2016-01-11 11:00:00-05:00,18.45,18.45,18.13,18.15,354168.0,18.274,2534
112,2016-01-11 13:00:00-05:00,18.16,18.19,17.97,18.11,490424.0,18.072,2992
113,2016-01-11 15:00:00-05:00,18.12,18.26,18.02,18.15,558284.0,18.168,3601
114,2016-01-12 09:30:00-05:00,18.73,19.39,18.68,18.69,1268008.0,18.974,6441
115,2016-01-12 11:00:00-05:00,18.68,18.75,18.33,18.33,758646.0,18.576,4866
