,date,open,high,low,close,volume,average,barCount
0,2015-11-30 09:30:00-05:00,18.8,18.82,18.56,18.7,117776.0,18.771,580
1,2015-11-30 11:00:00-05:00,18.69,18.7,18.51,18.55,30553.0,18.587,192
2,2015-11-30 13:00:00-05:00,18.56,18.69,18.51,18.58,33192.0,18.605,301
3,2015-11-30 15:00:00-05:00,18.57,18.66,18.55,18.61,62868.0,18.62,484
4,2015-12-01 09:30:00-05:00,18.62,18.72,18.46,18.63,27013.0,18.618,189
5,2015-12-01 11:00:00-05:00,18.62,18.73,18.56,18.69,17766.0,18.627,164
6,2015-12-01 13:00:00-05:00,18.68,18.85,18.6,18.78,52062.0,18.777,319
7,2015-12-01 15:00:00-05:00,18.82,18.93,18.81,18.91,43201.0,18.876,337
8,2015-12-02 09:30:00-05:00,18.88,19.2,18.73,19.15,90845.0,19.012,424
9,2015-12-02 11:00:00-05:00,19.15,19.29,19.02,19.25,73162.0,19.18,473
10,2015-12-02 13:00:00-05:00,19.24,19.36,19.21,19.31,70489.0,19.275,544
11,2015-12-02 15:00:00-05:00,19.29,19.32,19.13,19.15,44547.0,19.203,377
12,2015-12-03 09:30:00-05:00,19.27,19.28,18.96,19.14,45031.0,19.081,265
13,2015-12-03 11:00:00-05:00,19.11,19.23,18.92,18.93,24660.0,19.12,172
14,2015-12-03 13:00:00-05:00,18.91,19.04,18.8,18.92,25246.0,18.916,216
15,2015-12-03 15:00:00-05:00,18.92,18.92,18.73,18.76,21646.0,18.787,186
16,2015-12-04 09:30:00-05:00,18.79,19.19,18.76,19.14,19503.0,19.012,151
17,2015-12-04 11:00:00-05:00,19.15,19.19,19.0,19.18,28869.0,19.093,257
18,2015-12-04 13:00:00-05:00,19.15,19.2,19.1,19.14,28842.0,19.131,208
19,2015-12-04 15:00:00-05:00,19.14,19.18,19.06,19.12,81381.0,19.117,486
20,2015-12-07 09:30:00-05:00,19.07,19.27,19.02,19.06,22163.0,19.145,126
21,2015-12-07 11:00:00-05:00,19.02,19.1,18.72,18.75,20964.0,18.913,157
22,2015-12-07 13:00:00-05:00,18.78,18.9,18.73,18.75,19900.0,18.788,156
23,2015-12-07 15:00:00-05:00,18.75,18.85,18.73,18.75,35032.0,18.776,305
24,2015-12-08 09:30:00-05:00,18.66,18.66,18.37,18.62,22202.0,18.527,184
25,2015-12-08 11:00:00-05:00,18.63,18.73,18.54,18.64,21734.0,18.646,177
26,2015-12-08 13:00:00-05:00,18.64,18.74,18.56,18.65,14018.0,18.631,135
27,2015-12-08 15:00:00-05:00,18.61,18.68,18.51,18.57,20900.0,18.589,190
28,2015-12-09 09:30:00-05:00,18.51,18.6,18.43,18.44,34434.0,18.503,192
29,2015-12-09 11:00:00-05:00,18.44,18.49,17.87,17.96,39874.0,18.216,352
30,2015-12-09 13:00:00-05:00,17.96,18.0,17.86,17.89,35068.0,17.93,330
31,2015-12-09 15:00:00-05:00,17.91,18.01,17.84,17.86,71243.0,17.918,585
32,2015-12-10 09:30:00-05:00,17.84,18.07,17.78,17.91,26916.0,17.891,210
33,2015-12-10 11:00:00-05:00,17.92,18.09,17.92,18.09,20639.0,17.999,186
34,2015-12-10 13:00:00-05:00,18.09,18.18,18.07,18.12,16344.0,18.118,153
35,2015-12-10 15:00:00-05:00,18.11,18.11,17.98,18.05,27922.0,18.033,256
36,2015-12-11 09:30:00-05:00,17.71,18.48,17.68,18.18,37419.0,18.087,211
37,2015-12-11 11:00:00-05:00,18.18,18.34,18.02,18.14,21691.0,18.228,163
38,2015-12-11 13:00:00-05:00,18.12,18.15,17.96,18.08,15801.0,18.061,147
39,2015-12-11 15:00:00-05:00,18.07,18.08,17.91,17.97,46931.0,17.97,379
40,2015-12-14 09:30:00-05:00,17.98,18.25,17.83,17.91,35694.0,17.946,271
41,2015-12-14 11:00:00-05:00,17.94,18.17,17.83,18.12,24855.0,17.988,229
42,2015-12-14 13:00:00-05:00,18.11,18.11,17.96,18.04,18355.0,18.025,174
43,2015-12-14 15:00:00-05:00,18.06,18.06,17.85,17.93,50317.0,17.941,451
44,2015-12-15 09:30:00-05:00,18.03,18.3,17.84,17.97,45529.0,18.013,267
45,2015-12-15 11:00:00-05:00,17.96,18.2,17.86,18.19,34343.0,18.041,266
46,2015-12-15 13:00:00-05:00,18.19,18.21,18.05,18.13,31088.0,18.129,278
47,2015-12-15 15:00:00-05:00,18.13,18.21,18.07,18.18,45161.0,18.148,374
48,2015-12-16 09:30:00-05:00,18.26,18.34,18.12,18.24,23053.0,18.244,180
49,2015-12-16 11:00:00-05:00,18.24,18.45,18.21,18.3,32035.0,18.346,287
50,2015-12-16 13:00:00-05:00,18.3,18.39,18.27,18.38,32541.0,18.339,252
51,2015-12-16 15:00:00-05:00,18.39,18.59,18.37,18.53,44303.0,18.487,365
52,2015-12-17 09:30:00-05:00,18.62,18.65,18.33,18.34,32113.0,18.503,151
53,2015-12-17 11:00:00-05:00,18.34,18.6,18.34,18.54,53385.0,18.511,359
54,2015-12-17 13:00:00-05:00,18.53,18.7,18.52,18.66,30992.0,18.628,284
55,2015-12-17 15:00:00-05:00,18.64,18.84,18.63,18.78,65512.0,18.747,550
56,2015-12-18 09:30:00-05:00,18.72,18.81,18.58,18.63,98396.0,18.719,60
57,2015-12-18 11:00:00-05:00,18.63,18.73,18.18,18.2,30104.0,18.48,186
58,2015-12-18 13:00:00-05:00,18.2,18.41,18.16,18.33,19924.0,18.287,164
59,2015-12-18 15:00:00-05:00,18.34,18.85,18.33,18.67,189464.0,18.669,1176
60,2015-12-21 09:30:00-05:00,18.75,18.9,18.52,18.73,27781.0,18.711,238
61,2015-12-21 11:00:00-05:00,18.7,18.73,18.48,18.6,32865.0,18.587,253
62,2015-12-21 13:00:00-05:00,18.61,18.65,18.45,18.47,41964.0,18.524,254
