,date,open,high,low,close,volume,average,barCount
0,2025-06-05 12:00:00-04:00,69.0,103.75,64.0,88.88,26273148.0,83.984,89351
1,2025-06-05 14:00:00-04:00,88.54,90.06,76.1,83.22,13930691.0,83.147,64136
2,2025-06-06 09:30:00-04:00,96.25,103.9,92.95,99.18,6783077.0,97.236,26809
3,2025-06-06 10:00:00-04:00,99.12,119.4,96.1,112.5,20190750.0,106.562,85539
4,2025-06-06 12:00:00-04:00,112.48,123.52,109.25,115.51,10955963.0,117.603,48482
5,2025-06-06 14:00:00-04:00,115.72,119.0,106.2,107.7,8508278.0,113.472,39650
6,2025-06-09 09:30:00-04:00,132.72,138.57,121.05,125.5,9111473.0,129.196,37689
7,2025-06-09 10:00:00-04:00,125.4,127.09,109.45,110.63,13846477.0,117.768,58925
8,2025-06-09 12:00:00-04:00,110.78,117.68,108.4,116.06,6569683.0,113.995,26269
9,2025-06-09 14:00:00-04:00,116.08,119.0,113.8,115.25,3770755.0,116.507,14165
10,2025-06-10 09:30:00-04:00,115.0,115.0,107.2,111.02,3981915.0,110.245,14451
11,2025-06-10 10:00:00-04:00,110.84,111.24,101.51,104.9,8526497.0,105.419,32741
12,2025-06-10 12:00:00-04:00,104.9,109.44,103.4,105.98,4400072.0,107.004,16082
13,2025-06-10 14:00:00-04:00,105.97,108.68,104.84,105.96,2628858.0,106.536,10380
14,2025-06-11 09:30:00-04:00,107.0,113.93,106.5,112.72,3780046.0,110.903,12960
15,2025-06-11 10:00:00-04:00,112.75,120.1,109.71,120.0,7889979.0,115.124,23881
16,2025-06-11 12:00:00-04:00,119.97,120.49,115.0,117.87,4394863.0,117.707,13877
17,2025-06-11 14:00:00-04:00,117.8,118.0,113.3,117.23,3491003.0,115.998,12937
18,2025-06-12 09:30:00-04:00,116.79,117.94,110.1,112.54,2203142.0,112.608,7091
19,2025-06-12 10:00:00-04:00,112.54,113.2,110.01,112.23,3163949.0,111.771,9709
20,2025-06-12 12:00:00-04:00,112.26,113.18,106.81,108.02,2586469.0,110.223,7969
21,2025-06-12 14:00:00-04:00,107.9,108.65,104.26,106.6,2745663.0,106.084,11166
22,2025-06-13 09:30:00-04:00,108.81,112.7,108.8,110.45,1938538.0,111.224,7233
23,2025-06-13 10:00:00-04:00,110.5,122.64,109.0,122.34,8979199.0,116.995,29125
24,2025-06-13 12:00:00-04:00,122.3,127.16,120.5,127.16,8752556.0,123.629,27542
25,2025-06-13 14:00:00-04:00,127.12,134.72,124.06,133.8,8050272.0,128.195,29265
26,2025-06-16 09:30:00-04:00,147.54,163.0,147.0,159.43,7892991.0,155.264,30172
27,2025-06-16 10:00:00-04:00,159.49,165.6,155.11,157.59,12286815.0,161.029,46444
28,2025-06-16 12:00:00-04:00,157.59,158.0,151.2,156.15,5848112.0,155.111,23954
29,2025-06-16 14:00:00-04:00,156.06,156.58,145.88,151.04,7151579.0,150.345,27662
30,2025-06-17 09:30:00-04:00,156.36,164.42,154.5,161.3,5452744.0,160.323,18513
31,2025-06-17 10:00:00-04:00,161.3,161.92,147.52,150.61,8824510.0,153.806,33584
32,2025-06-17 12:00:00-04:00,150.46,150.98,144.2,147.72,4691167.0,147.925,18715
33,2025-06-17 14:00:00-04:00,147.64,150.72,143.53,149.01,3943997.0,147.064,15469
34,2025-06-18 09:30:00-04:00,153.22,159.75,148.0,159.28,5753509.0,155.187,20356
35,2025-06-18 10:00:00-04:00,159.4,174.82,157.55,172.53,14967928.0,167.26,54402
