,date,open,high,low,close,volume,average,barCount
0,2015-11-30 09:30:00-05:00,32.72,32.85,32.31,32.58,976583.0,32.563,4979
1,2015-11-30 11:00:00-05:00,32.58,32.63,32.41,32.47,428484.0,32.507,2831
2,2015-11-30 13:00:00-05:00,32.46,32.5,32.37,32.39,617216.0,32.427,4085
3,2015-11-30 15:00:00-05:00,32.4,32.4,32.29,32.31,866362.0,32.339,5117
4,2015-12-01 09:30:00-05:00,32.43,32.59,32.29,32.41,750198.0,32.457,4587
5,2015-12-01 11:00:00-05:00,32.41,32.85,32.4,32.85,717993.0,32.571,4095
6,2015-12-01 13:00:00-05:00,32.86,33.03,32.85,32.98,1036445.0,32.95,5246
7,2015-12-01 15:00:00-05:00,32.98,33.06,32.94,33.01,1171782.0,33.002,5974
8,2015-12-02 09:30:00-05:00,33.01,33.1,32.7,32.83,582083.0,32.886,3262
9,2015-12-02 11:00:00-05:00,32.83,32.98,32.59,32.59,531857.0,32.827,3479
10,2015-12-02 13:00:00-05:00,32.58,32.69,32.09,32.15,635043.0,32.409,4204
11,2015-12-02 15:00:00-05:00,32.16,32.4,32.16,32.31,787057.0,32.295,4925
12,2015-12-03 09:30:00-05:00,32.42,32.55,31.94,32.07,789326.0,32.197,4518
13,2015-12-03 11:00:00-05:00,32.08,32.22,31.81,31.98,491023.0,32.023,3436
14,2015-12-03 13:00:00-05:00,31.97,32.11,31.46,31.72,781137.0,31.75,5564
15,2015-12-03 15:00:00-05:00,31.72,31.77,31.58,31.67,1270583.0,31.678,7060
16,2015-12-04 09:30:00-05:00,31.65,32.37,31.63,32.25,893568.0,32.059,5391
17,2015-12-04 11:00:00-05:00,32.24,32.6,32.18,32.58,556969.0,32.345,3752
18,2015-12-04 13:00:00-05:00,32.58,32.9,32.57,32.88,827688.0,32.787,5390
19,2015-12-04 15:00:00-05:00,32.88,32.99,32.8,32.99,1194928.0,32.922,6709
20,2015-12-07 09:30:00-05:00,32.84,33.07,32.7,32.81,847019.0,32.873,5041
21,2015-12-07 11:00:00-05:00,32.81,33.06,32.73,32.88,857497.0,32.901,4427
22,2015-12-07 13:00:00-05:00,32.88,33.0,32.7,32.83,724197.0,32.88,4487
23,2015-12-07 15:00:00-05:00,32.83,33.01,32.81,32.92,1246857.0,32.918,6953
24,2015-12-08 09:30:00-05:00,32.4,32.71,32.35,32.57,705245.0,32.504,3759
25,2015-12-08 11:00:00-05:00,32.58,32.74,32.08,32.18,691263.0,32.445,4071
26,2015-12-08 13:00:00-05:00,32.19,32.5,32.05,32.33,758735.0,32.283,5211
27,2015-12-08 15:00:00-05:00,32.33,32.52,32.28,32.48,1201766.0,32.435,6178
28,2015-12-09 09:30:00-05:00,32.21,32.67,32.21,32.42,568610.0,32.497,3234
29,2015-12-09 11:00:00-05:00,32.43,32.44,31.56,31.58,629289.0,31.997,4230
30,2015-12-09 13:00:00-05:00,31.58,31.96,31.57,31.94,1146589.0,31.827,5649
31,2015-12-09 15:00:00-05:00,31.94,31.99,31.83,31.85,1017234.0,31.89,5953
