,date,open,high,low,close,volume,average,barCount
0,2019-03-20 09:30:00-04:00,52.75,53.5,50.0,50.0,17855.0,51.078,63
1,2019-03-20 10:00:00-04:00,50.23,51.25,49.5,50.5,887180.0,50.36,1504
2,2019-03-20 12:00:00-04:00,50.5,50.75,49.85,50.0,712743.0,50.321,636
3,2019-03-20 14:00:00-04:00,50.01,50.28,49.56,49.8,657492.0,50.0,1173
4,2019-03-21 09:30:00-04:00,49.99,50.0,49.5,49.7,76955.0,49.535,73
5,2019-03-21 10:00:00-04:00,49.83,50.0,49.35,49.43,223107.0,49.646,905
6,2019-03-21 12:00:00-04:00,49.47,49.8,49.35,49.55,470063.0,49.608,1242
7,2019-03-21 14:00:00-04:00,49.58,49.65,48.2,48.75,814843.0,49.041,2700
8,2019-03-22 09:30:00-04:00,48.8,48.9,48.16,48.72,56037.0,48.528,214
9,2019-03-22 10:00:00-04:00,48.74,49.95,48.47,48.51,299897.0,48.839,827
10,2019-03-22 12:00:00-04:00,48.55,49.75,48.47,48.81,154278.0,48.701,753
11,2019-03-22 14:00:00-04:00,48.81,49.39,48.5,48.62,275821.0,48.948,1484
12,2019-03-25 09:30:00-04:00,48.6,48.99,48.01,48.31,81756.0,48.601,159
13,2019-03-25 10:00:00-04:00,48.3,48.7,48.0,48.23,40329.0,48.273,260
14,2019-03-25 12:00:00-04:00,48.22,48.67,48.15,48.35,41299.0,48.351,278
15,2019-03-25 14:00:00-04:00,48.36,49.4,48.14,49.0,255600.0,48.583,645
16,2019-03-26 09:30:00-04:00,49.0,49.75,48.62,49.75,17467.0,48.986,32
17,2019-03-26 10:00:00-04:00,49.0,49.18,48.7,49.06,122024.0,48.975,594
18,2019-03-26 12:00:00-04:00,48.88,49.07,48.18,48.54,75861.0,48.834,334
19,2019-03-26 14:00:00-04:00,48.5,49.25,48.32,49.0,273498.0,48.871,553
20,2019-03-27 09:30:00-04:00,49.0,50.78,49.0,50.05,254544.0,50.05,507
21,2019-03-27 10:00:00-04:00,50.03,50.2,49.32,49.39,447812.0,49.69,2057
22,2019-03-27 12:00:00-04:00,49.41,49.66,49.34,49.51,278196.0,49.512,1316
23,2019-03-27 14:00:00-04:00,49.55,50.61,49.3,50.5,671714.0,49.902,4270
24,2019-03-28 09:30:00-04:00,50.9,50.9,49.91,50.07,14210.0,50.153,114
25,2019-03-28 10:00:00-04:00,50.25,50.75,50.05,50.48,101021.0,50.409,780
26,2019-03-28 12:00:00-04:00,50.41,51.0,50.0,50.7,144590.0,50.429,950
27,2019-03-28 14:00:00-04:00,50.7,51.0,50.41,50.85,280520.0,50.725,1856
28,2019-03-29 09:30:00-04:00,49.52,50.44,49.49,50.22,145619.0,49.918,743
29,2019-03-29 10:00:00-04:00,50.5,50.55,49.18,50.46,810232.0,49.922,2939
30,2019-03-29 12:00:00-04:00,50.41,50.91,50.06,50.4,278556.0,50.308,1342
31,2019-03-29 14:00:00-04:00,50.4,52.48,50.39,52.2,366218.0,51.439,2188
32,2019-04-01 09:30:00-04:00,52.3,52.8,52.02,52.32,88507.0,52.387,428
33,2019-04-01 10:00:00-04:00,52.32,52.99,52.05,52.09,440160.0,52.594,3229
34,2019-04-01 12:00:00-04:00,52.09,52.51,51.25,52.38,548412.0,52.083,3246
35,2019-04-01 14:00:00-04:00,52.38,54.39,51.55,53.2,4122472.0,53.529,22984
36,2019-04-02 09:30:00-04:00,55.12,56.16,54.3,55.74,2614826.0,55.32,9977
37,2019-04-02 10:00:00-04:00,55.75,57.39,55.34,55.9,4798580.0,55.992,23202
38,2019-04-02 12:00:00-04:00,55.94,56.2,55.55,55.91,2893075.0,55.917,12003
39,2019-04-02 14:00:00-04:00,55.91,56.99,55.71,55.98,4455915.0,56.203,21715
40,2019-04-03 09:30:00-04:00,57.08,57.2,55.55,55.9,1689382.0,56.496,6073
41,2019-04-03 10:00:00-04:00,55.89,56.85,55.51,56.8,4472246.0,56.037,19366
42,2019-04-03 12:00:00-04:00,56.8,57.0,56.21,56.39,2646655.0,56.557,12230
43,2019-04-03 14:00:00-04:00,56.4,57.0,56.24,56.88,4260986.0,56.711,19536
44,2019-04-04 09:30:00-04:00,57.2,59.45,57.1,58.94,1243892.0,58.533,5662
45,2019-04-04 10:00:00-04:00,59.0,60.52,58.26,59.01,4209619.0,59.193,19925
46,2019-04-04 12:00:00-04:00,59.01,59.68,58.86,59.56,2516082.0,59.29,11193
47,2019-04-04 14:00:00-04:00,59.57,60.27,59.16,59.66,3934771.0,59.773,21150
48,2019-04-05 09:30:00-04:00,58.39,58.98,57.63,58.48,2057526.0,58.265,9383
49,2019-04-05 10:00:00-04:00,58.48,58.5,56.89,57.21,4535585.0,57.425,22103
50,2019-04-05 12:00:00-04:00,57.2,57.3,56.27,57.05,4198854.0,56.772,20651
51,2019-04-05 14:00:00-04:00,57.05,57.7,56.79,57.24,4397688.0,57.204,21398
52,2019-04-08 09:30:00-04:00,56.5,57.0,56.27,56.78,1248623.0,56.604,4625
53,2019-04-08 10:00:00-04:00,56.8,58.39,56.75,58.0,2998904.0,57.887,14083
54,2019-04-08 12:00:00-04:00,58.0,58.03,57.52,57.75,1924380.0,57.849,10654
55,2019-04-08 14:00:00-04:00,57.76,57.83,57.03,57.17,3477376.0,57.411,14329
56,2019-04-09 09:30:00-04:00,56.8,57.05,56.46,56.68,876320.0,56.726,3545
57,2019-04-09 10:00:00-04:00,56.7,56.93,56.53,56.84,1650966.0,56.768,7950
58,2019-04-09 12:00:00-04:00,56.84,57.2,56.5,56.66,1981067.0,56.823,9481
59,2019-04-09 14:00:00-04:00,56.66,56.74,56.08,56.29,3699324.0,56.361,15591
60,2019-04-10 09:30:00-04:00,55.94,56.41,55.83,56.22,785525.0,56.044,2479
61,2019-04-10 10:00:00-04:00,56.22,56.23,55.4,55.47,2290982.0,55.794,9340
62,2019-04-10 12:00:00-04:00,55.48,55.64,55.14,55.3,2110533.0,55.37,8961
63,2019-04-10 14:00:00-04:00,55.29,55.77,55.1,55.72,3060007.0,55.445,16039
64,2019-04-11 09:30:00-04:00,55.7,55.92,55.26,55.79,453569.0,55.581,2155
65,2019-04-11 10:00:00-04:00,55.8,56.21,55.52,55.61,1830840.0,55.851,8466
66,2019-04-11 12:00:00-04:00,55.63,55.8,55.39,55.64,1538041.0,55.607,5584
67,2019-04-11 14:00:00-04:00,55.66,55.66,54.83,54.89,2735081.0,55.193,10731
68,2019-04-12 09:30:00-04:00,55.93,56.68,55.93,56.28,1116089.0,56.226,4196
69,2019-04-12 10:00:00-04:00,56.27,57.47,56.15,57.36,2625487.0,56.793,12441
70,2019-04-12 12:00:00-04:00,57.35,58.0,57.33,57.96,1458931.0,57.721,7900
71,2019-04-12 14:00:00-04:00,57.97,58.33,57.65,58.3,2841107.0,58.02,14579
72,2019-04-15 09:30:00-04:00,58.57,58.85,57.29,58.52,480175.0,58.093,2136
73,2019-04-15 10:00:00-04:00,58.52,58.79,57.82,58.22,1361154.0,58.183,7544
74,2019-04-15 12:00:00-04:00,58.24,58.25,57.76,58.14,803175.0,58.053,4872
75,2019-04-15 14:00:00-04:00,58.15,58.4,57.54,57.78,2155577.0,57.808,12980
76,2019-04-16 09:30:00-04:00,58.71,58.88,57.84,58.18,600952.0,58.453,2305
77,2019-04-16 10:00:00-04:00,58.23,58.99,58.19,58.84,1703572.0,58.56,7800
78,2019-04-16 12:00:00-04:00,58.82,58.89,58.48,58.69,1551634.0,58.676,5572
79,2019-04-16 14:00:00-04:00,58.7,58.79,58.48,58.5,1928840.0,58.656,9832
80,2019-04-17 09:30:00-04:00,58.95,59.05,58.45,58.67,663820.0,58.768,2070
81,2019-04-17 10:00:00-04:00,58.66,58.8,58.2,58.21,1788505.0,58.473,6645
82,2019-04-17 12:00:00-04:00,58.22,58.61,58.21,58.48,1173430.0,58.46,4487
83,2019-04-17 14:00:00-04:00,58.48,58.54,58.28,58.33,1626595.0,58.429,6291
84,2019-04-18 09:30:00-04:00,58.39,58.61,58.22,58.46,345485.0,58.397,801
85,2019-04-18 10:00:00-04:00,58.46,58.47,57.65,57.88,1499875.0,57.894,4624
86,2019-04-18 12:00:00-04:00,57.92,58.05,57.55,57.78,1154538.0,57.883,4358
87,2019-04-18 14:00:00-04:00,57.79,57.97,57.74,57.77,1151795.0,57.876,6439
88,2019-04-22 09:30:00-04:00,57.48,57.78,57.26,57.75,535917.0,57.575,1386
89,2019-04-22 10:00:00-04:00,57.75,58.41,57.74,58.33,1068696.0,58.03,4179
90,2019-04-22 12:00:00-04:00,58.31,58.41,57.87,57.96,775621.0,58.145,3289
91,2019-04-22 14:00:00-04:00,57.96,58.13,57.78,57.89,1332658.0,57.919,6662
92,2019-04-23 09:30:00-04:00,57.29,57.48,57.0,57.27,838917.0,57.128,2751
93,2019-04-23 10:00:00-04:00,57.29,57.8,57.27,57.5,1385554.0,57.531,6353
94,2019-04-23 12:00:00-04:00,57.5,57.78,57.36,57.57,1275948.0,57.611,5805
95,2019-04-23 14:00:00-04:00,57.58,57.84,57.42,57.62,1542801.0,57.657,7780
96,2019-04-24 09:30:00-04:00,57.49,57.61,57.18,57.43,321841.0,57.423,1009
97,2019-04-24 10:00:00-04:00,57.41,57.89,57.21,57.24,840693.0,57.511,4162
98,2019-04-24 12:00:00-04:00,57.21,57.22,56.32,57.07,1229665.0,56.813,6325
99,2019-04-24 14:00:00-04:00,57.08,57.09,55.86,56.02,2270362.0,56.294,11437
100,2019-04-25 09:30:00-04:00,55.76,55.76,54.82,54.85,870858.0,55.278,2062
101,2019-04-25 10:00:00-04:00,54.86,55.72,54.84,55.66,1308580.0,55.218,5760
102,2019-04-25 12:00:00-04:00,55.66,55.98,55.24,55.39,1495010.0,55.54,6815
103,2019-04-25 14:00:00-04:00,55.39,55.62,55.28,55.31,1834475.0,55.411,7957
104,2019-04-26 09:30:00-04:00,55.3,55.47,54.95,55.04,314594.0,55.14,989
105,2019-04-26 10:00:00-04:00,55.03,55.51,54.98,55.5,1313523.0,55.287,3908
106,2019-04-26 12:00:00-04:00,55.5,55.6,55.05,55.07,698085.0,55.399,2599
107,2019-04-26 14:00:00-04:00,55.06,55.42,55.0,55.26,1007892.0,55.196,5629
108,2019-04-29 09:30:00-04:00,55.05,55.24,54.8,54.96,284100.0,55.006,1175
109,2019-04-29 10:00:00-04:00,54.96,55.34,54.8,55.33,1284067.0,54.968,4445
110,2019-04-29 12:00:00-04:00,55.32,55.4,55.01,55.29,1855495.0,55.268,3087
111,2019-04-29 14:00:00-04:00,55.29,55.69,55.13,55.5,1423803.0,55.455,6237
112,2019-04-30 09:30:00-04:00,55.76,55.98,55.6,55.84,952467.0,55.846,1140
113,2019-04-30 10:00:00-04:00,55.87,56.67,55.65,56.6,1106218.0,56.116,5278
