,date,open,high,low,close,volume,average,barCount
0,2017-04-17 09:30:00-04:00,5.525,5.58,5.5,5.58,1818.0,5.5293,5
1,2017-04-17 10:00:00-04:00,5.6,5.665,5.6,5.624,1182.0,5.65685,7
2,2017-04-17 12:00:00-04:00,5.6615,5.6615,5.54,5.5765,3340.0,5.63195,33
3,2017-04-17 14:00:00-04:00,5.5995,5.65,5.5,5.5,1884.2,5.60295,8
4,2017-04-18 09:30:00-04:00,5.417,5.5,5.417,5.5,700.0,5.42175,5
5,2017-04-18 10:00:00-04:00,5.51,5.51,5.483,5.4955,1431.4,5.5014,10
6,2017-04-18 12:00:00-04:00,5.55,5.55,5.55,5.55,300.0,5.55,7
7,2017-04-18 14:00:00-04:00,5.494,5.4955,5.494,5.4955,1340.0,5.49445,2
8,2017-04-19 09:30:00-04:00,5.5,5.5,5.438,5.4465,639.0,5.44885,5
9,2017-04-19 10:00:00-04:00,5.3535,5.3535,5.1615,5.2425,6145.0,5.26285,34
10,2017-04-19 12:00:00-04:00,5.277,5.277,5.1505,5.25,1900.0,5.22945,18
11,2017-04-19 14:00:00-04:00,5.1935,5.237,5.13,5.13,1578.4,5.19135,21
12,2017-04-20 09:30:00-04:00,5.0,5.1,5.0,5.1,306.4,5.06395,2
13,2017-04-20 10:00:00-04:00,5.1,5.1635,5.1,5.15,600.0,5.14605,7
14,2017-04-20 12:00:00-04:00,5.124,5.124,5.0005,5.053,1920.0,5.0631,9
15,2017-04-20 14:00:00-04:00,5.094,5.094,4.9805,5.05,1320.0,5.01225,10
16,2017-04-21 09:30:00-04:00,4.967,5.083,4.967,5.083,1840.0,5.0237,12
17,2017-04-21 10:00:00-04:00,5.1,5.1,5.0,5.0,1485.8,5.0328,8
18,2017-04-21 12:00:00-04:00,5.15,5.173,5.1,5.1,1800.0,5.1471,4
19,2017-04-21 14:00:00-04:00,5.1,5.1,5.1,5.1,0.0,5.1,0
20,2017-04-24 10:00:00-04:00,5.15,5.15,5.048,5.048,4282.0,5.0941,24
21,2017-04-24 12:00:00-04:00,5.0,5.0,4.9955,4.9955,191.0,4.99765,3
22,2017-04-24 14:00:00-04:00,5.015,5.126,4.9965,5.1,1468.4,5.0559,18
