,date,open,high,low,close,volume,average,barCount
0,2015-11-25 09:30:00-05:00,121.93,123.88,121.5,123.6,357875.0,123.021,2802
1,2015-11-25 11:00:00-05:00,123.6,123.64,122.95,123.21,252839.0,123.322,2135
2,2015-11-25 13:00:00-05:00,123.23,124.0,123.15,123.63,240914.0,123.616,2001
3,2015-11-25 15:00:00-05:00,123.68,123.75,123.46,123.62,229911.0,123.622,1988
4,2015-11-27 09:30:00-05:00,124.09,124.19,121.66,122.7,226936.0,122.719,1745
5,2015-11-27 11:00:00-05:00,122.76,123.95,122.7,123.64,290994.0,123.496,2451
6,2015-11-30 09:30:00-05:00,123.49,124.35,123.29,123.43,321233.0,123.809,2383
7,2015-11-30 11:00:00-05:00,123.4,123.44,122.14,122.27,196313.0,122.724,1624
8,2015-11-30 13:00:00-05:00,122.28,123.14,122.2,122.63,256716.0,122.729,1934
9,2015-11-30 15:00:00-05:00,122.63,123.24,122.6,123.12,270090.0,122.968,2275
10,2015-12-01 09:30:00-05:00,124.09,124.1,122.76,123.49,406248.0,123.433,3213
11,2015-12-01 11:00:00-05:00,123.5,124.3,123.1,124.16,365127.0,123.714,2915
12,2015-12-01 13:00:00-05:00,124.16,124.9,123.98,124.71,375253.0,124.445,3137
13,2015-12-01 15:00:00-05:00,124.69,125.23,124.14,125.05,384503.0,124.737,3009
14,2015-12-02 09:30:00-05:00,125.0,125.6,124.12,124.33,228576.0,124.817,1688
15,2015-12-02 11:00:00-05:00,124.33,124.44,123.2,123.41,243732.0,123.646,1992
16,2015-12-02 13:00:00-05:00,123.39,123.85,122.78,123.0,384714.0,123.184,2734
17,2015-12-02 15:00:00-05:00,123.03,123.53,122.91,123.12,283807.0,123.133,2376
18,2015-12-03 09:30:00-05:00,123.39,125.13,123.05,124.04,441236.0,124.118,3211
19,2015-12-03 11:00:00-05:00,124.03,124.54,122.42,122.45,586720.0,123.146,4057
20,2015-12-03 13:00:00-05:00,122.44,122.48,121.58,122.02,738616.0,122.119,4031
21,2015-12-03 15:00:00-05:00,121.98,122.46,121.93,122.27,841227.0,122.191,5488
