,date,open,high,low,close,volume,average,barCount
0,2015-11-30 09:30:00-05:00,56.18,56.9,56.1,56.47,366386.0,56.572,1972
1,2015-11-30 11:00:00-05:00,56.48,57.14,56.37,56.41,220530.0,56.827,1632
2,2015-11-30 13:00:00-05:00,56.37,56.57,56.19,56.23,197479.0,56.384,1329
3,2015-11-30 15:00:00-05:00,56.25,56.62,56.17,56.52,305761.0,56.472,2436
4,2015-12-01 09:30:00-05:00,56.6,57.95,56.6,57.83,424065.0,57.417,2694
5,2015-12-01 11:00:00-05:00,57.84,57.92,57.59,57.8,209160.0,57.785,1526
6,2015-12-01 13:00:00-05:00,57.8,58.23,57.61,58.12,335629.0,57.945,2410
7,2015-12-01 15:00:00-05:00,58.14,58.29,58.04,58.2,284034.0,58.187,2326
8,2015-12-02 09:30:00-05:00,58.06,59.8,57.95,59.73,575931.0,59.088,3684
9,2015-12-02 11:00:00-05:00,59.76,60.32,58.95,60.28,936869.0,59.646,5587
10,2015-12-02 13:00:00-05:00,60.28,60.31,58.92,58.92,929472.0,59.599,7301
11,2015-12-02 15:00:00-05:00,58.91,59.89,58.8,59.65,741291.0,59.563,5317
12,2015-12-03 09:30:00-05:00,60.0,62.05,59.63,59.98,932852.0,60.843,5388
13,2015-12-03 11:00:00-05:00,59.98,59.98,59.18,59.67,475294.0,59.637,3027
14,2015-12-03 13:00:00-05:00,59.68,60.0,58.66,59.24,448877.0,59.196,3245
15,2015-12-03 15:00:00-05:00,59.2,59.51,58.92,59.46,401581.0,59.28,3185
16,2015-12-04 09:30:00-05:00,59.06,59.7,58.49,59.67,418402.0,59.085,2258
17,2015-12-04 11:00:00-05:00,59.66,59.88,58.96,59.36,292306.0,59.367,1844
18,2015-12-04 13:00:00-05:00,59.37,59.96,58.95,59.94,332629.0,59.292,2147
19,2015-12-04 15:00:00-05:00,59.94,60.01,59.68,59.81,201677.0,59.829,1392
20,2015-12-07 09:30:00-05:00,59.29,59.59,58.22,58.66,471279.0,58.732,2724
21,2015-12-07 11:00:00-05:00,58.67,59.46,58.64,58.96,397508.0,59.045,2650
22,2015-12-07 13:00:00-05:00,58.93,59.32,58.78,59.27,275861.0,59.047,2073
23,2015-12-07 15:00:00-05:00,59.26,59.53,59.17,59.32,355792.0,59.322,2494
24,2015-12-08 09:30:00-05:00,58.43,58.63,56.96,58.56,891293.0,57.893,4363
25,2015-12-08 11:00:00-05:00,58.61,59.13,58.15,58.28,702404.0,58.661,4151
26,2015-12-08 13:00:00-05:00,58.3,58.99,58.02,58.96,369836.0,58.371,2462
27,2015-12-08 15:00:00-05:00,58.96,59.25,58.59,59.06,448212.0,59.002,3451
28,2015-12-09 09:30:00-05:00,59.46,61.92,59.05,60.6,921372.0,61.073,5342
29,2015-12-09 11:00:00-05:00,60.58,60.73,58.42,58.79,633197.0,59.348,3476
30,2015-12-09 13:00:00-05:00,58.78,59.47,58.57,58.7,307800.0,59.065,2136
31,2015-12-09 15:00:00-05:00,58.69,59.13,58.67,58.84,466369.0,58.907,3297
32,2015-12-10 09:30:00-05:00,54.32,55.39,52.96,53.62,2523008.0,53.836,13885
33,2015-12-10 11:00:00-05:00,53.6,53.7,52.51,53.04,1620128.0,52.948,8608
34,2015-12-10 13:00:00-05:00,53.03,53.84,52.58,53.84,1149484.0,53.043,6121
35,2015-12-10 15:00:00-05:00,53.83,54.4,53.8,54.35,1476316.0,54.06,8383
36,2015-12-11 09:30:00-05:00,53.95,55.74,53.5,55.7,1076249.0,54.49,5513
37,2015-12-11 11:00:00-05:00,55.71,56.6,55.27,55.71,852706.0,55.794,5625
38,2015-12-11 13:00:00-05:00,55.7,56.04,55.06,55.36,386179.0,55.46,2857
39,2015-12-11 15:00:00-05:00,55.36,55.44,54.92,55.26,594905.0,55.135,3833
40,2015-12-14 09:30:00-05:00,55.79,56.53,55.18,55.87,563888.0,56.061,3323
41,2015-12-14 11:00:00-05:00,55.84,58.0,55.04,57.89,941126.0,56.437,4496
42,2015-12-14 13:00:00-05:00,57.89,58.48,57.28,58.11,713094.0,57.983,4253
43,2015-12-14 15:00:00-05:00,58.13,58.42,57.86,58.42,670060.0,58.184,4707
44,2015-12-15 09:30:00-05:00,58.86,60.35,58.15,58.83,2631964.0,59.699,12253
45,2015-12-15 11:00:00-05:00,58.8,59.58,58.12,59.46,473893.0,58.872,3200
46,2015-12-15 13:00:00-05:00,59.49,59.89,59.06,59.86,413716.0,59.45,2620
47,2015-12-15 15:00:00-05:00,59.85,60.22,59.69,59.82,539514.0,59.926,3927
48,2015-12-16 09:30:00-05:00,63.49,66.35,63.4,64.87,3546974.0,65.053,18467
49,2015-12-16 11:00:00-05:00,64.94,65.47,64.41,64.47,988496.0,64.924,5583
50,2015-12-16 13:00:00-05:00,64.47,65.65,64.18,65.54,957740.0,64.757,5621
51,2015-12-16 15:00:00-05:00,65.58,65.81,65.12,65.63,680928.0,65.577,4675
52,2015-12-17 09:30:00-05:00,66.5,66.65,64.03,64.2,1233783.0,65.007,6717
53,2015-12-17 11:00:00-05:00,64.23,65.44,64.17,65.11,524600.0,64.969,3375
54,2015-12-17 13:00:00-05:00,65.08,65.47,64.85,65.18,396578.0,65.143,2703
55,2015-12-17 15:00:00-05:00,65.21,65.4,64.47,64.48,656920.0,64.819,4545
56,2015-12-18 09:30:00-05:00,63.84,65.34,63.29,65.06,718810.0,64.382,3469
57,2015-12-18 11:00:00-05:00,65.09,65.35,63.8,63.93,497734.0,64.499,2956
58,2015-12-18 13:00:00-05:00,63.93,64.23,63.8,64.13,306846.0,64.029,2001
59,2015-12-18 15:00:00-05:00,64.2,64.31,63.37,63.41,760810.0,63.799,4427
60,2015-12-21 09:30:00-05:00,64.65,66.15,64.5,65.42,1056708.0,65.499,4890
61,2015-12-21 11:00:00-05:00,65.47,65.93,65.15,65.55,538977.0,65.564,2880
62,2015-12-21 13:00:00-05:00,65.55,65.69,65.0,65.46,336309.0,65.376,1977
63,2015-12-21 15:00:00-05:00,65.44,65.78,65.27,65.73,373709.0,65.572,2024
64,2015-12-22 09:30:00-05:00,65.47,65.64,63.77,64.0,644066.0,64.426,3618
65,2015-12-22 11:00:00-05:00,64.01,64.65,63.73,64.6,294912.0,64.127,1795
66,2015-12-22 13:00:00-05:00,64.63,64.76,64.38,64.61,275163.0,64.568,2066
67,2015-12-22 15:00:00-05:00,64.59,65.09,64.59,64.99,309580.0,64.907,2160
68,2015-12-23 09:30:00-05:00,65.49,66.47,65.35,66.12,390743.0,66.074,1761
69,2015-12-23 11:00:00-05:00,66.13,66.52,65.86,66.17,266593.0,66.278,1403
70,2015-12-23 13:00:00-05:00,66.21,66.52,66.1,66.25,209150.0,66.287,1345
71,2015-12-23 15:00:00-05:00,66.26,66.33,66.06,66.17,208549.0,66.189,1646
72,2015-12-24 09:30:00-05:00,66.26,67.39,66.25,67.15,320579.0,67.005,1846
73,2015-12-24 11:00:00-05:00,67.17,67.8,66.84,66.91,470124.0,67.33,2858
74,2015-12-28 09:30:00-05:00,66.53,66.8,65.11,65.37,325660.0,65.878,1659
75,2015-12-28 11:00:00-05:00,65.32,66.22,65.26,66.22,190161.0,65.888,1334
76,2015-12-28 13:00:00-05:00,66.25,66.51,66.02,66.26,170153.0,66.272,1048
77,2015-12-28 15:00:00-05:00,66.26,66.41,66.17,66.39,148208.0,66.308,1118
78,2015-12-29 09:30:00-05:00,66.7,66.95,65.45,65.76,327479.0,66.194,1701
79,2015-12-29 11:00:00-05:00,65.74,66.53,65.58,66.44,218699.0,65.967,1419
80,2015-12-29 13:00:00-05:00,66.44,66.58,66.32,66.51,118037.0,66.474,750
81,2015-12-29 15:00:00-05:00,66.5,66.75,66.37,66.41,158497.0,66.534,1186
82,2015-12-30 09:30:00-05:00,66.23,67.16,66.01,66.36,281737.0,66.568,1804
83,2015-12-30 11:00:00-05:00,66.39,66.99,66.3,66.81,177369.0,66.663,1286
84,2015-12-30 13:00:00-05:00,66.8,67.0,66.62,66.91,192717.0,66.814,1491
85,2015-12-30 15:00:00-05:00,66.92,67.1,66.88,67.0,349433.0,67.008,2516
86,2015-12-31 09:30:00-05:00,66.51,67.08,66.13,66.73,322963.0,66.688,2042
87,2015-12-31 11:00:00-05:00,66.74,66.94,66.44,66.44,298064.0,66.681,1981
88,2015-12-31 13:00:00-05:00,66.44,66.58,66.14,66.34,230930.0,66.357,1372
89,2015-12-31 15:00:00-05:00,66.32,66.48,65.99,65.99,303493.0,66.236,2250
90,2016-01-04 09:30:00-05:00,64.71,66.12,64.16,65.16,591060.0,65.399,3531
91,2016-01-04 11:00:00-05:00,65.16,66.26,64.81,66.15,426364.0,65.683,2891
92,2016-01-04 13:00:00-05:00,66.16,66.74,66.12,66.52,296382.0,66.463,1812
93,2016-01-04 15:00:00-05:00,66.59,66.76,66.21,66.73,317458.0,66.53,2389
94,2016-01-05 09:30:00-05:00,70.88,71.86,70.11,71.59,2750439.0,71.073,15650
95,2016-01-05 11:00:00-05:00,71.63,72.1,70.73,71.25,1161905.0,71.541,6604
96,2016-01-05 13:00:00-05:00,71.23,72.12,71.08,71.82,757402.0,71.714,4627
97,2016-01-05 15:00:00-05:00,71.81,72.11,71.63,72.03,826031.0,71.928,5607
98,2016-01-06 09:30:00-05:00,71.0,71.45,69.77,69.8,874471.0,70.549,4555
99,2016-01-06 11:00:00-05:00,69.8,70.34,69.55,69.68,468715.0,69.884,2841
100,2016-01-06 13:00:00-05:00,69.69,69.83,68.42,68.52,512828.0,69.185,3210
101,2016-01-06 15:00:00-05:00,68.51,69.64,68.42,69.51,493980.0,69.202,3537
102,2016-01-07 09:30:00-05:00,67.64,68.7,67.21,68.06,933203.0,67.939,5768
103,2016-01-07 11:00:00-05:00,68.05,68.28,66.94,67.0,759514.0,67.381,5477
104,2016-01-07 13:00:00-05:00,66.98,67.07,65.35,65.73,1061736.0,66.242,7468
105,2016-01-07 15:00:00-05:00,65.73,66.54,65.5,66.24,710491.0,66.141,5796
106,2016-01-08 09:30:00-05:00,67.54,67.95,65.5,65.87,859199.0,66.736,4909
107,2016-01-08 11:00:00-05:00,65.86,66.42,64.73,65.79,571625.0,65.587,3686
108,2016-01-08 13:00:00-05:00,65.83,66.47,65.46,66.11,379041.0,65.939,2450
109,2016-01-08 15:00:00-05:00,66.1,66.39,65.46,65.64,559065.0,65.766,3758
110,2016-01-11 09:30:00-05:00,65.85,66.72,65.19,65.52,434145.0,65.878,2503
111,2016-01-11 11:00:00-05:00,65.5,65.96,65.12,65.23,327893.0,65.572,2343
112,2016-01-11 13:00:00-05:00,65.2,65.35,64.49,64.86,255020.0,64.92,1977
113,2016-01-11 15:00:00-05:00,64.86,65.7,64.37,65.41,353756.0,65.289,2918
114,2016-01-12 09:30:00-05:00,65.98,66.54,64.41,64.78,413502.0,65.427,2413
115,2016-01-12 11:00:00-05:00,64.8,65.04,63.27,63.6,403738.0,63.971,2918
116,2016-01-12 13:00:00-05:00,63.62,64.4,63.07,64.33,401494.0,63.601,2656
117,2016-01-12 15:00:00-05:00,64.28,65.33,64.02,65.21,493138.0,64.953,3449
118,2016-01-13 09:30:00-05:00,65.52,66.27,63.94,64.36,586599.0,64.957,3496
119,2016-01-13 11:00:00-05:00,64.31,64.31,62.71,62.98,540842.0,63.395,3487
120,2016-01-13 13:00:00-05:00,62.97,63.02,61.08,61.6,564815.0,62.087,3665
121,2016-01-13 15:00:00-05:00,61.62,62.08,61.21,61.37,397164.0,61.549,3056
122,2016-01-14 09:30:00-05:00,60.79,60.85,57.54,60.62,1489801.0,59.181,8976
123,2016-01-14 11:00:00-05:00,60.65,61.79,59.82,61.54,884627.0,60.699,5678
124,2016-01-14 13:00:00-05:00,61.54,62.49,61.49,62.41,335660.0,61.981,2534
125,2016-01-14 15:00:00-05:00,62.43,62.6,61.67,61.78,459021.0,61.989,3286
126,2016-01-15 09:30:00-05:00,59.58,60.89,58.8,59.7,629996.0,60.153,3690
127,2016-01-15 11:00:00-05:00,59.71,60.15,58.83,59.52,413050.0,59.549,2802
128,2016-01-15 13:00:00-05:00,59.51,61.18,59.27,61.18,369036.0,60.407,2429
129,2016-01-15 15:00:00-05:00,61.15,61.64,61.01,61.31,480089.0,61.358,3312
130,2016-01-19 09:30:00-05:00,62.5,63.15,61.09,62.08,597647.0,62.111,3355
131,2016-01-19 11:00:00-05:00,61.97,62.8,61.74,62.12,419873.0,62.242,2806
132,2016-01-19 13:00:00-05:00,62.13,62.46,60.74,61.01,330725.0,61.599,2390
133,2016-01-19 15:00:00-05:00,61.02,61.99,60.91,61.48,434326.0,61.623,2960
134,2016-01-20 09:30:00-05:00,60.39,60.63,57.29,57.4,794153.0,58.688,4510
135,2016-01-20 11:00:00-05:00,57.32,58.24,57.2,58.11,508919.0,57.701,3480
