,date,open,high,low,close,volume,average,barCount
0,2015-11-30 09:30:00-05:00,2.48,2.55,2.48,2.51,795381.0,2.51526,2154
1,2015-11-30 11:00:00-05:00,2.52,2.55,2.515,2.53,430577.0,2.53586,1047
2,2015-11-30 13:00:00-05:00,2.525,2.56,2.515,2.535,835502.0,2.5389,1526
3,2015-11-30 15:00:00-05:00,2.53,2.54,2.51,2.53,707284.0,2.53087,2218
4,2015-12-01 09:30:00-05:00,2.46,2.47,2.41,2.465,882298.0,2.4427,3278
5,2015-12-01 11:00:00-05:00,2.47,2.5,2.46,2.48,571479.0,2.47759,2342
6,2015-12-01 13:00:00-05:00,2.48,2.6,2.47,2.595,1836278.0,2.54269,4346
7,2015-12-01 15:00:00-05:00,2.595,2.61,2.53,2.55,1398915.0,2.56815,3084
8,2015-12-02 09:30:00-05:00,2.49,2.51,2.43,2.445,995215.0,2.4662,2551
9,2015-12-02 11:00:00-05:00,2.44,2.45,2.39,2.42,576944.0,2.4183,1303
10,2015-12-02 13:00:00-05:00,2.42,2.48,2.415,2.42,584539.0,2.45049,1648
11,2015-12-02 15:00:00-05:00,2.425,2.46,2.41,2.41,657746.0,2.42981,1888
12,2015-12-03 09:30:00-05:00,2.45,2.47,2.42,2.47,630702.0,2.44873,2140
13,2015-12-03 11:00:00-05:00,2.465,2.51,2.44,2.495,573964.0,2.4731,1338
14,2015-12-03 13:00:00-05:00,2.49,2.51,2.46,2.5,565258.0,2.48299,1782
15,2015-12-03 15:00:00-05:00,2.5,2.5,2.46,2.47,470741.0,2.47836,1558
16,2015-12-04 09:30:00-05:00,2.46,2.55,2.42,2.495,1906419.0,2.51499,3901
17,2015-12-04 11:00:00-05:00,2.5,2.54,2.495,2.52,9616908.0,2.52884,3494
18,2015-12-04 13:00:00-05:00,2.52,2.57,2.515,2.52,4528586.0,2.53606,4113
19,2015-12-04 15:00:00-05:00,2.52,2.53,2.46,2.51,2610205.0,2.48848,4333
20,2015-12-07 09:30:00-05:00,2.52,2.57,2.47,2.57,1778524.0,2.51446,3866
21,2015-12-07 11:00:00-05:00,2.57,2.58,2.51,2.515,641238.0,2.5529,2012
22,2015-12-07 13:00:00-05:00,2.52,2.53,2.48,2.485,560041.0,2.50621,2209
23,2015-12-07 15:00:00-05:00,2.485,2.51,2.47,2.49,912661.0,2.496,2824
24,2015-12-08 09:30:00-05:00,2.52,2.58,2.48,2.51,994211.0,2.53368,2666
25,2015-12-08 11:00:00-05:00,2.52,2.53,2.48,2.51,508692.0,2.50285,1394
26,2015-12-08 13:00:00-05:00,2.51,2.54,2.5,2.525,686396.0,2.51933,2166
27,2015-12-08 15:00:00-05:00,2.52,2.54,2.5,2.52,1028432.0,2.52001,3774
28,2015-12-09 09:30:00-05:00,2.58,2.6,2.47,2.48,1167520.0,2.53851,2704
