,date,open,high,low,close,volume,average,barCount
0,2015-11-30 09:30:00-05:00,0.59,0.6,0.58,0.5943,282015.0,0.59189,768
1,2015-11-30 11:00:00-05:00,0.596,0.6152,0.5848,0.6096,218384.0,0.60184,820
2,2015-11-30 13:00:00-05:00,0.6086,0.618,0.5955,0.6022,432458.0,0.60578,986
3,2015-11-30 15:00:00-05:00,0.6012,0.6147,0.6001,0.6053,264136.0,0.60447,1108
4,2015-12-01 09:30:00-05:00,0.581,0.6051,0.581,0.6,366355.0,0.59294,543
5,2015-12-01 11:00:00-05:00,0.6,0.6012,0.5941,0.5944,72576.0,0.59918,380
6,2015-12-01 13:00:00-05:00,0.5943,0.6258,0.59,0.622,187502.0,0.60991,675
7,2015-12-01 15:00:00-05:00,0.622,0.625,0.6047,0.6079,246549.0,0.61061,1088
8,2015-12-02 09:30:00-05:00,0.6036,0.628,0.6,0.6218,289727.0,0.61177,642
9,2015-12-02 11:00:00-05:00,0.6215,0.628,0.6022,0.6121,254875.0,0.62257,596
10,2015-12-02 13:00:00-05:00,0.6104,0.64,0.6025,0.6309,406550.0,0.6211,1042
11,2015-12-02 15:00:00-05:00,0.6308,0.6501,0.6135,0.6436,790434.0,0.6374,1142
12,2015-12-03 09:30:00-05:00,0.6105,0.645,0.5976,0.6402,263537.0,0.63603,608
13,2015-12-03 11:00:00-05:00,0.6402,0.6643,0.6384,0.6478,188377.0,0.64854,1262
14,2015-12-03 13:00:00-05:00,0.6418,0.66,0.6418,0.66,230425.0,0.6498,1367
15,2015-12-03 15:00:00-05:00,0.66,0.66,0.6547,0.658,178307.0,0.65825,706
16,2015-12-04 09:30:00-05:00,0.6474,0.69,0.635,0.6802,437750.0,0.67065,1603
17,2015-12-04 11:00:00-05:00,0.6801,0.7065,0.6801,0.7,307480.0,0.69711,967
18,2015-12-04 13:00:00-05:00,0.7,0.707,0.6929,0.7,223624.0,0.70022,752
19,2015-12-04 15:00:00-05:00,0.7,0.73,0.6999,0.7223,728803.0,0.71528,2312
20,2015-12-07 09:30:00-05:00,0.7087,0.732,0.6919,0.7284,641576.0,0.71303,1552
21,2015-12-07 11:00:00-05:00,0.7284,0.74,0.7242,0.7301,286253.0,0.73116,1092
22,2015-12-07 13:00:00-05:00,0.7301,0.7322,0.706,0.7166,353703.0,0.72782,1097
23,2015-12-07 15:00:00-05:00,0.7166,0.73,0.7,0.7257,293107.0,0.71526,1534
24,2015-12-08 09:30:00-05:00,0.7322,0.7478,0.7131,0.7229,359298.0,0.73473,891
25,2015-12-08 11:00:00-05:00,0.7288,0.746,0.7103,0.744,134791.0,0.72538,789
26,2015-12-08 13:00:00-05:00,0.7439,0.7439,0.712,0.7136,131955.0,0.72555,592
27,2015-12-08 15:00:00-05:00,0.7146,0.7379,0.7141,0.7301,157875.0,0.7263,794
28,2015-12-09 09:30:00-05:00,0.76,0.8,0.7525,0.7801,788222.0,0.78179,1374
29,2015-12-09 11:00:00-05:00,0.7801,0.8,0.778,0.78,527194.0,0.78401,2257
30,2015-12-09 13:00:00-05:00,0.78,0.8,0.778,0.7889,320501.0,0.78445,1536
31,2015-12-09 15:00:00-05:00,0.7894,0.8,0.7817,0.7991,282274.0,0.78859,983
32,2015-12-10 09:30:00-05:00,0.85,0.88,0.83,0.8485,823107.0,0.86277,1203
33,2015-12-10 11:00:00-05:00,0.8485,0.8852,0.8485,0.8805,431911.0,0.87161,1535
34,2015-12-10 13:00:00-05:00,0.88,0.89,0.8712,0.8803,349684.0,0.88165,998
35,2015-12-10 15:00:00-05:00,0.8818,0.8818,0.8704,0.871,833121.0,0.87771,1338
36,2015-12-11 09:30:00-05:00,0.9778,0.99,0.9,0.9097,1642013.0,0.92891,2947
37,2015-12-11 11:00:00-05:00,0.9088,0.9169,0.8963,0.8963,565218.0,0.90674,1582
38,2015-12-11 13:00:00-05:00,0.8976,0.92,0.8858,0.91,1338506.0,0.90562,1860
39,2015-12-11 15:00:00-05:00,0.91,0.95,0.91,0.9414,534998.0,0.92723,2222
40,2015-12-14 09:30:00-05:00,0.881,0.893,0.79,0.81,1032930.0,0.82805,2845
41,2015-12-14 11:00:00-05:00,0.8103,0.8179,0.78,0.7951,416485.0,0.80111,1388
42,2015-12-14 13:00:00-05:00,0.7951,0.807,0.7808,0.7927,462536.0,0.79195,1893
43,2015-12-14 15:00:00-05:00,0.7926,0.8026,0.79,0.8001,500728.0,0.79546,2299
44,2015-12-15 09:30:00-05:00,0.8077,0.819,0.7661,0.7741,411590.0,0.78809,1884
45,2015-12-15 11:00:00-05:00,0.7741,0.8174,0.774,0.8027,291943.0,0.79092,1815
46,2015-12-15 13:00:00-05:00,0.8028,0.8074,0.7865,0.7909,308752.0,0.80249,2055
47,2015-12-15 15:00:00-05:00,0.7909,0.817,0.7879,0.8066,534714.0,0.80292,1894
48,2015-12-16 09:30:00-05:00,0.8331,0.8554,0.8047,0.8413,494866.0,0.83578,1715
49,2015-12-16 11:00:00-05:00,0.8413,0.8476,0.8241,0.8381,408507.0,0.83627,2245
50,2015-12-16 13:00:00-05:00,0.838,0.838,0.8,0.8111,459744.0,0.81378,2374
51,2015-12-16 15:00:00-05:00,0.8111,0.8111,0.795,0.8019,445305.0,0.80074,1947
52,2015-12-17 09:30:00-05:00,0.8426,0.8426,0.7626,0.775,860076.0,0.78901,2926
53,2015-12-17 11:00:00-05:00,0.775,0.7968,0.7583,0.7653,658623.0,0.77032,2431
54,2015-12-17 13:00:00-05:00,0.7652,0.7899,0.7615,0.7793,445420.0,0.77446,2383
55,2015-12-17 15:00:00-05:00,0.7792,0.7923,0.76,0.769,378137.0,0.77372,1916
56,2015-12-18 09:30:00-05:00,0.8479,0.8792,0.82,0.8332,1014659.0,0.85779,2680
57,2015-12-18 11:00:00-05:00,0.836,0.8362,0.803,0.8201,757331.0,0.81836,3255
58,2015-12-18 13:00:00-05:00,0.82,0.86,0.82,0.859,439285.0,0.83805,2431
59,2015-12-18 15:00:00-05:00,0.8589,0.8792,0.8169,0.836,1078056.0,0.84588,3757
60,2015-12-21 09:30:00-05:00,0.93,0.95,0.9088,0.9211,858099.0,0.93292,1400
61,2015-12-21 11:00:00-05:00,0.9211,0.9268,0.8869,0.89,510536.0,0.91425,1805
62,2015-12-21 13:00:00-05:00,0.89,0.9,0.8717,0.8928,243972.0,0.89009,1076
63,2015-12-21 15:00:00-05:00,0.8923,0.8999,0.8747,0.8915,261533.0,0.88653,1142
64,2015-12-22 09:30:00-05:00,0.9382,0.9382,0.9051,0.9105,526001.0,0.9163,1356
65,2015-12-22 11:00:00-05:00,0.9105,0.9115,0.8728,0.8728,277472.0,0.89637,971
66,2015-12-22 13:00:00-05:00,0.8728,0.9221,0.87,0.8769,186993.0,0.88116,704
67,2015-12-22 15:00:00-05:00,0.877,0.8866,0.873,0.8825,150929.0,0.88111,491
68,2015-12-23 09:30:00-05:00,0.9395,0.9396,0.9125,0.9194,377223.0,0.92553,625
69,2015-12-23 11:00:00-05:00,0.9193,1.03,0.9193,1.0201,1122114.0,0.97856,2174
70,2015-12-23 13:00:00-05:00,1.03,1.06,1.0,1.04,1277510.0,1.0304,2167
71,2015-12-23 15:00:00-05:00,1.035,1.05,1.0,1.0,619373.0,1.02527,1212
72,2015-12-24 09:30:00-05:00,1.04,1.04,0.99,1.015,319165.0,1.0169,566
73,2015-12-24 11:00:00-05:00,1.015,1.03,1.01,1.01,357477.0,1.01715,1059
74,2015-12-28 09:30:00-05:00,1.0,1.01,0.9756,0.9803,410267.0,0.99506,915
75,2015-12-28 11:00:00-05:00,0.9803,0.985,0.962,0.9638,259465.0,0.97422,990
76,2015-12-28 13:00:00-05:00,0.9637,0.9777,0.9469,0.9483,265925.0,0.95876,492
77,2015-12-28 15:00:00-05:00,0.9482,0.9594,0.9482,0.9594,108376.0,0.95199,501
78,2015-12-29 09:30:00-05:00,0.994,0.994,0.932,0.939,260746.0,0.96305,656
79,2015-12-29 11:00:00-05:00,0.939,0.9592,0.9356,0.94,254408.0,0.9448,670
80,2015-12-29 13:00:00-05:00,0.9404,0.95,0.93,0.9406,188638.0,0.94066,576
81,2015-12-29 15:00:00-05:00,0.9405,0.9522,0.9403,0.9501,146044.0,0.94701,537
82,2015-12-30 09:30:00-05:00,0.9401,0.95,0.9118,0.9158,272549.0,0.9293,744
83,2015-12-30 11:00:00-05:00,0.9158,0.9323,0.9158,0.922,107230.0,0.9259,554
84,2015-12-30 13:00:00-05:00,0.922,0.9273,0.918,0.9214,106503.0,0.92109,531
85,2015-12-30 15:00:00-05:00,0.9203,0.933,0.9187,0.9294,128336.0,0.92236,381
86,2015-12-31 09:30:00-05:00,0.934,0.9395,0.92,0.93,127823.0,0.92629,436
87,2015-12-31 11:00:00-05:00,0.9286,0.9354,0.9286,0.93,104742.0,0.93275,401
88,2015-12-31 13:00:00-05:00,0.93,0.9324,0.9214,0.9275,174254.0,0.92821,436
89,2015-12-31 15:00:00-05:00,0.9225,0.9304,0.9223,0.9304,77713.0,0.92578,335
90,2016-01-04 09:30:00-05:00,1.05,1.06,1.03,1.05,486791.0,1.04946,1049
91,2016-01-04 11:00:00-05:00,1.05,1.06,1.01,1.05,909193.0,1.04282,1987
92,2016-01-04 13:00:00-05:00,1.05,1.05,1.04,1.05,189904.0,1.04685,631
93,2016-01-04 15:00:00-05:00,1.05,1.06,1.04,1.06,215627.0,1.05141,671
94,2016-01-05 09:30:00-05:00,1.11,1.16,1.11,1.13,885092.0,1.13744,1802
95,2016-01-05 11:00:00-05:00,1.12,1.13,1.1,1.12,345070.0,1.11583,943
96,2016-01-05 13:00:00-05:00,1.12,1.13,1.08,1.12,1329956.0,1.10022,1944
97,2016-01-05 15:00:00-05:00,1.12,1.14,1.11,1.14,319364.0,1.1243,1199
