,date,open,high,low,close,volume,average,barCount
0,2015-12-02 09:30:00-05:00,35.09,35.41,35.0,35.22,5048134.0,35.231,20045
1,2015-12-02 11:00:00-05:00,35.22,35.28,35.04,35.24,3138273.0,35.154,17195
2,2015-12-02 13:00:00-05:00,35.24,35.29,34.87,34.91,3437199.0,35.044,17197
3,2015-12-02 15:00:00-05:00,34.91,34.99,34.8,34.83,3816530.0,34.871,16298
4,2015-12-03 09:30:00-05:00,34.99,34.99,34.62,34.68,4513556.0,34.815,22914
5,2015-12-03 11:00:00-05:00,34.69,34.83,34.3,34.31,4788702.0,34.551,24945
6,2015-12-03 13:00:00-05:00,34.31,34.48,34.04,34.09,6646625.0,34.226,33855
7,2015-12-03 15:00:00-05:00,34.09,34.12,34.0,34.04,7199109.0,34.05,29315
8,2015-12-04 09:30:00-05:00,34.11,34.69,34.0,34.63,5686676.0,34.442,26955
9,2015-12-04 11:00:00-05:00,34.63,34.84,34.53,34.84,4574222.0,34.638,23516
10,2015-12-04 13:00:00-05:00,34.85,35.03,34.82,34.99,5554868.0,34.925,26255
11,2015-12-04 15:00:00-05:00,35.0,35.02,34.86,34.94,5000091.0,34.917,22382
12,2015-12-07 09:30:00-05:00,34.79,35.17,34.75,35.13,5579563.0,35.033,26591
13,2015-12-07 11:00:00-05:00,35.13,35.13,34.76,34.82,3551570.0,34.984,19633
14,2015-12-07 13:00:00-05:00,34.82,35.06,34.82,34.96,2435850.0,34.956,13933
15,2015-12-07 15:00:00-05:00,34.96,35.04,34.89,34.99,2390929.0,34.969,11725
16,2015-12-08 09:30:00-05:00,34.67,34.78,34.42,34.77,3891740.0,34.588,20425
17,2015-12-08 11:00:00-05:00,34.77,34.95,34.65,34.76,2370267.0,34.782,12429
18,2015-12-08 13:00:00-05:00,34.76,34.95,34.67,34.85,2494098.0,34.822,12650
19,2015-12-08 15:00:00-05:00,34.86,34.88,34.7,34.75,2670670.0,34.795,12191
20,2015-12-09 09:30:00-05:00,34.88,35.22,34.7,35.21,4507241.0,35.022,21024
21,2015-12-09 11:00:00-05:00,35.21,35.22,34.51,34.62,5413060.0,34.816,26974
22,2015-12-09 13:00:00-05:00,34.62,34.74,34.54,34.64,3823331.0,34.632,21688
23,2015-12-09 15:00:00-05:00,34.63,34.83,34.62,34.81,4464644.0,34.761,17036
24,2015-12-10 09:30:00-05:00,34.85,34.99,34.66,34.83,3525226.0,34.858,19723
25,2015-12-10 11:00:00-05:00,34.84,34.92,34.73,34.88,2863650.0,34.832,15561
26,2015-12-10 13:00:00-05:00,34.88,35.07,34.81,34.97,3833863.0,34.937,18832
27,2015-12-10 15:00:00-05:00,34.95,34.97,34.7,34.77,2863362.0,34.826,13703
28,2015-12-11 09:30:00-05:00,34.38,34.6,34.31,34.51,5001509.0,34.472,25030
29,2015-12-11 11:00:00-05:00,34.51,34.65,34.36,34.43,4171016.0,34.496,22354
30,2015-12-11 13:00:00-05:00,34.42,34.55,34.35,34.37,3227403.0,34.445,18029
31,2015-12-11 15:00:00-05:00,34.37,34.42,34.2,34.26,4805197.0,34.286,25221
32,2015-12-14 09:30:00-05:00,34.39,34.46,33.99,34.12,5277032.0,34.198,30190
33,2015-12-14 11:00:00-05:00,34.11,34.36,33.88,34.33,4109261.0,34.088,24235
34,2015-12-14 13:00:00-05:00,34.33,34.36,34.12,34.3,3551687.0,34.208,19281
35,2015-12-14 15:00:00-05:00,34.29,34.48,34.18,34.47,3144290.0,34.348,15602
36,2015-12-15 09:30:00-05:00,34.65,35.06,34.63,34.94,6233157.0,34.911,29168
37,2015-12-15 11:00:00-05:00,34.94,35.16,34.84,35.15,5089520.0,34.992,24955
38,2015-12-15 13:00:00-05:00,35.15,35.35,35.15,35.27,4403643.0,35.244,21072
39,2015-12-15 15:00:00-05:00,35.27,35.28,35.14,35.18,5111880.0,35.213,24746
40,2015-12-16 09:30:00-05:00,35.36,35.47,34.85,34.86,5532693.0,35.137,23188
41,2015-12-16 11:00:00-05:00,34.85,35.02,34.77,34.92,2938483.0,34.89,15511
42,2015-12-16 13:00:00-05:00,34.92,35.29,34.86,35.27,6385230.0,35.093,31586
43,2015-12-16 15:00:00-05:00,35.27,35.39,35.18,35.3,5183263.0,35.286,22617
44,2015-12-17 09:30:00-05:00,35.32,35.37,34.92,34.94,5811791.0,35.175,26992
45,2015-12-17 11:00:00-05:00,34.94,35.18,34.76,35.18,5207381.0,34.964,23956
46,2015-12-17 13:00:00-05:00,35.17,35.3,35.06,35.13,4798623.0,35.163,25111
47,2015-12-17 15:00:00-05:00,35.12,35.2,34.91,34.91,5963540.0,35.063,22370
48,2015-12-18 09:30:00-05:00,34.65,34.75,34.1,34.2,11430810.0,34.532,24018
49,2015-12-18 11:00:00-05:00,34.21,34.33,33.97,33.99,4604385.0,34.154,21449
50,2015-12-18 13:00:00-05:00,33.99,34.25,33.95,34.1,3668842.0,34.118,19338
51,2015-12-18 15:00:00-05:00,34.1,34.16,33.86,33.87,5446007.0,33.995,23379
52,2015-12-21 09:30:00-05:00,34.25,34.3,34.08,34.1,3769274.0,34.222,18587
53,2015-12-21 11:00:00-05:00,34.1,34.13,33.81,33.98,4672282.0,33.952,21184
54,2015-12-21 13:00:00-05:00,33.98,34.1,33.95,34.03,2181513.0,34.026,12017
55,2015-12-21 15:00:00-05:00,34.03,34.25,33.91,34.23,3172590.0,34.096,14631
56,2015-12-22 09:30:00-05:00,34.34,34.76,34.27,34.7,4020766.0,34.576,18856
57,2015-12-22 11:00:00-05:00,34.7,34.78,34.59,34.71,3608187.0,34.705,18597
58,2015-12-22 13:00:00-05:00,34.71,34.73,34.52,34.66,3827547.0,34.612,20014
59,2015-12-22 15:00:00-05:00,34.67,34.76,34.62,34.72,3687196.0,34.687,17223
60,2015-12-23 09:30:00-05:00,34.95,35.05,34.78,34.96,2865892.0,34.962,14224
61,2015-12-23 11:00:00-05:00,34.96,34.99,34.84,34.94,2378476.0,34.936,12944
62,2015-12-23 13:00:00-05:00,34.95,35.01,34.87,34.97,2242287.0,34.944,11782
63,2015-12-23 15:00:00-05:00,34.97,35.0,34.94,35.0,2165742.0,34.963,11314
64,2015-12-24 09:30:00-05:00,35.06,35.26,34.96,35.14,2266938.0,35.162,10388
65,2015-12-24 11:00:00-05:00,35.14,35.18,34.97,34.97,2622903.0,35.079,13602
66,2015-12-28 09:30:00-05:00,34.95,35.0,34.62,34.68,2410409.0,34.831,12543
67,2015-12-28 11:00:00-05:00,34.67,34.75,34.57,34.74,2025078.0,34.653,11439
68,2015-12-28 13:00:00-05:00,34.73,34.87,34.71,34.83,1695598.0,34.797,9627
69,2015-12-28 15:00:00-05:00,34.82,34.94,34.81,34.93,1960212.0,34.878,9930
70,2015-12-29 09:30:00-05:00,35.01,35.48,35.01,35.42,3478465.0,35.323,13663
71,2015-12-29 11:00:00-05:00,35.42,35.5,35.32,35.48,2541929.0,35.435,12183
72,2015-12-29 13:00:00-05:00,35.48,35.59,35.46,35.54,3229675.0,35.522,13570
73,2015-12-29 15:00:00-05:00,35.54,35.58,35.41,35.44,2418546.0,35.476,11555
74,2015-12-30 09:30:00-05:00,35.38,35.45,35.09,35.17,2034939.0,35.264,9745
75,2015-12-30 11:00:00-05:00,35.18,35.22,35.0,35.04,2176954.0,35.091,10894
76,2015-12-30 13:00:00-05:00,35.03,35.17,35.03,35.07,1806079.0,35.101,9614
77,2015-12-30 15:00:00-05:00,35.06,35.12,34.94,34.99,2872674.0,35.027,12888
78,2015-12-31 09:30:00-05:00,34.82,34.96,34.57,34.63,3096954.0,34.711,13412
79,2015-12-31 11:00:00-05:00,34.63,34.8,34.59,34.72,2038769.0,34.699,9735
80,2015-12-31 13:00:00-05:00,34.71,34.76,34.54,34.59,1997300.0,34.653,8990
81,2015-12-31 15:00:00-05:00,34.59,34.6,34.44,34.44,3314129.0,34.54,13306
82,2016-01-04 09:30:00-05:00,33.88,33.96,33.53,33.59,6443005.0,33.762,29744
83,2016-01-04 11:00:00-05:00,33.6,33.7,33.49,33.67,5088488.0,33.579,25134
84,2016-01-04 13:00:00-05:00,33.67,33.8,33.56,33.62,4012821.0,33.691,20336
85,2016-01-04 15:00:00-05:00,33.62,34.01,33.46,33.97,6254139.0,33.735,26492
86,2016-01-05 09:30:00-05:00,33.96,34.0,33.61,33.76,3623713.0,33.757,18365
87,2016-01-05 11:00:00-05:00,33.76,33.77,33.53,33.66,3760922.0,33.633,19895
88,2016-01-05 13:00:00-05:00,33.66,33.85,33.57,33.75,2906420.0,33.709,16015
89,2016-01-05 15:00:00-05:00,33.74,33.89,33.69,33.83,4011141.0,33.778,17494
90,2016-01-06 09:30:00-05:00,33.25,33.52,33.08,33.39,5948193.0,33.335,26753
91,2016-01-06 11:00:00-05:00,33.38,33.5,33.22,33.25,4585735.0,33.341,21673
92,2016-01-06 13:00:00-05:00,33.25,33.26,32.81,32.85,5954892.0,33.07,29165
93,2016-01-06 15:00:00-05:00,32.85,33.12,32.8,33.08,5709214.0,33.008,24679
94,2016-01-07 09:30:00-05:00,32.29,33.01,32.16,32.85,6955761.0,32.666,33717
95,2016-01-07 11:00:00-05:00,32.84,32.87,32.5,32.56,4296712.0,32.688,23253
96,2016-01-07 13:00:00-05:00,32.56,32.57,32.04,32.08,8430579.0,32.222,40924
97,2016-01-07 15:00:00-05:00,32.08,32.19,31.84,31.84,10302955.0,32.018,41390
98,2016-01-08 09:30:00-05:00,32.09,32.22,31.74,31.92,9989913.0,32.015,40558
99,2016-01-08 11:00:00-05:00,31.92,32.17,31.56,31.9,6820746.0,31.862,33661
100,2016-01-08 13:00:00-05:00,31.9,31.97,31.71,31.74,4169207.0,31.827,23304
101,2016-01-08 15:00:00-05:00,31.73,31.82,31.43,31.51,5237540.0,31.576,24375
102,2016-01-11 09:30:00-05:00,31.76,32.22,31.75,31.87,7392539.0,31.995,31085
103,2016-01-11 11:00:00-05:00,31.87,32.02,31.68,31.8,4806588.0,31.837,23332
104,2016-01-11 13:00:00-05:00,31.8,32.02,31.68,31.95,5187949.0,31.84,25172
105,2016-01-11 15:00:00-05:00,31.95,32.17,31.78,32.06,6116117.0,32.05,28253
106,2016-01-12 09:30:00-05:00,32.76,32.89,32.38,32.52,7758484.0,32.643,34572
107,2016-01-12 11:00:00-05:00,32.51,32.51,32.27,32.36,4424169.0,32.38,22936
