,date,open,high,low,close,volume,average,barCount
0,2021-01-04 09:30:00-05:00,11.13,11.25,10.55,10.61,25034.0,10.889,146
1,2021-01-04 11:00:00-05:00,10.99,11.05,10.57,10.7,14441.0,10.684,69
2,2021-01-04 13:00:00-05:00,10.66,10.95,10.5,10.6,60360.0,10.778,257
3,2021-01-04 15:00:00-05:00,10.88,10.88,10.6,10.8,42400.0,10.779,224
4,2021-01-05 09:30:00-05:00,10.85,11.83,10.75,11.05,38876.0,11.149,174
5,2021-01-05 11:00:00-05:00,11.01,11.23,11.0,11.12,49853.0,11.105,155
6,2021-01-05 13:00:00-05:00,11.11,11.2,11.0,11.16,49311.0,11.113,279
7,2021-01-05 15:00:00-05:00,11.21,11.23,11.1,11.11,8965.0,11.147,59
8,2021-01-06 09:30:00-05:00,11.5,11.5,11.0,11.13,19117.0,11.127,86
9,2021-01-06 11:00:00-05:00,11.14,11.14,11.05,11.05,72002.0,11.1,402
10,2021-01-06 13:00:00-05:00,11.05,11.08,11.01,11.05,62838.0,11.048,331
11,2021-01-06 15:00:00-05:00,11.05,11.05,11.03,11.05,9541.0,11.043,39
12,2021-01-07 09:30:00-05:00,11.5,11.5,11.05,11.09,23951.0,11.109,56
13,2021-01-07 11:00:00-05:00,11.09,11.1,11.05,11.07,30808.0,11.078,111
14,2021-01-07 13:00:00-05:00,11.06,11.13,11.05,11.08,26166.0,11.086,75
15,2021-01-07 15:00:00-05:00,11.08,11.12,11.07,11.11,8654.0,11.091,66
16,2021-01-08 09:30:00-05:00,11.65,12.35,11.07,11.11,83489.0,11.447,528
17,2021-01-08 11:00:00-05:00,11.11,11.24,11.07,11.16,12326.0,11.152,63
18,2021-01-08 13:00:00-05:00,11.16,11.19,11.05,11.1,15600.0,11.108,87
19,2021-01-08 15:00:00-05:00,11.06,11.2,11.0,11.01,15404.0,11.047,69
20,2021-01-11 09:30:00-05:00,11.8,11.8,10.8,10.94,45066.0,11.156,265
21,2021-01-11 11:00:00-05:00,10.92,11.14,10.91,10.99,46911.0,11.007,265
22,2021-01-11 13:00:00-05:00,11.02,11.08,10.8,11.04,26933.0,10.948,158
23,2021-01-11 15:00:00-05:00,11.06,11.25,11.0,11.23,30319.0,11.15,203
24,2021-01-12 09:30:00-05:00,11.8,11.8,11.17,11.18,49923.0,11.271,240
25,2021-01-12 11:00:00-05:00,11.19,11.25,11.08,11.17,39540.0,11.167,193
26,2021-01-12 13:00:00-05:00,11.15,11.22,11.07,11.1,79832.0,11.151,391
27,2021-01-12 15:00:00-05:00,11.1,11.17,11.07,11.17,26639.0,11.119,141
28,2021-01-13 09:30:00-05:00,11.34,11.37,10.97,11.15,90202.0,11.11,436
29,2021-01-13 11:00:00-05:00,11.08,11.29,11.08,11.23,39577.0,11.207,179
30,2021-01-13 13:00:00-05:00,11.19,11.27,11.13,11.27,111768.0,11.239,400
31,2021-01-13 15:00:00-05:00,11.27,11.28,11.17,11.2,116338.0,11.223,386
32,2021-01-14 09:30:00-05:00,11.31,11.7,11.3,11.49,96618.0,11.515,382
33,2021-01-14 11:00:00-05:00,11.5,11.5,11.3,11.34,60671.0,11.385,311
34,2021-01-14 13:00:00-05:00,11.35,11.4,11.22,11.36,73394.0,11.304,383
35,2021-01-14 15:00:00-05:00,11.35,11.43,11.31,11.43,36014.0,11.379,269
36,2021-01-15 09:30:00-05:00,11.57,11.79,11.49,11.53,59380.0,11.584,300
37,2021-01-15 11:00:00-05:00,11.52,11.56,11.35,11.39,54808.0,11.454,237
38,2021-01-15 13:00:00-05:00,11.36,11.42,11.15,11.18,77832.0,11.262,387
39,2021-01-15 15:00:00-05:00,11.18,11.24,11.11,11.22,55453.0,11.184,246
40,2021-01-19 09:30:00-05:00,11.4,11.48,11.09,11.33,180156.0,11.262,900
41,2021-01-19 11:00:00-05:00,11.33,11.36,11.1,11.17,54603.0,11.221,302
42,2021-01-19 13:00:00-05:00,11.18,11.26,11.16,11.18,225864.0,11.224,279
43,2021-01-19 15:00:00-05:00,11.19,11.31,11.16,11.31,73042.0,11.224,487
44,2021-01-20 09:30:00-05:00,11.33,11.38,11.29,11.33,115686.0,11.35,350
45,2021-01-20 11:00:00-05:00,11.33,11.45,11.25,11.38,48413.0,11.352,226
46,2021-01-20 13:00:00-05:00,11.41,11.44,11.26,11.3,179772.0,11.346,124
47,2021-01-20 15:00:00-05:00,11.28,11.31,11.28,11.28,70896.0,11.294,202
48,2021-01-21 09:30:00-05:00,11.39,11.48,11.25,11.4,64234.0,11.308,255
49,2021-01-21 11:00:00-05:00,11.4,11.47,11.3,11.3,73041.0,11.361,291
50,2021-01-21 13:00:00-05:00,11.3,11.66,11.24,11.66,172029.0,11.482,679
51,2021-01-21 15:00:00-05:00,11.72,11.72,11.5,11.53,60766.0,11.56,331
52,2021-01-22 09:30:00-05:00,11.55,11.69,11.5,11.65,142493.0,11.607,576
53,2021-01-22 11:00:00-05:00,11.65,12.2,11.64,12.02,198804.0,11.782,603
54,2021-01-22 13:00:00-05:00,11.99,12.0,11.92,12.0,24486.0,11.982,155
55,2021-01-22 15:00:00-05:00,11.99,12.0,11.9,12.0,88898.0,11.987,424
56,2021-01-25 09:30:00-05:00,12.5,12.58,12.0,12.3,137957.0,12.299,770
57,2021-01-25 11:00:00-05:00,12.3,12.33,11.85,12.18,145229.0,12.147,801
58,2021-01-25 13:00:00-05:00,12.18,12.24,11.8,11.87,87227.0,12.094,501
59,2021-01-25 15:00:00-05:00,11.89,12.1,11.88,12.1,179518.0,11.998,831
60,2021-01-26 09:30:00-05:00,12.33,12.45,12.1,12.3,190619.0,12.326,505
61,2021-01-26 11:00:00-05:00,12.26,12.41,12.15,12.21,205800.0,12.296,188
62,2021-01-26 13:00:00-05:00,12.2,12.21,11.95,11.98,65179.0,12.089,310
63,2021-01-26 15:00:00-05:00,11.98,12.15,11.83,11.91,107437.0,11.981,507
64,2021-01-27 09:30:00-05:00,11.52,11.68,11.44,11.54,174061.0,11.5,575
65,2021-01-27 11:00:00-05:00,11.54,11.57,11.26,11.5,92458.0,11.5,472
66,2021-01-27 13:00:00-05:00,11.52,11.55,11.46,11.46,313468.0,11.5,592
67,2021-01-27 15:00:00-05:00,11.46,11.49,11.29,11.45,180081.0,11.396,1162
68,2021-01-28 09:30:00-05:00,11.5,11.68,11.35,11.39,41723.0,11.485,232
69,2021-01-28 11:00:00-05:00,11.39,11.49,11.36,11.43,38482.0,11.419,289
70,2021-01-28 13:00:00-05:00,11.43,11.48,11.37,11.45,34718.0,11.445,239
71,2021-01-28 15:00:00-05:00,11.47,11.5,11.37,11.37,28910.0,11.454,145
72,2021-01-29 09:30:00-05:00,11.42,11.45,11.35,11.45,38162.0,11.414,165
73,2021-01-29 11:00:00-05:00,11.45,11.45,11.25,11.29,71720.0,11.374,265
74,2021-01-29 13:00:00-05:00,11.27,11.38,11.1,11.35,62538.0,11.275,347
75,2021-01-29 15:00:00-05:00,11.35,11.36,11.31,11.35,30797.0,11.346,221
76,2021-02-01 09:30:00-05:00,11.45,11.55,11.4,11.52,53655.0,11.446,283
77,2021-02-01 11:00:00-05:00,11.55,11.68,11.43,11.52,88418.0,11.52,447
78,2021-02-01 13:00:00-05:00,11.55,11.55,11.47,11.52,43320.0,11.518,257
79,2021-02-01 15:00:00-05:00,11.54,11.6,11.52,11.54,36693.0,11.551,261
80,2021-02-02 09:30:00-05:00,11.77,12.12,11.72,12.0,53359.0,11.958,337
81,2021-02-02 11:00:00-05:00,11.99,12.0,11.81,11.94,35811.0,11.955,206
82,2021-02-02 13:00:00-05:00,11.94,12.0,11.87,11.99,25250.0,11.994,135
83,2021-02-02 15:00:00-05:00,12.0,12.0,11.9,11.9,25429.0,11.983,156
84,2021-02-03 09:30:00-05:00,11.98,12.2,11.96,12.18,24255.0,12.114,142
85,2021-02-03 11:00:00-05:00,12.18,12.21,12.08,12.13,69345.0,12.16,285
86,2021-02-03 13:00:00-05:00,12.15,12.15,12.02,12.07,16827.0,12.071,136
87,2021-02-03 15:00:00-05:00,12.06,12.11,12.0,12.04,37932.0,12.046,239
88,2021-02-04 09:30:00-05:00,12.15,12.21,12.1,12.1,28637.0,12.155,187
89,2021-02-04 11:00:00-05:00,12.1,12.12,11.96,11.96,31347.0,12.025,141
90,2021-02-04 13:00:00-05:00,11.96,12.03,11.95,12.01,43236.0,12.008,138
91,2021-02-04 15:00:00-05:00,12.0,12.02,11.93,12.0,25702.0,11.993,149
92,2021-02-05 09:30:00-05:00,12.2,12.2,11.88,11.9,55683.0,11.959,268
93,2021-02-05 11:00:00-05:00,11.9,11.9,11.85,11.85,19994.0,11.878,83
94,2021-02-05 13:00:00-05:00,11.84,11.86,11.74,11.75,34019.0,11.806,156
95,2021-02-05 15:00:00-05:00,11.8,11.8,11.74,11.76,40588.0,11.778,172
96,2021-02-08 09:30:00-05:00,11.98,11.98,11.8,11.89,113419.0,11.913,486
97,2021-02-08 11:00:00-05:00,11.88,11.88,11.71,11.75,145402.0,11.777,381
98,2021-02-08 13:00:00-05:00,11.72,11.78,11.58,11.71,180373.0,11.707,585
99,2021-02-08 15:00:00-05:00,11.72,11.8,11.66,11.78,50540.0,11.729,212
100,2021-02-09 09:30:00-05:00,11.77,11.78,11.69,11.7,41667.0,11.744,218
101,2021-02-09 11:00:00-05:00,11.7,11.7,11.56,11.56,55430.0,11.627,258
102,2021-02-09 13:00:00-05:00,11.59,11.6,11.56,11.58,66160.0,11.593,301
103,2021-02-09 15:00:00-05:00,11.58,11.72,11.57,11.66,52329.0,11.603,238
104,2021-02-10 09:30:00-05:00,11.86,11.91,11.65,11.76,75315.0,11.782,339
105,2021-02-10 11:00:00-05:00,11.84,11.89,11.79,11.88,23417.0,11.853,177
106,2021-02-10 13:00:00-05:00,11.86,11.91,11.8,11.81,15439.0,11.848,112
107,2021-02-10 15:00:00-05:00,11.8,11.86,11.76,11.83,22962.0,11.806,114
108,2021-02-11 09:30:00-05:00,11.88,11.94,11.76,11.88,21104.0,11.86,110
109,2021-02-11 11:00:00-05:00,11.86,11.89,11.56,11.65,27810.0,11.668,118
110,2021-02-11 13:00:00-05:00,11.76,11.77,11.59,11.69,12473.0,11.697,59
111,2021-02-11 15:00:00-05:00,11.71,11.77,11.64,11.75,9497.0,11.725,57
112,2021-02-12 09:30:00-05:00,11.65,11.77,11.61,11.7,25841.0,11.711,144
113,2021-02-12 11:00:00-05:00,11.7,11.8,11.7,11.8,15927.0,11.753,71
114,2021-02-12 13:00:00-05:00,11.75,11.75,11.7,11.7,29084.0,11.727,162
115,2021-02-12 15:00:00-05:00,11.71,11.78,11.7,11.78,25645.0,11.727,148
116,2021-02-16 09:30:00-05:00,11.8,11.89,11.78,11.8,50345.0,11.809,257
117,2021-02-16 11:00:00-05:00,11.8,11.82,11.79,11.81,53520.0,11.807,251
118,2021-02-16 13:00:00-05:00,11.81,11.82,11.61,11.66,52920.0,11.73,303
119,2021-02-16 15:00:00-05:00,11.69,11.74,11.66,11.66,87153.0,11.7,186
120,2021-02-17 09:30:00-05:00,11.85,11.85,11.7,11.81,35926.0,11.791,164
121,2021-02-17 11:00:00-05:00,11.8,11.81,11.67,11.74,29003.0,11.714,138
122,2021-02-17 13:00:00-05:00,11.74,11.85,11.68,11.81,69376.0,11.805,310
123,2021-02-17 15:00:00-05:00,11.83,11.85,11.72,11.8,11825.0,11.792,59
124,2021-02-18 09:30:00-05:00,12.27,12.46,12.2,12.25,138497.0,12.258,865
125,2021-02-18 11:00:00-05:00,12.25,12.36,12.24,12.35,68574.0,12.27,437
126,2021-02-18 13:00:00-05:00,12.35,12.35,12.2,12.25,88927.0,12.273,444
127,2021-02-18 15:00:00-05:00,12.24,12.27,12.11,12.17,113880.0,12.218,626
128,2021-02-19 09:30:00-05:00,12.37,13.19,12.37,12.79,168596.0,12.79,699
129,2021-02-19 11:00:00-05:00,12.79,12.9,12.69,12.75,51448.0,12.767,276
130,2021-02-19 13:00:00-05:00,12.75,12.75,12.6,12.64,80521.0,12.672,451
131,2021-02-19 15:00:00-05:00,12.64,12.71,12.6,12.67,75703.0,12.646,407
132,2021-02-22 09:30:00-05:00,12.66,13.29,12.55,12.91,112531.0,12.994,486
133,2021-02-22 11:00:00-05:00,12.96,12.96,12.8,12.87,197622.0,12.898,315
134,2021-02-22 13:00:00-05:00,12.87,12.96,12.75,12.79,51548.0,12.838,354
135,2021-02-22 15:00:00-05:00,12.79,12.88,12.7,12.81,109233.0,12.731,466
136,2021-02-23 09:30:00-05:00,12.25,12.31,11.4,12.31,207233.0,11.792,754
137,2021-02-23 11:00:00-05:00,12.27,12.32,11.82,11.86,46311.0,12.041,242
138,2021-02-23 13:00:00-05:00,11.86,12.1,11.82,11.96,52403.0,11.95,275
139,2021-02-23 15:00:00-05:00,11.92,12.1,11.92,11.95,30608.0,12.024,217
140,2021-02-24 09:30:00-05:00,14.05,14.75,13.61,14.53,2319369.0,14.058,11596
141,2021-02-24 11:00:00-05:00,14.51,15.39,14.48,15.29,1404693.0,14.995,6943
142,2021-02-24 13:00:00-05:00,15.28,15.29,14.17,14.21,722751.0,14.71,3491
143,2021-02-24 15:00:00-05:00,14.22,14.53,14.02,14.42,584138.0,14.242,3047
144,2021-02-25 09:30:00-05:00,14.0,14.56,13.25,13.49,726652.0,13.911,2774
145,2021-02-25 11:00:00-05:00,13.5,13.9,13.25,13.31,465905.0,13.621,1965
146,2021-02-25 13:00:00-05:00,13.3,13.67,13.03,13.52,380883.0,13.308,2052
147,2021-02-25 15:00:00-05:00,13.46,13.65,13.07,13.15,243209.0,13.297,1698
148,2021-02-26 09:30:00-05:00,13.34,13.46,12.6,12.85,409548.0,13.016,1355
149,2021-02-26 11:00:00-05:00,12.85,14.8,12.84,13.84,573180.0,13.857,2349
150,2021-02-26 13:00:00-05:00,13.85,14.3,13.7,14.18,252158.0,14.037,1127
151,2021-02-26 15:00:00-05:00,14.15,14.51,14.04,14.44,290876.0,14.248,1615
152,2021-03-01 09:30:00-05:00,14.61,14.84,13.86,14.15,344467.0,14.359,1395
153,2021-03-01 11:00:00-05:00,14.14,14.17,13.7,13.78,233413.0,13.974,1221
154,2021-03-01 13:00:00-05:00,13.78,14.18,13.77,14.04,146689.0,13.972,820
155,2021-03-01 15:00:00-05:00,14.05,14.6,13.98,14.59,98575.0,14.363,542
156,2021-03-02 09:30:00-05:00,14.5,14.75,13.78,13.85,194322.0,14.288,582
157,2021-03-02 11:00:00-05:00,13.88,13.9,13.44,13.45,165180.0,13.597,619
