,date,open,high,low,close,volume,average,barCount
0,2015-12-01 14:42:30-05:00,7.23,7.28,7.23,7.26,52522.0,7.258,355
1,2015-12-01 15:00:00-05:00,7.26,7.29,7.21,7.28,375285.0,7.256,2337
2,2015-12-02 09:30:00-05:00,7.16,7.27,7.09,7.23,360582.0,7.195,2130
3,2015-12-02 11:00:00-05:00,7.23,7.23,6.98,7.05,391741.0,7.094,1892
4,2015-12-02 13:00:00-05:00,7.05,7.18,7.04,7.06,418141.0,7.113,2624
5,2015-12-02 15:00:00-05:00,7.06,7.15,7.05,7.1,262082.0,7.1,1607
6,2015-12-03 09:30:00-05:00,7.18,7.31,7.11,7.13,476384.0,7.201,2549
7,2015-12-03 11:00:00-05:00,7.14,7.29,7.04,7.22,416394.0,7.148,2384
8,2015-12-03 13:00:00-05:00,7.21,7.26,7.12,7.23,455374.0,7.202,2575
9,2015-12-03 15:00:00-05:00,7.22,7.24,7.15,7.17,299774.0,7.186,1669
10,2015-12-04 09:30:00-05:00,7.25,7.53,7.2,7.43,688503.0,7.409,3390
11,2015-12-04 11:00:00-05:00,7.43,7.47,7.38,7.42,367227.0,7.43,1746
12,2015-12-04 13:00:00-05:00,7.42,7.48,7.39,7.48,212743.0,7.437,1258
13,2015-12-04 15:00:00-05:00,7.48,7.59,7.45,7.59,610926.0,7.535,2729
14,2015-12-07 09:30:00-05:00,7.45,7.55,7.25,7.31,568524.0,7.379,3429
15,2015-12-07 11:00:00-05:00,7.31,7.36,7.25,7.26,230545.0,7.308,1451
16,2015-12-07 13:00:00-05:00,7.25,7.26,7.08,7.08,301216.0,7.153,1670
17,2015-12-07 15:00:00-05:00,7.08,7.18,7.05,7.18,358153.0,7.143,1955
18,2015-12-08 09:30:00-05:00,7.15,7.21,6.98,7.04,612462.0,7.049,3517
19,2015-12-08 11:00:00-05:00,7.04,7.1,6.95,7.01,372571.0,7.012,1959
20,2015-12-08 13:00:00-05:00,7.0,7.03,6.94,6.99,304148.0,6.987,1846
21,2015-12-08 15:00:00-05:00,6.98,7.02,6.96,7.02,357730.0,7.005,2058
22,2015-12-09 09:30:00-05:00,7.19,7.32,7.04,7.06,475472.0,7.194,2923
23,2015-12-09 11:00:00-05:00,7.05,7.23,7.02,7.17,565364.0,7.139,3414
24,2015-12-09 13:00:00-05:00,7.18,7.22,7.09,7.19,304811.0,7.175,2049
25,2015-12-09 15:00:00-05:00,7.18,7.21,7.14,7.18,291753.0,7.177,1667
26,2015-12-10 09:30:00-05:00,7.14,7.22,7.1,7.17,317308.0,7.164,2158
27,2015-12-10 11:00:00-05:00,7.18,7.22,7.12,7.18,306454.0,7.172,1928
