,date,open,high,low,close,volume,average,barCount
0,2025-02-13 09:30:00-05:00,35.06,35.06,35.06,35.06,100.0,35.06,1
1,2025-02-13 11:00:00-05:00,44.0,44.0,37.5,38.0,116454.0,40.046,221
2,2025-02-13 13:00:00-05:00,37.75,38.0,37.75,38.0,68947.0,37.946,165
3,2025-02-13 15:00:00-05:00,37.9,38.0,34.99,36.0,167522.0,35.906,212
4,2025-02-14 09:30:00-05:00,37.0,38.25,36.25,36.5,28364.0,36.7,37
5,2025-02-14 11:00:00-05:00,36.02,36.97,36.0,36.7,8134.0,36.102,25
6,2025-02-14 13:00:00-05:00,36.0,36.45,35.5,35.98,88878.0,35.991,280
7,2025-02-14 15:00:00-05:00,36.46,37.39,36.18,36.65,79798.0,36.441,88
8,2025-02-18 09:30:00-05:00,40.53,41.79,39.0,40.5,96386.0,39.88,296
9,2025-02-18 11:00:00-05:00,40.5,42.7,40.5,42.12,42904.0,41.29,189
10,2025-02-18 13:00:00-05:00,41.96,42.7,41.65,42.7,193540.0,42.148,280
11,2025-02-18 15:00:00-05:00,43.0,46.15,42.7,46.15,81328.0,43.641,420
12,2025-02-19 09:30:00-05:00,46.51,48.5,46.0,48.3,27297.0,47.719,164
13,2025-02-19 11:00:00-05:00,48.49,48.5,45.5,46.0,104708.0,47.142,300
14,2025-02-19 13:00:00-05:00,46.1,46.49,45.5,46.0,31300.0,45.999,257
15,2025-02-19 15:00:00-05:00,46.0,46.11,45.66,46.02,26749.0,46.023,257
16,2025-02-20 09:30:00-05:00,48.98,49.49,47.0,47.46,23917.0,47.522,207
17,2025-02-20 11:00:00-05:00,47.5,47.5,46.71,46.88,52349.0,47.054,201
18,2025-02-20 13:00:00-05:00,47.0,48.0,46.87,47.5,158868.0,47.223,516
19,2025-02-20 15:00:00-05:00,47.5,49.29,47.43,48.26,171633.0,48.399,754
20,2025-02-21 09:30:00-05:00,48.99,50.38,48.0,49.75,212551.0,49.764,566
21,2025-02-21 11:00:00-05:00,49.75,50.46,49.74,49.75,196066.0,50.096,444
22,2025-02-21 13:00:00-05:00,49.85,50.04,49.5,49.89,325836.0,49.879,774
23,2025-02-21 15:00:00-05:00,49.89,50.69,49.5,50.42,386635.0,49.946,766
24,2025-02-24 09:30:00-05:00,52.0,53.0,46.5,46.5,1550179.0,49.225,7197
25,2025-02-24 11:00:00-05:00,46.53,50.7,46.21,50.44,1620825.0,49.128,7140
26,2025-02-24 13:00:00-05:00,50.37,51.44,48.79,50.68,1236235.0,50.52,5540
27,2025-02-24 15:00:00-05:00,50.62,50.95,48.35,48.47,3120864.0,49.409,10157
28,2025-02-25 09:30:00-05:00,48.3,50.98,48.22,50.04,2401491.0,49.635,7369
29,2025-02-25 11:00:00-05:00,49.99,55.01,49.99,51.14,1195560.0,51.966,5984
30,2025-02-25 13:00:00-05:00,51.26,51.43,48.93,50.64,894091.0,50.064,4788
31,2025-02-25 15:00:00-05:00,50.57,50.6,47.81,48.06,1284045.0,49.136,5814
