,date,open,high,low,close,volume,average,barCount
0,2016-05-26 10:00:00-04:00,24.25,25.0,24.08,24.55,19997166.0,24.463,49546
1,2016-05-26 12:00:00-04:00,24.54,24.75,24.5,24.62,2935650.0,24.603,15222
2,2016-05-26 14:00:00-04:00,24.63,25.09,24.58,24.96,4767892.0,24.85,22906
3,2016-05-27 09:30:00-04:00,25.0,25.25,24.77,25.03,544294.0,25.081,1739
4,2016-05-27 10:00:00-04:00,25.03,25.2,24.7,25.13,727652.0,25.025,3546
5,2016-05-27 12:00:00-04:00,25.14,25.15,24.92,24.93,434820.0,25.058,2472
6,2016-05-27 14:00:00-04:00,24.92,25.12,24.85,24.94,966761.0,24.949,5978
7,2016-05-31 09:30:00-04:00,25.06,25.09,24.81,24.83,186128.0,24.977,688
8,2016-05-31 10:00:00-04:00,24.83,24.99,24.6,24.85,597360.0,24.798,2230
9,2016-05-31 12:00:00-04:00,24.86,24.96,24.77,24.86,190623.0,24.86,1378
10,2016-05-31 14:00:00-04:00,24.85,25.0,24.77,24.98,665206.0,24.847,3602
11,2016-06-01 09:30:00-04:00,24.99,25.15,24.75,25.08,97851.0,24.948,499
12,2016-06-01 10:00:00-04:00,25.09,25.15,24.76,24.89,588842.0,24.898,3616
13,2016-06-01 12:00:00-04:00,24.87,24.98,24.85,24.93,226444.0,24.938,1300
14,2016-06-01 14:00:00-04:00,24.95,25.38,24.91,25.17,412209.0,25.18,2668
15,2016-06-02 09:30:00-04:00,25.06,25.27,25.04,25.17,77012.0,25.142,342
16,2016-06-02 10:00:00-04:00,25.08,25.44,25.04,25.3,229786.0,25.292,1533
17,2016-06-02 12:00:00-04:00,25.3,25.31,25.22,25.24,121398.0,25.298,883
18,2016-06-02 14:00:00-04:00,25.25,25.32,25.23,25.23,271361.0,25.276,1934
19,2016-06-03 09:30:00-04:00,25.13,25.25,25.01,25.17,20999.0,25.121,104
20,2016-06-03 10:00:00-04:00,25.06,25.21,25.0,25.21,87964.0,25.089,625
21,2016-06-03 12:00:00-04:00,25.2,25.4,25.19,25.32,102448.0,25.297,663
22,2016-06-03 14:00:00-04:00,25.32,25.45,25.28,25.29,179863.0,25.335,1250
23,2016-06-06 09:30:00-04:00,25.39,25.45,25.31,25.38,31453.0,25.385,168
24,2016-06-06 10:00:00-04:00,25.38,25.42,25.25,25.29,140525.0,25.328,986
25,2016-06-06 12:00:00-04:00,25.29,25.44,25.25,25.34,130210.0,25.35,874
26,2016-06-06 14:00:00-04:00,25.32,25.4,25.3,25.31,169604.0,25.349,1103
27,2016-06-07 09:30:00-04:00,25.46,25.46,25.15,25.35,11330.0,25.358,51
28,2016-06-07 10:00:00-04:00,25.31,25.43,25.23,25.34,240757.0,25.339,717
29,2016-06-07 12:00:00-04:00,25.35,25.64,25.31,25.5,146157.0,25.495,943
30,2016-06-07 14:00:00-04:00,25.49,25.58,25.38,25.39,208071.0,25.421,1536
31,2016-06-08 09:30:00-04:00,25.35,25.59,25.35,25.5,16375.0,25.463,84
32,2016-06-08 10:00:00-04:00,25.5,25.5,25.25,25.33,83350.0,25.321,693
33,2016-06-08 12:00:00-04:00,25.34,25.49,25.32,25.49,55426.0,25.375,416
34,2016-06-08 14:00:00-04:00,25.48,25.48,25.18,25.2,116742.0,25.287,974
35,2016-06-09 09:30:00-04:00,25.16,25.18,24.7,24.9,63967.0,24.88,257
36,2016-06-09 10:00:00-04:00,24.91,25.03,24.72,24.8,181336.0,24.793,714
37,2016-06-09 12:00:00-04:00,24.78,24.93,24.78,24.88,59371.0,24.867,470
38,2016-06-09 14:00:00-04:00,24.88,24.98,24.88,24.9,134334.0,24.92,794
39,2016-06-10 09:30:00-04:00,24.54,24.73,24.54,24.65,265753.0,24.64,385
40,2016-06-10 10:00:00-04:00,24.68,24.9,24.62,24.76,167916.0,24.735,1048
