,date,open,high,low,close,volume,average,barCount
0,2018-07-30 09:30:00-04:00,9.7,9.85,9.7,9.85,158333.0,9.755,11
1,2018-07-30 10:00:00-04:00,9.85,9.9,9.85,9.88,136000.0,9.87,57
2,2018-07-30 12:00:00-04:00,9.86,9.9,9.85,9.85,24925.0,9.856,15
3,2018-07-30 14:00:00-04:00,9.85,9.85,9.85,9.85,10500.0,9.85,10
4,2018-07-31 10:00:00-04:00,9.85,9.85,9.85,9.85,100.0,9.85,1
5,2018-07-31 12:00:00-04:00,9.85,9.85,9.85,9.85,0.0,9.85,0
6,2018-07-31 14:00:00-04:00,9.85,9.85,9.85,9.85,8600.0,9.85,16
7,2018-08-01 10:00:00-04:00,10.0,10.0,10.0,10.0,10000.0,10.0,4
8,2018-08-01 12:00:00-04:00,10.0,10.0,9.97,9.97,40400.0,9.99,10
9,2018-08-01 14:00:00-04:00,9.96,9.98,9.96,9.98,30000.0,9.973,3
10,2018-08-02 09:30:00-04:00,9.98,9.98,9.98,9.98,10000.0,9.98,1
11,2018-08-02 10:00:00-04:00,9.98,9.98,9.98,9.98,0.0,9.98,0
12,2018-08-02 12:00:00-04:00,9.99,9.99,9.99,9.99,200.0,9.99,1
13,2018-08-02 14:00:00-04:00,9.99,9.99,9.99,9.99,10800.0,9.99,7
14,2018-08-06 09:30:00-04:00,10.09,10.09,9.99,9.99,5600.0,10.044,4
15,2018-08-06 10:00:00-04:00,9.95,9.95,9.95,9.95,100.0,9.95,1
16,2018-08-06 12:00:00-04:00,9.96,9.96,9.96,9.96,900.0,9.96,1
17,2018-08-06 14:00:00-04:00,9.96,9.96,9.96,9.96,0.0,9.96,0
18,2018-08-07 10:00:00-04:00,9.95,9.95,9.95,9.95,500.0,9.95,1
19,2018-08-07 12:00:00-04:00,9.95,9.95,9.95,9.95,0.0,9.95,0
20,2018-08-07 14:00:00-04:00,9.95,9.95,9.95,9.95,0.0,9.95,0
21,2018-08-09 12:00:00-04:00,9.9,9.9,9.9,9.9,500.0,9.9,2
22,2018-08-09 14:00:00-04:00,9.9,9.9,9.9,9.9,0.0,9.9,0
23,2018-08-10 10:00:00-04:00,9.9,10.36,9.85,9.85,3800.0,9.875,8
24,2018-08-10 12:00:00-04:00,9.85,9.85,9.85,9.85,0.0,9.85,0
25,2018-08-10 14:00:00-04:00,9.85,9.85,9.85,9.85,200.0,9.85,2
26,2018-08-13 10:00:00-04:00,9.85,9.91,9.8,9.8,66300.0,9.849,28
27,2018-08-13 12:00:00-04:00,9.83,9.86,9.8,9.81,644364.0,9.804,42
28,2018-08-13 14:00:00-04:00,9.81,9.81,9.81,9.81,0.0,9.81,0
29,2018-08-14 10:00:00-04:00,10.75,10.77,10.09,10.09,19400.0,10.75,7
30,2018-08-14 12:00:00-04:00,10.27,10.28,9.87,9.88,15185.0,9.897,36
31,2018-08-14 14:00:00-04:00,9.88,9.88,9.8,9.8,15340.0,9.845,76
32,2018-08-15 09:30:00-04:00,9.85,9.85,9.85,9.85,700.0,9.85,5
33,2018-08-15 10:00:00-04:00,9.84,9.84,9.84,9.84,8800.0,9.84,41
34,2018-08-15 12:00:00-04:00,9.85,9.88,9.85,9.88,7000.0,9.874,65
35,2018-08-15 14:00:00-04:00,9.88,9.88,9.85,9.85,7900.0,9.861,69
36,2018-08-16 10:00:00-04:00,9.85,9.85,9.85,9.85,6100.0,9.85,61
37,2018-08-16 12:00:00-04:00,9.85,9.85,9.85,9.85,8200.0,9.85,63
38,2018-08-16 14:00:00-04:00,9.85,9.86,9.85,9.86,8571.0,9.857,83
39,2018-08-17 10:00:00-04:00,9.82,9.82,9.8,9.82,401000.0,9.808,3
40,2018-08-17 12:00:00-04:00,9.82,9.82,9.82,9.82,600.0,9.82,3
41,2018-08-17 14:00:00-04:00,9.83,9.83,9.83,9.83,500.0,9.83,5
42,2018-08-22 10:00:00-04:00,9.84,9.84,9.83,9.84,1328.0,9.835,7
43,2018-08-22 12:00:00-04:00,9.84,9.84,9.83,9.84,10100.0,9.835,27
44,2018-08-22 14:00:00-04:00,9.84,9.84,9.82,9.82,10800.0,9.83,69
45,2018-08-23 09:30:00-04:00,9.81,9.82,9.81,9.81,700.0,9.81,2
46,2018-08-23 10:00:00-04:00,9.85,9.85,9.8,9.8,83700.0,9.824,160
47,2018-08-23 12:00:00-04:00,9.75,9.81,9.75,9.75,10400.0,9.807,10
48,2018-08-23 14:00:00-04:00,9.81,9.81,9.75,9.81,239452.0,9.8,28
49,2018-08-24 10:00:00-04:00,9.8,9.8,9.8,9.8,100000.0,9.8,1
50,2018-08-24 12:00:00-04:00,9.8,9.8,9.8,9.8,0.0,9.8,0
51,2018-08-24 14:00:00-04:00,9.8,9.8,9.8,9.8,0.0,9.8,0
52,2018-08-27 09:30:00-04:00,9.8,9.8,9.8,9.8,100.0,9.8,1
53,2018-08-27 10:00:00-04:00,9.8,9.8,9.8,9.8,0.0,9.8,0
54,2018-08-27 12:00:00-04:00,9.8,9.8,9.75,9.75,887845.0,9.764,53
55,2018-08-27 14:00:00-04:00,9.75,9.76,9.75,9.75,1492958.0,9.751,530
56,2018-08-28 09:30:00-04:00,9.76,9.76,9.76,9.76,100.0,9.76,1
57,2018-08-28 10:00:00-04:00,9.76,9.76,9.75,9.75,659301.0,9.75,23
58,2018-08-28 12:00:00-04:00,9.75,9.75,9.75,9.75,25000.0,9.75,3
59,2018-08-28 14:00:00-04:00,9.72,9.75,9.72,9.75,600.0,9.745,6
60,2018-08-29 10:00:00-04:00,9.8,9.8,9.77,9.8,51977.0,9.8,61
61,2018-08-29 12:00:00-04:00,9.8,9.8,9.8,9.8,0.0,9.8,0
62,2018-08-29 14:00:00-04:00,9.79,9.79,9.79,9.79,300.0,9.79,3
63,2018-08-31 12:00:00-04:00,9.75,9.79,9.75,9.79,5300.0,9.752,2
64,2018-08-31 14:00:00-04:00,9.77,9.8,9.73,9.73,5300.0,9.77,5
65,2018-09-04 14:00:00-04:00,9.79,9.79,9.79,9.79,100.0,9.79,1
66,2018-09-05 09:30:00-04:00,9.75,9.75,9.75,9.75,2040.0,9.75,1
67,2018-09-05 10:00:00-04:00,9.8,9.8,9.8,9.8,100.0,9.8,1
68,2018-09-05 12:00:00-04:00,9.8,9.8,9.8,9.8,0.0,9.8,0
69,2018-09-05 14:00:00-04:00,9.8,9.8,9.8,9.8,0.0,9.8,0
70,2018-09-10 10:00:00-04:00,9.75,9.75,9.75,9.75,100000.0,9.75,1
71,2018-09-10 12:00:00-04:00,9.75,9.75,9.75,9.75,25000.0,9.75,1
72,2018-09-10 14:00:00-04:00,9.75,9.75,9.75,9.75,0.0,9.75,0
73,2018-09-11 10:00:00-04:00,9.75,9.75,9.75,9.75,100700.0,9.75,2
74,2018-09-11 12:00:00-04:00,9.75,9.75,9.75,9.75,50000.0,9.75,2
75,2018-09-11 14:00:00-04:00,9.75,9.75,9.74,9.75,29050.0,9.75,7
76,2018-09-12 09:30:00-04:00,9.75,9.75,9.75,9.75,0.0,9.75,0
77,2018-09-12 10:00:00-04:00,9.75,9.79,9.75,9.79,282900.0,9.755,3
78,2018-09-12 12:00:00-04:00,9.8,9.8,9.8,9.8,100.0,9.8,1
79,2018-09-12 14:00:00-04:00,9.8,9.8,9.8,9.8,0.0,9.8,0
80,2018-09-14 10:00:00-04:00,9.73,9.8,9.73,9.8,600.0,9.753,3
81,2018-09-14 12:00:00-04:00,9.8,9.8,9.8,9.8,0.0,9.8,0
82,2018-09-14 14:00:00-04:00,9.8,9.8,9.8,9.8,0.0,9.8,0
83,2018-09-17 09:30:00-04:00,9.84,9.84,9.84,9.84,100.0,9.84,1
84,2018-09-17 10:00:00-04:00,9.77,9.8,9.75,9.78,263540.0,9.769,120
85,2018-09-17 12:00:00-04:00,9.77,9.77,9.77,9.77,100.0,9.77,1
86,2018-09-17 14:00:00-04:00,9.77,9.77,9.75,9.75,635.0,9.753,6
87,2018-09-18 12:00:00-04:00,9.77,9.77,9.75,9.77,7037.0,9.758,6
88,2018-09-18 14:00:00-04:00,9.77,9.77,9.77,9.77,0.0,9.77,0
89,2018-09-19 10:00:00-04:00,9.78,9.84,9.77,9.78,77021.0,9.777,52
90,2018-09-19 12:00:00-04:00,9.78,9.8,9.78,9.8,51000.0,9.78,66
91,2018-09-19 14:00:00-04:00,9.77,9.78,9.77,9.78,152612.0,9.773,177
92,2018-09-20 10:00:00-04:00,9.75,9.78,9.75,9.78,45100.0,9.75,2
93,2018-09-20 12:00:00-04:00,9.78,9.78,9.78,9.78,0.0,9.78,0
94,2018-09-20 14:00:00-04:00,9.75,9.75,9.73,9.73,2746.0,9.749,7
95,2018-09-21 12:00:00-04:00,9.75,9.77,9.75,9.75,71400.0,9.75,6
96,2018-09-21 14:00:00-04:00,9.75,9.75,9.75,9.75,400.0,9.75,4
97,2018-09-24 12:00:00-04:00,9.78,9.78,9.78,9.78,100.0,9.78,1
98,2018-09-24 14:00:00-04:00,9.77,9.77,9.77,9.77,200.0,9.77,2
99,2018-09-25 10:00:00-04:00,9.74,9.76,9.74,9.75,37100.0,9.758,15
100,2018-09-25 12:00:00-04:00,9.75,9.75,9.75,9.75,2700.0,9.75,27
101,2018-09-25 14:00:00-04:00,9.75,9.77,9.75,9.77,7487.0,9.754,13
102,2018-09-26 14:00:00-04:00,9.75,9.75,9.74,9.75,2200.0,9.75,4
103,2018-09-27 09:30:00-04:00,9.75,9.75,9.75,9.75,100.0,9.75,1
104,2018-09-27 10:00:00-04:00,9.77,9.77,9.76,9.76,3700.0,9.767,9
105,2018-09-27 12:00:00-04:00,9.76,9.77,9.76,9.77,4900.0,9.761,2
106,2018-09-27 14:00:00-04:00,9.77,9.77,9.75,9.75,200.0,9.76,2
107,2018-09-28 10:00:00-04:00,9.75,9.75,9.75,9.75,100.0,9.75,1
108,2018-09-28 12:00:00-04:00,9.75,9.75,9.75,9.75,100.0,9.75,1
109,2018-09-28 14:00:00-04:00,9.75,9.77,9.73,9.75,64927.0,9.75,26
110,2018-10-01 09:30:00-04:00,9.75,9.75,9.71,9.75,2400.0,9.735,4
111,2018-10-01 10:00:00-04:00,9.74,9.75,9.73,9.75,3500.0,9.738,2
112,2018-10-01 12:00:00-04:00,9.75,9.75,9.75,9.75,0.0,9.75,0
113,2018-10-01 14:00:00-04:00,9.75,9.75,9.75,9.75,389.0,9.75,2
114,2018-10-02 10:00:00-04:00,9.73,9.74,9.72,9.73,205001.0,9.73,21
115,2018-10-02 12:00:00-04:00,9.73,9.76,9.73,9.75,103500.0,9.73,28
116,2018-10-02 14:00:00-04:00,9.73,9.73,9.72,9.73,50149.0,9.73,26
117,2018-10-03 14:00:00-04:00,9.73,9.74,9.73,9.73,770.0,9.733,1
118,2018-10-04 10:00:00-04:00,9.74,9.74,9.74,9.74,100.0,9.74,1
119,2018-10-04 12:00:00-04:00,9.72,9.76,9.72,9.74,59648.0,9.732,11
120,2018-10-04 14:00:00-04:00,9.72,9.76,9.72,9.76,2900.0,9.743,29
121,2018-10-05 09:30:00-04:00,9.76,9.76,9.76,9.76,500.0,9.76,1
122,2018-10-05 10:00:00-04:00,9.76,9.76,9.76,9.76,0.0,9.76,0
123,2018-10-05 12:00:00-04:00,9.76,9.76,9.76,9.76,0.0,9.76,0
124,2018-10-05 14:00:00-04:00,9.76,9.76,9.72,9.76,40120.0,9.76,58
125,2018-10-08 09:30:00-04:00,9.72,9.72,9.72,9.72,100.0,9.72,1
126,2018-10-08 10:00:00-04:00,9.75,9.75,9.75,9.75,200.0,9.75,1
127,2018-10-08 12:00:00-04:00,9.75,9.75,9.75,9.75,0.0,9.75,0
128,2018-10-08 14:00:00-04:00,9.75,9.75,9.75,9.75,200.0,9.75,2
129,2018-10-09 09:30:00-04:00,9.78,9.78,9.77,9.77,200.0,9.775,2
130,2018-10-09 10:00:00-04:00,9.77,9.77,9.77,9.77,100.0,9.77,1
131,2018-10-09 12:00:00-04:00,9.77,9.77,9.77,9.77,0.0,9.77,0
132,2018-10-09 14:00:00-04:00,9.75,9.75,9.75,9.75,2160.0,9.75,4
133,2018-10-10 09:30:00-04:00,9.72,9.72,9.72,9.72,1000.0,9.72,1
134,2018-10-10 10:00:00-04:00,9.7,9.74,9.7,9.73,386270.0,9.701,4
135,2018-10-10 12:00:00-04:00,9.74,9.74,9.74,9.74,100.0,9.74,1
136,2018-10-10 14:00:00-04:00,9.74,9.74,9.74,9.74,0.0,9.74,0
137,2018-10-11 09:30:00-04:00,9.74,9.74,9.74,9.74,200.0,9.74,1
138,2018-10-11 10:00:00-04:00,9.71,9.74,9.7,9.74,350.0,9.716,2
139,2018-10-11 12:00:00-04:00,9.74,9.74,9.74,9.74,0.0,9.74,0
140,2018-10-11 14:00:00-04:00,9.71,9.74,9.7,9.74,11100.0,9.738,4
141,2018-10-12 14:00:00-04:00,9.73,9.74,9.73,9.74,279327.0,9.74,82
142,2018-10-15 09:30:00-04:00,9.7,9.75,9.7,9.75,337.0,9.715,2
143,2018-10-15 10:00:00-04:00,9.74,9.74,9.74,9.74,1000.0,9.74,1
144,2018-10-15 12:00:00-04:00,9.74,9.74,9.74,9.74,0.0,9.74,0
145,2018-10-15 14:00:00-04:00,9.74,9.74,9.74,9.74,0.0,9.74,0
146,2018-10-16 10:00:00-04:00,9.75,9.75,9.75,9.75,100.0,9.75,1
147,2018-10-16 12:00:00-04:00,9.75,9.75,9.74,9.75,500.0,9.75,1
148,2018-10-16 14:00:00-04:00,9.74,9.75,9.7,9.75,4800.0,9.739,9
149,2018-10-17 14:00:00-04:00,9.73,9.75,9.73,9.75,14200.0,9.742,17
150,2018-10-18 12:00:00-04:00,9.76,9.76,9.75,9.76,300.0,9.759,2
