,date,open,high,low,close,volume,average,barCount
0,2015-11-23 09:30:00-05:00,13.0,13.15,12.1,12.4,2439761.0,12.515,5851
1,2015-11-23 11:00:00-05:00,12.43,12.64,12.1,12.35,1237117.0,12.322,2811
2,2015-11-23 13:00:00-05:00,12.35,12.36,12.12,12.17,565141.0,12.231,1779
3,2015-11-23 15:00:00-05:00,12.18,12.2,12.1,12.1,616505.0,12.133,1858
4,2015-11-24 09:30:00-05:00,12.0,12.23,11.52,11.55,2401889.0,11.806,6284
5,2015-11-24 11:00:00-05:00,11.55,11.8,11.55,11.73,626940.0,11.688,1875
6,2015-11-24 13:00:00-05:00,11.73,12.1,11.7,11.82,913231.0,11.86,2116
7,2015-11-24 15:00:00-05:00,11.82,12.12,11.76,12.02,520596.0,11.936,1473
8,2015-11-25 09:30:00-05:00,12.12,12.4,12.0,12.18,986878.0,12.19,1985
9,2015-11-25 11:00:00-05:00,12.18,12.31,12.02,12.1,1101137.0,12.138,1729
10,2015-11-25 13:00:00-05:00,12.1,12.15,12.05,12.1,421559.0,12.106,999
11,2015-11-25 15:00:00-05:00,12.09,12.1,11.85,11.9,556069.0,11.922,1336
12,2015-11-27 09:30:00-05:00,12.05,12.31,11.9,11.92,493550.0,12.092,1100
13,2015-11-27 11:00:00-05:00,11.95,12.13,11.9,12.05,392772.0,12.023,1185
14,2015-11-30 09:30:00-05:00,12.28,12.35,12.2,12.24,639870.0,12.283,1899
15,2015-11-30 11:00:00-05:00,12.24,12.27,12.12,12.19,276889.0,12.202,1283
16,2015-11-30 13:00:00-05:00,12.17,12.19,12.0,12.01,434896.0,12.087,1605
17,2015-11-30 15:00:00-05:00,12.0,12.05,11.9,11.94,491013.0,11.963,1915
18,2015-12-01 09:30:00-05:00,12.12,12.18,11.95,11.98,387448.0,12.015,1120
19,2015-12-01 11:00:00-05:00,11.98,12.0,11.95,11.99,221641.0,11.981,783
20,2015-12-01 13:00:00-05:00,12.0,12.0,11.95,11.97,282328.0,11.98,997
21,2015-12-01 15:00:00-05:00,11.98,12.0,11.89,11.9,277633.0,11.925,1211
22,2015-12-02 09:30:00-05:00,11.97,12.16,11.91,12.12,765317.0,11.986,1895
23,2015-12-02 11:00:00-05:00,12.11,12.12,11.94,11.95,300304.0,12.022,838
24,2015-12-02 13:00:00-05:00,11.94,12.01,11.9,11.92,305398.0,11.96,766
25,2015-12-02 15:00:00-05:00,11.92,12.0,11.91,11.97,268150.0,11.942,971
26,2015-12-03 09:30:00-05:00,12.04,12.09,11.91,11.96,277656.0,11.978,983
27,2015-12-03 11:00:00-05:00,11.96,12.25,11.96,12.08,526147.0,12.104,1597
28,2015-12-03 13:00:00-05:00,12.08,12.11,11.91,11.94,278630.0,12.009,988
29,2015-12-03 15:00:00-05:00,11.93,11.97,11.91,11.94,279835.0,11.934,882
30,2015-12-04 09:30:00-05:00,11.95,12.03,11.9,12.0,259546.0,11.953,858
31,2015-12-04 11:00:00-05:00,12.0,12.01,11.92,11.98,193617.0,11.976,725
32,2015-12-04 13:00:00-05:00,11.99,12.01,11.9,11.92,205863.0,11.951,769
33,2015-12-04 15:00:00-05:00,11.9,12.04,11.8,12.03,608210.0,11.96,1162
34,2015-12-07 09:30:00-05:00,12.14,12.6,12.1,12.32,1204891.0,12.358,3885
35,2015-12-07 11:00:00-05:00,12.31,12.5,12.25,12.47,468146.0,12.421,1730
36,2015-12-07 13:00:00-05:00,12.46,12.49,12.21,12.27,565809.0,12.329,1678
37,2015-12-07 15:00:00-05:00,12.27,12.4,12.25,12.35,344544.0,12.326,1459
38,2015-12-08 09:30:00-05:00,12.36,12.44,12.03,12.13,407069.0,12.19,1140
39,2015-12-08 11:00:00-05:00,12.14,12.2,12.06,12.11,257454.0,12.129,808
40,2015-12-08 13:00:00-05:00,12.1,12.24,12.05,12.16,174942.0,12.137,676
41,2015-12-08 15:00:00-05:00,12.16,12.16,12.04,12.1,163333.0,12.083,628
42,2015-12-09 09:30:00-05:00,12.0,12.24,12.0,12.22,344522.0,12.124,1364
43,2015-12-09 11:00:00-05:00,12.21,12.22,11.92,11.96,324858.0,12.015,1113
