,date,open,high,low,close,volume,average,barCount
0,2019-04-18 10:00:00-04:00,65.0,66.0,60.32,62.41,12785846.0,63.582,41569
1,2019-04-18 12:00:00-04:00,62.39,65.85,62.22,65.15,6037537.0,63.594,32549
2,2019-04-18 14:00:00-04:00,65.15,65.49,61.86,62.42,4586340.0,63.077,26420
3,2019-04-22 09:30:00-04:00,60.81,62.86,60.0,60.49,1312631.0,61.097,7072
4,2019-04-22 10:00:00-04:00,60.49,65.95,59.94,64.8,3000495.0,62.628,15096
5,2019-04-22 12:00:00-04:00,64.83,67.15,64.02,66.42,2346951.0,65.795,11382
6,2019-04-22 14:00:00-04:00,66.43,68.9,64.5,65.63,2401874.0,66.851,13883
7,2019-04-23 09:30:00-04:00,66.87,67.75,65.55,67.58,543461.0,66.83,2377
8,2019-04-23 10:00:00-04:00,67.64,74.17,67.62,70.83,2768098.0,71.135,15112
9,2019-04-23 12:00:00-04:00,70.79,71.5,69.51,70.8,1525494.0,70.292,7222
10,2019-04-23 14:00:00-04:00,70.8,71.87,68.95,69.05,1168056.0,70.594,5861
11,2019-04-24 09:30:00-04:00,71.4,71.5,68.25,69.25,572277.0,69.679,2242
12,2019-04-24 10:00:00-04:00,69.23,69.25,64.5,65.45,1741590.0,66.278,8212
13,2019-04-24 12:00:00-04:00,65.45,66.24,64.0,65.22,1105485.0,65.149,5127
14,2019-04-24 14:00:00-04:00,65.25,65.35,63.16,63.2,998111.0,64.444,4679
15,2019-04-25 09:30:00-04:00,64.74,65.0,62.6,63.42,359589.0,63.865,1312
16,2019-04-25 10:00:00-04:00,63.52,65.9,63.0,64.93,604771.0,64.595,3045
17,2019-04-25 12:00:00-04:00,64.91,66.66,63.65,66.37,708083.0,65.176,3575
18,2019-04-25 14:00:00-04:00,66.36,66.85,64.5,65.02,905397.0,65.841,4356
19,2019-04-26 09:30:00-04:00,66.12,66.12,63.6,64.7,161229.0,64.684,608
20,2019-04-26 10:00:00-04:00,64.65,65.2,64.0,64.96,377447.0,64.709,1799
21,2019-04-26 12:00:00-04:00,64.88,66.99,64.88,65.99,497034.0,66.056,2283
22,2019-04-26 14:00:00-04:00,66.1,66.6,65.12,66.22,296895.0,66.013,1641
23,2019-04-29 09:30:00-04:00,66.53,67.65,65.86,66.45,171654.0,66.753,680
