,date,open,high,low,close,volume,average,barCount
0,2016-04-11 09:30:00-04:00,39.65,39.94,39.65,39.91,2288.0,39.747,12
1,2016-04-11 10:00:00-04:00,39.9,39.98,39.63,39.65,13757.0,39.789,69
2,2016-04-11 12:00:00-04:00,39.72,39.87,39.71,39.78,14715.0,39.783,56
3,2016-04-11 14:00:00-04:00,39.8,39.82,39.54,39.54,19245.0,39.704,63
4,2016-04-12 09:30:00-04:00,39.66,39.75,39.61,39.69,8371.0,39.678,12
5,2016-04-12 10:00:00-04:00,39.69,39.96,39.49,39.95,14099.0,39.696,39
6,2016-04-12 12:00:00-04:00,39.91,40.01,39.91,39.95,6662.0,39.954,24
7,2016-04-12 14:00:00-04:00,39.97,40.1,39.95,40.02,11009.0,40.016,53
8,2016-04-13 09:30:00-04:00,40.22,40.41,40.22,40.38,2109.0,40.356,9
9,2016-04-13 10:00:00-04:00,40.41,40.7,40.4,40.68,13317.0,40.634,31
10,2016-04-13 12:00:00-04:00,40.67,40.68,40.57,40.68,17537.0,40.619,57
11,2016-04-13 14:00:00-04:00,40.7,40.74,40.66,40.73,18902.0,40.698,40
12,2016-04-14 09:30:00-04:00,40.63,40.72,40.51,40.51,3476.0,40.658,12
13,2016-04-14 10:00:00-04:00,40.53,40.76,40.51,40.69,61186.0,40.653,137
14,2016-04-14 12:00:00-04:00,40.72,40.74,40.6,40.63,12370.0,40.654,60
15,2016-04-14 14:00:00-04:00,40.61,40.69,40.59,40.62,30039.0,40.633,143
16,2016-04-15 09:30:00-04:00,40.66,40.66,40.56,40.63,5734.0,40.608,15
17,2016-04-15 10:00:00-04:00,40.6,40.65,40.49,40.62,42521.0,40.582,68
18,2016-04-15 12:00:00-04:00,40.61,40.65,40.52,40.56,6165.0,40.585,29
19,2016-04-15 14:00:00-04:00,40.53,40.6,40.5,40.58,21157.0,40.559,59
20,2016-04-18 09:30:00-04:00,40.31,40.54,40.31,40.53,2588.0,40.366,7
21,2016-04-18 10:00:00-04:00,40.61,40.75,40.6,40.73,8736.0,40.659,33
22,2016-04-18 12:00:00-04:00,40.76,40.83,40.72,40.77,6751.0,40.767,26
23,2016-04-18 14:00:00-04:00,40.75,40.84,40.71,40.81,11044.0,40.771,46
24,2016-04-19 09:30:00-04:00,40.91,41.22,40.91,41.22,5261.0,41.044,16
25,2016-04-19 10:00:00-04:00,41.25,41.3,41.05,41.09,18102.0,41.192,54
26,2016-04-19 12:00:00-04:00,41.04,41.08,40.96,41.07,33174.0,41.016,59
27,2016-04-19 14:00:00-04:00,41.13,41.19,41.09,41.18,28862.0,41.137,86
28,2016-04-20 09:30:00-04:00,41.18,41.28,41.18,41.28,11748.0,41.247,19
29,2016-04-20 10:00:00-04:00,41.26,41.39,41.17,41.34,18694.0,41.326,48
30,2016-04-20 12:00:00-04:00,41.36,41.52,41.32,41.51,40211.0,41.424,76
31,2016-04-20 14:00:00-04:00,41.49,41.56,41.4,41.41,70013.0,41.507,146
32,2016-04-21 09:30:00-04:00,41.49,41.52,41.36,41.36,3261.0,41.45,12
33,2016-04-21 10:00:00-04:00,41.31,41.42,41.25,41.3,22801.0,41.364,58
34,2016-04-21 12:00:00-04:00,41.26,41.35,41.18,41.18,17837.0,41.28,65
35,2016-04-21 14:00:00-04:00,41.19,41.21,41.1,41.14,27881.0,41.157,96
36,2016-04-22 09:30:00-04:00,41.14,41.49,41.14,41.49,4636.0,41.23,9
37,2016-04-22 10:00:00-04:00,41.49,41.53,41.28,41.36,45201.0,41.345,118
38,2016-04-22 12:00:00-04:00,41.34,41.42,41.27,41.39,25395.0,41.302,83
39,2016-04-22 14:00:00-04:00,41.37,41.46,41.37,41.43,20788.0,41.408,67
40,2016-04-25 09:30:00-04:00,41.26,41.26,41.11,41.12,3130.0,41.226,7
41,2016-04-25 10:00:00-04:00,41.1,41.13,40.94,40.96,10916.0,41.008,35
42,2016-04-25 12:00:00-04:00,40.98,41.11,40.94,41.04,20579.0,41.04,37
43,2016-04-25 14:00:00-04:00,41.04,41.13,40.98,41.11,20908.0,41.041,60
44,2016-04-26 09:30:00-04:00,41.3,41.35,41.24,41.34,3475.0,41.315,8
45,2016-04-26 10:00:00-04:00,41.4,41.41,41.18,41.4,20981.0,41.284,59
46,2016-04-26 12:00:00-04:00,41.39,41.44,41.36,41.39,68735.0,41.403,175
47,2016-04-26 14:00:00-04:00,41.4,41.49,41.39,41.47,35517.0,41.446,114
48,2016-04-27 09:30:00-04:00,41.55,41.63,41.44,41.62,4994.0,41.569,9
49,2016-04-27 10:00:00-04:00,41.64,41.65,41.41,41.56,34904.0,41.548,114
50,2016-04-27 12:00:00-04:00,41.57,41.63,41.51,41.6,29056.0,41.56,66
51,2016-04-27 14:00:00-04:00,41.55,41.8,41.52,41.71,29952.0,41.712,113
52,2016-04-28 09:30:00-04:00,41.38,41.55,41.25,41.52,6570.0,41.396,19
53,2016-04-28 10:00:00-04:00,41.52,41.65,41.48,41.61,21880.0,41.593,63
54,2016-04-28 12:00:00-04:00,41.65,41.65,41.54,41.59,14193.0,41.592,49
55,2016-04-28 14:00:00-04:00,41.6,41.62,41.08,41.12,22747.0,41.28,94
56,2016-04-29 09:30:00-04:00,41.02,41.04,40.71,40.71,7662.0,40.941,19
57,2016-04-29 10:00:00-04:00,40.61,40.81,40.38,40.5,14222.0,40.574,70
58,2016-04-29 12:00:00-04:00,40.46,40.58,40.38,40.4,47692.0,40.49,144
59,2016-04-29 14:00:00-04:00,40.39,40.69,40.31,40.59,121527.0,40.46,391
60,2016-05-02 09:30:00-04:00,40.67,40.75,40.48,40.52,3267.0,40.622,11
61,2016-05-02 10:00:00-04:00,40.52,40.74,40.52,40.64,10315.0,40.646,55
62,2016-05-02 12:00:00-04:00,40.64,40.85,40.63,40.8,26939.0,40.737,71
63,2016-05-02 14:00:00-04:00,40.82,40.87,40.76,40.81,19636.0,40.81,54
64,2016-05-03 09:30:00-04:00,40.55,40.55,40.18,40.19,6134.0,40.316,13
65,2016-05-03 10:00:00-04:00,40.17,40.22,40.02,40.2,17529.0,40.124,51
66,2016-05-03 12:00:00-04:00,40.13,40.33,40.12,40.28,14607.0,40.241,40
67,2016-05-03 14:00:00-04:00,40.25,40.28,40.17,40.25,43272.0,40.222,96
68,2016-05-04 09:30:00-04:00,39.96,40.07,39.88,40.06,2739.0,39.974,9
69,2016-05-04 10:00:00-04:00,40.09,40.11,39.66,39.73,21807.0,39.865,76
70,2016-05-04 12:00:00-04:00,39.77,39.8,39.64,39.65,28297.0,39.711,75
71,2016-05-04 14:00:00-04:00,39.64,39.81,39.62,39.76,18616.0,39.728,69
72,2016-05-05 09:30:00-04:00,39.88,39.95,39.77,39.9,1572.0,39.823,5
73,2016-05-05 10:00:00-04:00,39.87,39.98,39.75,39.79,13851.0,39.837,44
74,2016-05-05 12:00:00-04:00,39.74,39.75,39.53,39.55,24789.0,39.631,71
75,2016-05-05 14:00:00-04:00,39.58,39.62,39.53,39.6,13261.0,39.586,55
76,2016-05-06 09:30:00-04:00,39.48,39.66,39.42,39.6,43340.0,39.511,90
77,2016-05-06 10:00:00-04:00,39.59,39.7,39.36,39.48,24568.0,39.501,134
78,2016-05-06 12:00:00-04:00,39.46,39.64,39.45,39.64,16191.0,39.539,91
79,2016-05-06 14:00:00-04:00,39.67,39.75,39.65,39.71,20790.0,39.702,124
80,2016-05-09 09:30:00-04:00,39.63,39.76,39.59,39.59,2252.0,39.677,9
81,2016-05-09 10:00:00-04:00,39.61,39.63,39.4,39.49,10025.0,39.522,35
82,2016-05-09 12:00:00-04:00,39.5,39.62,39.48,39.55,24082.0,39.566,85
83,2016-05-09 14:00:00-04:00,39.55,39.65,39.51,39.51,68106.0,39.565,210
84,2016-05-10 09:30:00-04:00,39.7,39.84,39.68,39.79,6549.0,39.715,12
85,2016-05-10 10:00:00-04:00,39.79,39.94,39.73,39.92,18845.0,39.866,67
86,2016-05-10 12:00:00-04:00,39.92,40.04,39.92,40.04,14952.0,40.003,41
87,2016-05-10 14:00:00-04:00,40.03,40.1,40.03,40.09,54170.0,40.062,112
88,2016-05-11 09:30:00-04:00,40.0,40.01,39.84,39.84,9409.0,39.941,19
89,2016-05-11 10:00:00-04:00,39.81,40.07,39.78,40.03,11376.0,39.948,44
90,2016-05-11 12:00:00-04:00,40.03,40.05,39.94,39.96,9472.0,39.984,19
91,2016-05-11 14:00:00-04:00,39.91,39.91,39.73,39.73,124731.0,39.808,84
92,2016-05-12 09:30:00-04:00,39.87,40.05,39.75,39.75,5580.0,39.901,20
93,2016-05-12 10:00:00-04:00,39.79,39.8,39.4,39.41,24533.0,39.612,50
94,2016-05-12 12:00:00-04:00,39.38,39.52,39.36,39.49,14546.0,39.413,52
95,2016-05-12 14:00:00-04:00,39.51,39.66,39.51,39.52,10934.0,39.589,43
96,2016-05-13 09:30:00-04:00,39.5,39.64,39.4,39.55,3172.0,39.516,9
97,2016-05-13 10:00:00-04:00,39.45,39.6,39.33,39.51,14532.0,39.467,56
98,2016-05-13 12:00:00-04:00,39.48,39.52,39.12,39.17,8214.0,39.339,28
99,2016-05-13 14:00:00-04:00,39.17,39.22,39.06,39.12,40610.0,39.128,78
100,2016-05-16 09:30:00-04:00,39.17,39.4,39.17,39.31,5557.0,39.338,10
101,2016-05-16 10:00:00-04:00,39.25,39.48,39.25,39.47,9176.0,39.369,34
102,2016-05-16 12:00:00-04:00,39.48,39.48,39.36,39.42,10019.0,39.409,32
103,2016-05-16 14:00:00-04:00,39.42,39.57,39.41,39.45,16484.0,39.503,91
104,2016-05-17 09:30:00-04:00,39.35,39.47,39.29,39.46,20117.0,39.303,14
105,2016-05-17 10:00:00-04:00,39.5,39.74,39.5,39.66,15259.0,39.621,37
106,2016-05-17 12:00:00-04:00,39.63,39.63,39.51,39.51,10055.0,39.55,24
107,2016-05-17 14:00:00-04:00,39.42,39.42,39.2,39.3,20382.0,39.294,74
108,2016-05-18 09:30:00-04:00,39.14,39.45,39.14,39.45,2178.0,39.239,5
109,2016-05-18 10:00:00-04:00,39.46,39.69,39.44,39.56,13918.0,39.561,46
110,2016-05-18 12:00:00-04:00,39.52,39.68,39.52,39.64,12313.0,39.606,38
111,2016-05-18 14:00:00-04:00,39.6,39.6,39.19,39.45,37145.0,39.388,120
112,2016-05-19 09:30:00-04:00,39.51,39.51,39.15,39.18,3045.0,39.434,9
113,2016-05-19 10:00:00-04:00,39.07,39.2,38.99,39.07,14563.0,39.059,55
114,2016-05-19 12:00:00-04:00,39.06,39.22,39.04,39.16,15168.0,39.126,32
115,2016-05-19 14:00:00-04:00,39.17,39.32,39.13,39.25,64108.0,39.246,121
116,2016-05-20 09:30:00-04:00,39.51,39.63,39.51,39.55,3681.0,39.541,6
117,2016-05-20 10:00:00-04:00,39.59,39.71,39.55,39.64,15954.0,39.647,54
118,2016-05-20 12:00:00-04:00,39.63,39.68,39.54,39.57,40475.0,39.644,70
119,2016-05-20 14:00:00-04:00,39.55,39.66,39.53,39.63,18643.0,39.583,64
120,2016-05-23 09:30:00-04:00,39.55,39.68,39.55,39.57,4217.0,39.611,10
121,2016-05-23 10:00:00-04:00,39.7,39.73,39.59,39.6,7554.0,39.662,25
122,2016-05-23 12:00:00-04:00,39.6,39.72,39.59,39.68,8357.0,39.658,27
123,2016-05-23 14:00:00-04:00,39.67,39.71,39.54,39.56,23452.0,39.641,84
124,2016-05-24 09:30:00-04:00,39.71,39.86,39.71,39.86,2150.0,39.74,4
125,2016-05-24 10:00:00-04:00,39.91,40.08,39.91,40.04,45466.0,40.02,88
126,2016-05-24 12:00:00-04:00,40.01,40.1,39.99,40.02,26372.0,40.034,72
127,2016-05-24 14:00:00-04:00,40.01,40.14,39.99,40.07,24005.0,40.057,80
128,2016-05-25 09:30:00-04:00,40.32,40.51,40.32,40.5,2749.0,40.371,6
129,2016-05-25 10:00:00-04:00,40.52,40.6,40.44,40.46,15893.0,40.528,33
130,2016-05-25 12:00:00-04:00,40.48,40.55,40.43,40.55,10495.0,40.495,39
