,date,open,high,low,close,volume,average,barCount
0,2015-11-23 09:30:00-05:00,18.9,19.18,18.82,19.05,58148.0,19.037,189
1,2015-11-23 11:00:00-05:00,19.04,19.69,19.0,19.35,318311.0,19.336,984
2,2015-11-23 13:00:00-05:00,19.3,19.56,19.26,19.56,126566.0,19.471,325
3,2015-11-23 15:00:00-05:00,19.55,19.61,19.48,19.58,113650.0,19.533,449
4,2015-11-24 09:30:00-05:00,19.4,19.66,19.36,19.55,98646.0,19.532,439
5,2015-11-24 11:00:00-05:00,19.55,19.86,19.54,19.85,150319.0,19.634,366
6,2015-11-24 13:00:00-05:00,19.85,19.96,19.52,19.71,238358.0,19.772,853
7,2015-11-24 15:00:00-05:00,19.71,19.8,19.69,19.73,57601.0,19.755,405
8,2015-11-25 09:30:00-05:00,19.68,20.19,19.68,20.0,133361.0,20.023,600
9,2015-11-25 11:00:00-05:00,20.0,20.08,19.99,20.0,69633.0,20.007,450
10,2015-11-25 13:00:00-05:00,20.0,20.1,19.85,19.95,53756.0,19.98,415
11,2015-11-25 15:00:00-05:00,19.94,20.02,19.79,19.82,61280.0,19.901,408
12,2015-11-27 09:30:00-05:00,19.94,20.0,19.29,19.97,16427.0,19.882,111
13,2015-11-27 11:00:00-05:00,19.98,20.07,19.84,20.01,84756.0,19.983,422
14,2015-11-30 09:30:00-05:00,20.05,20.06,19.89,20.04,20235.0,20.01,117
15,2015-11-30 11:00:00-05:00,20.04,20.06,19.96,19.97,25980.0,20.02,194
16,2015-11-30 13:00:00-05:00,19.98,20.02,19.92,19.96,29679.0,19.975,226
17,2015-11-30 15:00:00-05:00,19.98,20.05,19.94,20.02,75683.0,20.0,345
18,2015-12-01 09:30:00-05:00,20.06,20.06,19.91,20.0,21229.0,19.979,181
19,2015-12-01 11:00:00-05:00,19.96,20.0,19.86,19.88,47919.0,19.921,348
20,2015-12-01 13:00:00-05:00,19.88,19.97,19.87,19.97,85181.0,19.95,347
21,2015-12-01 15:00:00-05:00,19.97,20.01,19.95,20.0,149715.0,19.987,603
22,2015-12-02 09:30:00-05:00,19.93,20.03,19.86,20.0,33955.0,20.001,204
23,2015-12-02 11:00:00-05:00,20.0,20.03,19.88,19.88,30245.0,19.967,259
24,2015-12-02 13:00:00-05:00,19.89,19.96,19.82,19.85,28066.0,19.91,228
25,2015-12-02 15:00:00-05:00,19.86,19.97,19.85,19.96,25693.0,19.927,212
26,2015-12-03 09:30:00-05:00,19.91,20.1,19.83,20.03,56011.0,20.017,242
27,2015-12-03 11:00:00-05:00,20.02,20.1,19.66,19.66,57840.0,19.963,243
28,2015-12-03 13:00:00-05:00,19.66,19.83,19.55,19.71,34025.0,19.684,218
29,2015-12-03 15:00:00-05:00,19.72,19.87,19.7,19.8,25762.0,19.775,234
30,2015-12-04 09:30:00-05:00,19.85,20.09,19.77,20.05,34221.0,20.04,256
31,2015-12-04 11:00:00-05:00,20.04,20.06,19.86,20.06,31980.0,19.99,257
32,2015-12-04 13:00:00-05:00,20.06,20.35,20.04,20.29,734255.0,20.088,665
33,2015-12-04 15:00:00-05:00,20.35,20.69,20.2,20.33,74121.0,20.394,628
34,2015-12-07 09:30:00-05:00,20.2,20.7,19.5,20.61,44938.0,20.4,179
35,2015-12-07 11:00:00-05:00,20.65,20.77,20.03,20.12,78745.0,20.443,449
36,2015-12-07 13:00:00-05:00,20.06,20.3,20.06,20.29,30970.0,20.252,256
37,2015-12-07 15:00:00-05:00,20.29,20.35,20.25,20.3,36103.0,20.281,294
38,2015-12-08 09:30:00-05:00,20.13,20.13,19.97,20.06,10671.0,20.054,79
39,2015-12-08 11:00:00-05:00,20.05,20.35,20.05,20.32,22250.0,20.26,197
40,2015-12-08 13:00:00-05:00,20.32,20.74,20.3,20.74,99101.0,20.577,293
41,2015-12-08 15:00:00-05:00,20.73,20.81,20.64,20.76,95761.0,20.743,494
42,2015-12-09 09:30:00-05:00,20.81,20.86,20.3,20.3,19719.0,20.588,122
43,2015-12-09 11:00:00-05:00,20.28,20.28,19.9,19.97,88026.0,20.069,317
44,2015-12-09 13:00:00-05:00,19.94,20.04,19.89,20.02,136135.0,19.905,201
45,2015-12-09 15:00:00-05:00,20.02,20.23,20.02,20.11,23860.0,20.11,188
46,2015-12-10 09:30:00-05:00,19.67,19.8,19.44,19.77,587803.0,19.721,928
47,2015-12-10 11:00:00-05:00,19.78,19.78,19.56,19.59,103561.0,19.625,450
48,2015-12-10 13:00:00-05:00,19.6,19.71,19.55,19.65,274251.0,19.624,758
49,2015-12-10 15:00:00-05:00,19.65,19.65,19.46,19.54,290682.0,19.552,600
50,2015-12-11 09:30:00-05:00,19.85,20.4,19.5,20.3,194795.0,19.94,824
51,2015-12-11 11:00:00-05:00,20.34,20.46,20.05,20.14,121053.0,20.218,869
52,2015-12-11 13:00:00-05:00,20.1,20.72,20.03,20.57,155940.0,20.229,782
53,2015-12-11 15:00:00-05:00,20.57,20.61,20.27,20.33,102428.0,20.414,585
54,2015-12-14 09:30:00-05:00,20.24,20.78,19.67,20.0,69686.0,20.104,573
55,2015-12-14 11:00:00-05:00,20.01,20.15,19.69,19.73,65242.0,19.915,536
56,2015-12-14 13:00:00-05:00,19.73,19.97,19.62,19.78,79162.0,19.739,628
57,2015-12-14 15:00:00-05:00,19.79,19.86,19.62,19.76,83633.0,19.719,710
58,2015-12-15 09:30:00-05:00,19.75,20.05,19.5,19.5,34408.0,19.722,276
59,2015-12-15 11:00:00-05:00,19.5,20.22,19.5,20.05,57250.0,19.876,461
60,2015-12-15 13:00:00-05:00,20.07,20.12,19.94,20.11,26981.0,20.012,240
61,2015-12-15 15:00:00-05:00,20.13,20.32,20.1,20.23,102885.0,20.21,580
62,2015-12-16 09:30:00-05:00,20.31,21.25,20.3,21.12,119047.0,20.867,465
63,2015-12-16 11:00:00-05:00,21.11,21.86,21.1,21.62,109671.0,21.578,713
64,2015-12-16 13:00:00-05:00,21.59,21.63,21.16,21.52,97347.0,21.519,520
65,2015-12-16 15:00:00-05:00,21.51,21.58,21.46,21.56,95705.0,21.512,479
66,2015-12-17 09:30:00-05:00,21.75,22.06,21.5,21.91,83464.0,21.857,479
67,2015-12-17 11:00:00-05:00,21.93,22.22,21.79,21.93,112624.0,22.003,698
68,2015-12-17 13:00:00-05:00,21.89,22.22,21.87,21.98,126118.0,22.01,665
69,2015-12-17 15:00:00-05:00,22.01,22.11,21.77,21.82,169497.0,21.933,1260
70,2015-12-18 09:30:00-05:00,21.95,21.97,21.58,21.68,78258.0,21.743,523
71,2015-12-18 11:00:00-05:00,21.68,21.68,20.94,20.94,78263.0,21.385,603
72,2015-12-18 13:00:00-05:00,20.92,21.04,20.7,20.91,102583.0,20.871,872
73,2015-12-18 15:00:00-05:00,20.9,21.06,20.86,21.04,126605.0,20.97,885
74,2015-12-21 09:30:00-05:00,21.05,21.4,20.87,21.01,172244.0,21.166,494
75,2015-12-21 11:00:00-05:00,20.97,21.28,20.97,21.18,108836.0,21.113,507
76,2015-12-21 13:00:00-05:00,21.17,21.39,21.03,21.03,87856.0,21.228,322
77,2015-12-21 15:00:00-05:00,21.03,21.08,20.9,21.0,94734.0,20.981,600
78,2015-12-22 09:30:00-05:00,21.0,21.34,20.6,20.88,105275.0,21.021,342
79,2015-12-22 11:00:00-05:00,20.9,21.05,20.83,21.02,67920.0,20.95,462
