,date,open,high,low,close,volume,average,barCount
0,2015-11-25 09:30:00-05:00,96.02,96.85,95.27,96.5,489361.0,96.181,3387
1,2015-11-25 11:00:00-05:00,96.47,96.87,96.31,96.53,481662.0,96.624,3618
2,2015-11-25 13:00:00-05:00,96.51,96.56,95.92,96.04,430044.0,96.199,2148
3,2015-11-25 15:00:00-05:00,96.06,96.16,95.8,95.95,233348.0,96.011,1842
4,2015-11-27 09:30:00-05:00,94.48,95.89,94.48,95.6,518004.0,95.386,3322
5,2015-11-27 11:00:00-05:00,95.62,95.78,95.08,95.16,401935.0,95.394,3298
6,2015-11-30 09:30:00-05:00,95.61,96.76,95.41,96.46,540361.0,96.215,3652
7,2015-11-30 11:00:00-05:00,96.47,96.8,95.88,96.13,588401.0,96.282,3354
8,2015-11-30 13:00:00-05:00,96.11,96.14,95.75,95.81,426666.0,95.933,3318
9,2015-11-30 15:00:00-05:00,95.79,95.95,95.45,95.82,427513.0,95.816,2906
10,2015-12-01 09:30:00-05:00,96.0,96.55,95.71,96.4,776207.0,96.128,5393
11,2015-12-01 11:00:00-05:00,96.4,96.42,96.01,96.38,480827.0,96.238,3935
12,2015-12-01 13:00:00-05:00,96.37,96.92,96.34,96.71,571538.0,96.651,4287
13,2015-12-01 15:00:00-05:00,96.7,97.2,96.67,97.11,769937.0,97.013,5652
14,2015-12-02 09:30:00-05:00,96.37,96.82,96.0,96.17,491882.0,96.385,2885
15,2015-12-02 11:00:00-05:00,96.16,96.19,95.47,95.7,427893.0,95.817,3029
16,2015-12-02 13:00:00-05:00,95.68,95.7,94.53,94.56,434348.0,95.221,3370
17,2015-12-02 15:00:00-05:00,94.57,95.32,94.5,95.08,561476.0,94.967,4072
18,2015-12-03 09:30:00-05:00,95.66,96.3,95.02,95.51,590573.0,95.6,3932
19,2015-12-03 11:00:00-05:00,95.47,95.65,95.09,95.45,467272.0,95.422,3275
20,2015-12-03 13:00:00-05:00,95.42,95.9,94.34,94.85,827294.0,95.039,5811
21,2015-12-03 15:00:00-05:00,94.82,95.16,94.28,95.14,1059118.0,94.814,7595
22,2015-12-04 09:30:00-05:00,94.94,95.83,93.89,95.78,660099.0,94.949,4605
23,2015-12-04 11:00:00-05:00,95.79,96.05,95.5,96.04,724720.0,95.816,5548
24,2015-12-04 13:00:00-05:00,96.02,96.56,95.98,96.55,670117.0,96.259,4874
25,2015-12-04 15:00:00-05:00,96.54,96.64,96.25,96.3,635143.0,96.441,4464
26,2015-12-07 09:30:00-05:00,95.5,95.63,91.13,91.3,1064694.0,93.176,6940
27,2015-12-07 11:00:00-05:00,91.28,91.61,89.7,90.48,1411606.0,90.62,9155
28,2015-12-07 13:00:00-05:00,90.5,91.0,90.24,90.31,722863.0,90.638,5543
29,2015-12-07 15:00:00-05:00,90.29,90.62,89.57,90.45,1263956.0,90.195,9461
30,2015-12-08 09:30:00-05:00,88.7,89.37,85.82,87.72,2731359.0,87.342,15982
31,2015-12-08 11:00:00-05:00,87.73,88.67,86.79,87.11,1480213.0,87.471,7469
32,2015-12-08 13:00:00-05:00,87.14,88.03,86.53,87.35,902174.0,87.397,5318
33,2015-12-08 15:00:00-05:00,87.35,87.59,87.07,87.36,925376.0,87.388,6801
34,2015-12-09 09:30:00-05:00,88.25,90.97,87.76,90.55,1385267.0,90.046,8983
35,2015-12-09 11:00:00-05:00,90.53,90.65,87.41,87.66,1045765.0,89.097,7191
36,2015-12-09 13:00:00-05:00,87.64,88.78,87.57,88.26,999885.0,88.238,6948
37,2015-12-09 15:00:00-05:00,88.26,88.99,88.23,88.82,727613.0,88.705,5479
38,2015-12-10 09:30:00-05:00,88.3,88.95,87.25,88.49,648985.0,88.206,4194
39,2015-12-10 11:00:00-05:00,88.49,88.49,87.14,87.73,406239.0,87.71,3296
40,2015-12-10 13:00:00-05:00,87.72,88.24,87.31,87.88,478025.0,87.678,3351
41,2015-12-10 15:00:00-05:00,87.89,87.93,87.34,87.48,394114.0,87.637,3215
42,2015-12-11 09:30:00-05:00,86.0,87.23,85.86,86.32,1100400.0,86.522,6826
43,2015-12-11 11:00:00-05:00,86.32,86.69,85.46,85.52,795335.0,85.998,4622
44,2015-12-11 13:00:00-05:00,85.57,86.3,85.52,85.88,673671.0,86.043,5031
45,2015-12-11 15:00:00-05:00,85.9,86.0,85.2,85.56,886121.0,85.514,5984
46,2015-12-14 09:30:00-05:00,85.0,85.42,83.22,84.23,1083465.0,84.15,6991
47,2015-12-14 11:00:00-05:00,84.21,85.41,83.55,85.37,921239.0,84.337,6795
48,2015-12-14 13:00:00-05:00,85.37,85.75,85.09,85.4,768734.0,85.401,5592
49,2015-12-14 15:00:00-05:00,85.39,85.81,85.0,85.71,532264.0,85.399,4309
50,2015-12-15 09:30:00-05:00,86.96,88.3,86.81,87.99,947229.0,87.956,6162
51,2015-12-15 11:00:00-05:00,87.98,89.31,87.7,88.83,941803.0,88.342,7320
52,2015-12-15 13:00:00-05:00,88.81,88.92,87.85,88.09,660671.0,88.266,5216
53,2015-12-15 15:00:00-05:00,88.09,88.19,87.75,88.05,664991.0,87.97,5234
54,2015-12-16 09:30:00-05:00,88.61,90.13,88.21,88.91,817405.0,89.357,5670
55,2015-12-16 11:00:00-05:00,88.88,89.02,87.58,88.27,995256.0,88.178,5909
56,2015-12-16 13:00:00-05:00,88.26,88.94,87.56,88.81,647442.0,88.278,5304
57,2015-12-16 15:00:00-05:00,88.84,89.07,88.22,88.92,488303.0,88.793,4217
58,2015-12-17 09:30:00-05:00,89.3,89.36,87.42,87.51,561603.0,88.191,4275
59,2015-12-17 11:00:00-05:00,87.51,88.25,87.36,87.94,502318.0,87.825,3994
60,2015-12-17 13:00:00-05:00,87.95,88.77,87.87,88.18,324889.0,88.314,2765
61,2015-12-17 15:00:00-05:00,88.18,88.36,87.62,87.66,429221.0,88.008,3258
62,2015-12-18 09:30:00-05:00,87.44,89.59,87.21,88.96,725696.0,88.387,3573
63,2015-12-18 11:00:00-05:00,88.95,89.12,87.69,87.78,418943.0,88.287,3236
64,2015-12-18 13:00:00-05:00,87.78,88.19,87.4,87.49,413006.0,87.801,3279
65,2015-12-18 15:00:00-05:00,87.51,87.85,87.06,87.43,899136.0,87.417,6041
66,2015-12-21 09:30:00-05:00,87.97,88.63,87.25,87.5,743724.0,87.997,4444
67,2015-12-21 11:00:00-05:00,87.5,87.86,86.57,86.84,744895.0,87.031,4209
68,2015-12-21 13:00:00-05:00,86.85,87.13,86.59,86.66,551924.0,86.92,3804
69,2015-12-21 15:00:00-05:00,86.66,87.01,86.31,86.99,430376.0,86.679,3412
70,2015-12-22 09:30:00-05:00,88.06,88.06,86.63,87.05,504519.0,87.147,3176
71,2015-12-22 11:00:00-05:00,87.05,87.41,86.99,87.4,618162.0,87.228,4578
72,2015-12-22 13:00:00-05:00,87.39,87.53,87.17,87.33,488249.0,87.331,3533
73,2015-12-22 15:00:00-05:00,87.33,87.45,86.89,87.06,521292.0,87.155,3780
74,2015-12-23 09:30:00-05:00,88.17,88.61,87.72,88.52,811205.0,88.326,5363
75,2015-12-23 11:00:00-05:00,88.54,89.26,88.4,89.25,743521.0,88.868,4232
76,2015-12-23 13:00:00-05:00,89.25,89.65,88.98,89.41,497073.0,89.26,3588
77,2015-12-23 15:00:00-05:00,89.41,89.8,89.38,89.74,346034.0,89.615,2596
78,2015-12-24 09:30:00-05:00,89.45,89.89,88.26,88.53,366531.0,88.908,2643
79,2015-12-24 11:00:00-05:00,88.53,88.82,88.17,88.19,553188.0,88.394,4402
80,2015-12-28 09:30:00-05:00,87.52,87.87,86.8,87.04,362764.0,87.185,2079
81,2015-12-28 11:00:00-05:00,87.02,87.43,86.88,86.91,338935.0,87.133,2308
82,2015-12-28 13:00:00-05:00,86.91,87.23,86.87,87.0,489455.0,87.022,3175
83,2015-12-28 15:00:00-05:00,87.0,87.07,86.77,86.92,572782.0,86.907,3917
84,2015-12-29 09:30:00-05:00,87.77,89.0,87.77,88.09,536861.0,88.487,3639
85,2015-12-29 11:00:00-05:00,88.09,88.42,87.79,88.36,306224.0,88.125,2180
86,2015-12-29 13:00:00-05:00,88.35,88.94,88.34,88.5,310664.0,88.637,2303
87,2015-12-29 15:00:00-05:00,88.5,88.76,88.46,88.64,357829.0,88.587,2694
88,2015-12-30 09:30:00-05:00,88.07,88.79,87.75,88.25,266689.0,88.361,1706
89,2015-12-30 11:00:00-05:00,88.24,88.7,88.21,88.24,215317.0,88.514,1609
90,2015-12-30 13:00:00-05:00,88.23,88.31,87.82,87.89,199479.0,88.001,1570
91,2015-12-30 15:00:00-05:00,87.9,87.94,87.55,87.75,268601.0,87.808,2080
92,2015-12-31 09:30:00-05:00,87.0,87.83,86.99,87.17,281405.0,87.305,1759
93,2015-12-31 11:00:00-05:00,87.18,87.9,87.07,87.47,281915.0,87.407,2056
94,2015-12-31 13:00:00-05:00,87.47,87.68,87.07,87.23,248675.0,87.408,1992
95,2015-12-31 15:00:00-05:00,87.21,87.45,86.88,86.89,359231.0,87.169,2821
96,2016-01-04 09:30:00-05:00,86.28,86.99,85.55,86.01,615946.0,86.107,4669
97,2016-01-04 11:00:00-05:00,85.99,86.63,85.73,86.58,477091.0,86.102,3969
98,2016-01-04 13:00:00-05:00,86.6,87.24,86.44,86.59,363318.0,86.883,2877
99,2016-01-04 15:00:00-05:00,86.55,87.27,86.27,87.24,438877.0,86.784,3530
100,2016-01-05 09:30:00-05:00,87.82,88.34,86.38,87.08,536683.0,87.312,3689
101,2016-01-05 11:00:00-05:00,87.08,87.13,86.25,86.72,363209.0,86.643,3008
102,2016-01-05 13:00:00-05:00,86.74,87.55,86.68,87.44,403197.0,87.221,3077
103,2016-01-05 15:00:00-05:00,87.43,87.84,87.11,87.62,460747.0,87.51,3669
104,2016-01-06 09:30:00-05:00,85.11,85.57,83.68,83.85,1003634.0,84.266,7013
105,2016-01-06 11:00:00-05:00,83.85,84.28,82.87,82.9,572765.0,83.498,4236
106,2016-01-06 13:00:00-05:00,82.9,83.57,82.66,82.72,606730.0,83.104,4411
107,2016-01-06 15:00:00-05:00,82.72,83.74,82.7,83.51,840539.0,83.43,6071
108,2016-01-07 09:30:00-05:00,82.38,82.48,79.62,82.04,1467110.0,80.921,10302
109,2016-01-07 11:00:00-05:00,82.08,82.57,81.14,81.34,579320.0,81.915,4605
110,2016-01-07 13:00:00-05:00,81.33,81.35,80.03,80.33,802085.0,80.509,6431
111,2016-01-07 15:00:00-05:00,80.33,80.38,79.71,80.05,1094381.0,80.048,7903
112,2016-01-08 09:30:00-05:00,80.52,81.53,80.25,81.21,957299.0,80.952,6113
113,2016-01-08 11:00:00-05:00,81.25,81.5,80.08,80.81,612249.0,80.776,4464
114,2016-01-08 13:00:00-05:00,80.79,81.25,80.55,80.61,505845.0,80.881,4081
115,2016-01-08 15:00:00-05:00,80.58,80.76,79.15,79.56,1058657.0,79.814,7894
116,2016-01-11 09:30:00-05:00,78.83,78.98,76.28,76.44,1700193.0,77.119,9710
117,2016-01-11 11:00:00-05:00,76.44,77.06,76.05,76.2,941895.0,76.526,6059
118,2016-01-11 13:00:00-05:00,76.2,76.39,75.67,75.92,1286278.0,76.032,8372
119,2016-01-11 15:00:00-05:00,75.93,76.6,75.53,76.32,1267328.0,76.183,8853
120,2016-01-12 09:30:00-05:00,77.44,78.27,76.03,76.46,1216034.0,77.114,7155
121,2016-01-12 11:00:00-05:00,76.44,77.69,75.84,76.68,1084767.0,76.656,7163
122,2016-01-12 13:00:00-05:00,76.68,77.67,76.48,77.63,526016.0,77.009,3716
123,2016-01-12 15:00:00-05:00,77.63,78.26,77.26,78.17,725464.0,77.962,5398
124,2016-01-13 09:30:00-05:00,79.75,79.75,76.85,77.74,1064507.0,78.028,6817
125,2016-01-13 11:00:00-05:00,77.74,77.74,76.0,76.09,833762.0,76.811,6704
126,2016-01-13 13:00:00-05:00,76.07,76.18,75.0,75.36,1235011.0,75.782,9328
127,2016-01-13 15:00:00-05:00,75.36,75.51,74.82,74.93,1013685.0,75.144,7953
128,2016-01-14 09:30:00-05:00,74.91,77.67,73.94,76.73,1323634.0,75.902,8172
129,2016-01-14 11:00:00-05:00,76.75,76.99,75.68,76.23,808377.0,76.243,6221
130,2016-01-14 13:00:00-05:00,76.21,77.1,76.16,76.8,671910.0,76.796,5218
131,2016-01-14 15:00:00-05:00,76.8,77.0,76.14,76.36,931274.0,76.463,7421
