,date,open,high,low,close,volume,average,barCount
0,2015-11-25 09:30:00-05:00,44.63,45.14,44.63,44.95,559660.0,44.955,3606
1,2015-11-25 11:00:00-05:00,44.95,45.19,44.87,45.07,366375.0,45.03,2782
2,2015-11-25 13:00:00-05:00,45.05,45.15,44.93,45.07,307157.0,45.056,2481
3,2015-11-25 15:00:00-05:00,45.08,45.11,44.94,44.97,266355.0,45.012,2097
4,2015-11-27 09:30:00-05:00,44.93,45.04,44.35,44.95,332279.0,44.757,2658
5,2015-11-27 11:00:00-05:00,44.94,45.05,44.76,44.81,376196.0,44.876,3008
6,2015-11-30 09:30:00-05:00,44.87,45.15,44.72,45.1,557120.0,44.977,3170
7,2015-11-30 11:00:00-05:00,45.11,45.19,45.01,45.05,304154.0,45.117,2356
8,2015-11-30 13:00:00-05:00,45.04,45.41,45.02,45.3,698539.0,45.255,5371
9,2015-11-30 15:00:00-05:00,45.3,45.5,45.28,45.44,727167.0,45.412,4823
10,2015-12-01 09:30:00-05:00,45.88,46.42,45.72,45.9,798227.0,46.127,5902
11,2015-12-01 11:00:00-05:00,45.9,45.95,45.59,45.81,376894.0,45.758,2990
12,2015-12-01 13:00:00-05:00,45.81,46.12,45.73,46.04,480184.0,45.966,3912
13,2015-12-01 15:00:00-05:00,46.04,46.09,45.89,45.93,580864.0,45.983,3965
14,2015-12-02 09:30:00-05:00,45.93,46.11,45.33,45.43,445352.0,45.642,3169
15,2015-12-02 11:00:00-05:00,45.44,45.65,45.3,45.58,465331.0,45.475,3294
16,2015-12-02 13:00:00-05:00,45.57,45.57,45.14,45.16,505409.0,45.407,3978
17,2015-12-02 15:00:00-05:00,45.17,45.22,45.08,45.18,436240.0,45.16,3237
18,2015-12-03 09:30:00-05:00,45.45,45.49,45.0,45.2,347826.0,45.231,2961
19,2015-12-03 11:00:00-05:00,45.2,45.36,44.6,44.63,573919.0,44.942,4378
20,2015-12-03 13:00:00-05:00,44.63,44.82,44.18,44.45,626213.0,44.44,5441
21,2015-12-03 15:00:00-05:00,44.45,44.49,44.3,44.38,551401.0,44.371,3818
22,2015-12-04 09:30:00-05:00,44.51,45.06,44.49,44.66,337173.0,44.779,2565
23,2015-12-04 11:00:00-05:00,44.67,44.85,44.14,44.7,438584.0,44.453,3457
24,2015-12-04 13:00:00-05:00,44.71,45.12,44.69,44.87,421069.0,44.924,3444
25,2015-12-04 15:00:00-05:00,44.88,44.91,44.76,44.83,442901.0,44.836,3198
26,2015-12-07 09:30:00-05:00,44.51,44.55,43.96,44.05,406725.0,44.246,3057
27,2015-12-07 11:00:00-05:00,44.05,44.08,43.56,43.66,517441.0,43.786,4155
28,2015-12-07 13:00:00-05:00,43.66,43.9,43.37,43.5,584051.0,43.594,4490
29,2015-12-07 15:00:00-05:00,43.5,43.61,43.44,43.49,565776.0,43.502,4079
30,2015-12-08 09:30:00-05:00,43.09,43.39,42.63,43.25,468415.0,42.993,3383
31,2015-12-08 11:00:00-05:00,43.26,43.45,43.0,43.1,391307.0,43.227,2853
32,2015-12-08 13:00:00-05:00,43.1,43.33,42.89,43.02,493650.0,43.104,3439
33,2015-12-08 15:00:00-05:00,43.01,43.03,42.78,42.94,603703.0,42.914,3803
34,2015-12-09 09:30:00-05:00,42.71,43.49,42.71,43.0,370905.0,43.164,2964
35,2015-12-09 11:00:00-05:00,43.01,43.03,42.07,42.26,663242.0,42.477,5358
36,2015-12-09 13:00:00-05:00,42.23,42.49,42.15,42.37,508542.0,42.33,3914
37,2015-12-09 15:00:00-05:00,42.36,42.63,42.34,42.52,422055.0,42.508,3121
38,2015-12-10 09:30:00-05:00,42.53,43.04,42.43,42.89,352340.0,42.829,2898
39,2015-12-10 11:00:00-05:00,42.88,43.02,42.69,42.91,361257.0,42.844,2628
40,2015-12-10 13:00:00-05:00,42.92,43.19,42.86,43.11,357371.0,43.113,2384
41,2015-12-10 15:00:00-05:00,43.11,43.15,42.83,42.9,460328.0,43.023,3169
42,2015-12-11 09:30:00-05:00,42.3,42.48,41.9,42.03,216052.0,42.099,1688
43,2015-12-11 11:00:00-05:00,42.04,42.15,41.62,41.74,272931.0,41.899,2202
44,2015-12-11 13:00:00-05:00,41.75,42.01,41.58,41.87,284572.0,41.833,2322
45,2015-12-11 15:00:00-05:00,41.86,41.9,41.51,41.53,460565.0,41.613,3149
46,2015-12-14 09:30:00-05:00,41.66,41.86,41.05,41.2,458624.0,41.376,2994
47,2015-12-14 11:00:00-05:00,41.21,41.32,40.81,41.18,416449.0,41.031,2823
48,2015-12-14 13:00:00-05:00,41.2,41.3,40.95,41.13,290339.0,41.106,2397
49,2015-12-14 15:00:00-05:00,41.13,41.28,40.97,41.27,463548.0,41.143,3768
50,2015-12-15 09:30:00-05:00,41.59,42.01,41.38,41.46,367010.0,41.698,2610
51,2015-12-15 11:00:00-05:00,41.45,41.91,41.23,41.77,603486.0,41.659,4196
52,2015-12-15 13:00:00-05:00,41.78,41.79,41.41,41.47,491434.0,41.618,3795
53,2015-12-15 15:00:00-05:00,41.47,41.49,41.27,41.34,611780.0,41.376,4295
54,2015-12-16 09:30:00-05:00,41.49,42.05,41.47,41.63,1287345.0,41.665,4171
55,2015-12-16 11:00:00-05:00,41.63,41.69,41.46,41.64,629335.0,41.597,3874
56,2015-12-16 13:00:00-05:00,41.65,42.28,41.63,42.25,610658.0,41.853,4561
57,2015-12-16 15:00:00-05:00,42.26,42.52,42.15,42.43,565118.0,42.394,4268
58,2015-12-17 09:30:00-05:00,42.43,42.56,41.4,41.59,317088.0,41.866,2438
59,2015-12-17 11:00:00-05:00,41.59,41.65,41.33,41.45,374803.0,41.493,3207
60,2015-12-17 13:00:00-05:00,41.44,41.67,41.34,41.4,532512.0,41.478,3530
61,2015-12-17 15:00:00-05:00,41.41,41.44,41.06,41.07,472247.0,41.208,3562
62,2015-12-18 09:30:00-05:00,40.85,41.3,40.77,41.29,315325.0,41.133,2454
63,2015-12-18 11:00:00-05:00,41.29,41.38,40.97,41.01,267672.0,41.197,2198
64,2015-12-18 13:00:00-05:00,41.01,41.03,40.83,40.9,334462.0,40.925,2486
65,2015-12-18 15:00:00-05:00,40.9,41.05,40.71,40.82,399030.0,40.886,2973
66,2015-12-21 09:30:00-05:00,41.13,41.46,41.05,41.1,229473.0,41.32,1634
67,2015-12-21 11:00:00-05:00,41.09,41.26,40.95,41.25,267381.0,41.099,2130
68,2015-12-21 13:00:00-05:00,41.24,41.34,41.07,41.13,214743.0,41.197,1496
69,2015-12-21 15:00:00-05:00,41.13,41.39,41.02,41.37,271550.0,41.206,1762
70,2015-12-22 09:30:00-05:00,41.56,41.61,41.03,41.12,256298.0,41.203,1769
71,2015-12-22 11:00:00-05:00,41.15,41.27,41.03,41.22,266411.0,41.142,2153
72,2015-12-22 13:00:00-05:00,41.23,41.44,41.13,41.41,274760.0,41.32,2206
73,2015-12-22 15:00:00-05:00,41.42,41.49,41.23,41.3,250397.0,41.361,1978
74,2015-12-23 09:30:00-05:00,41.5,41.7,41.27,41.64,230922.0,41.496,1707
75,2015-12-23 11:00:00-05:00,41.64,42.05,41.54,41.87,257599.0,41.797,1694
76,2015-12-23 13:00:00-05:00,41.87,41.93,41.63,41.89,249680.0,41.766,1877
