,date,open,high,low,close,volume,average,barCount
0,2015-11-25 09:30:00-05:00,52.33,53.05,52.13,53.02,961888.0,52.673,6480
1,2015-11-25 11:00:00-05:00,53.03,53.04,52.66,52.7,696791.0,52.823,4985
2,2015-11-25 13:00:00-05:00,52.69,52.9,52.5,52.74,510621.0,52.714,4220
3,2015-11-25 15:00:00-05:00,52.75,52.79,52.63,52.75,442654.0,52.733,3523
4,2015-11-27 09:30:00-05:00,52.86,53.04,52.25,52.73,384891.0,52.602,3099
5,2015-11-27 11:00:00-05:00,52.73,52.85,52.59,52.66,486458.0,52.727,3922
6,2015-11-30 09:30:00-05:00,52.83,52.83,51.95,52.28,880116.0,52.144,5430
7,2015-11-30 11:00:00-05:00,52.28,52.39,51.78,52.0,556859.0,52.045,4332
8,2015-11-30 13:00:00-05:00,52.0,52.18,51.78,51.8,499106.0,51.995,4194
9,2015-11-30 15:00:00-05:00,51.8,52.06,51.74,52.02,590639.0,51.942,4459
10,2015-12-01 09:30:00-05:00,52.53,52.99,52.23,52.76,1066968.0,52.622,6272
11,2015-12-01 11:00:00-05:00,52.76,53.17,52.61,53.15,1070383.0,52.848,6383
12,2015-12-01 13:00:00-05:00,53.15,53.2,52.9,53.04,912018.0,53.024,5443
13,2015-12-01 15:00:00-05:00,53.05,53.19,52.99,53.09,557421.0,53.077,4210
14,2015-12-02 09:30:00-05:00,53.14,53.79,53.14,53.55,1181349.0,53.511,6714
15,2015-12-02 11:00:00-05:00,53.55,53.84,53.44,53.79,639447.0,53.63,4804
16,2015-12-02 13:00:00-05:00,53.79,53.98,53.3,53.33,601897.0,53.642,5263
17,2015-12-02 15:00:00-05:00,53.32,53.57,53.3,53.53,712668.0,53.459,5796
18,2015-12-03 09:30:00-05:00,53.44,53.61,52.45,52.52,807152.0,53.094,4857
19,2015-12-03 11:00:00-05:00,52.5,53.05,52.46,52.74,653871.0,52.785,4941
20,2015-12-03 13:00:00-05:00,52.73,52.77,51.91,52.21,767568.0,52.328,6232
21,2015-12-03 15:00:00-05:00,52.21,52.59,52.06,52.51,1064487.0,52.349,8278
22,2015-12-04 09:30:00-05:00,52.7,53.43,52.57,53.41,458032.0,53.054,3510
23,2015-12-04 11:00:00-05:00,53.42,53.84,53.23,53.79,536975.0,53.5,4454
24,2015-12-04 13:00:00-05:00,53.79,54.15,53.78,54.12,610168.0,53.929,5267
25,2015-12-04 15:00:00-05:00,54.12,54.28,53.98,54.16,844812.0,54.136,6639
26,2015-12-07 09:30:00-05:00,53.76,54.07,53.17,53.32,517097.0,53.437,3914
27,2015-12-07 11:00:00-05:00,53.32,53.67,53.13,53.37,417473.0,53.381,3744
